_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/solihull/month/2020-01,261974,467480,260200.0,155836,278752.0,267031,201842,79.3,79.2,78.9,82.2,82.3,78.7,78.2,-2.0,-2.2,-1.9,-3.2,-2.3,-1.5,-1.3,-0.3,-0.2,-0.4,-0.6,0.5,-0.3,-0.2,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/solihull,224.0,210.0,14.0,42.0,175.0
http://landregistry.data.gov.uk/data/ukhpi/region/solihull/month/2020-02,259679,463399,257610.0,154448,279140.0,264466,200403,78.6,78.5,78.1,81.5,82.4,78.0,77.6,-2.7,-2.7,-2.5,-4.3,-4.0,-2.1,-1.8,-0.9,-0.9,-1.0,-0.9,0.1,-1.0,-0.7,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/solihull,248.0,225.0,23.0,65.0,175.0
http://landregistry.data.gov.uk/data/ukhpi/region/solihull/month/2020-03,266405,475581,263865.0,158497,290202.0,271303,205443,80.7,80.6,80.0,83.7,85.7,80.0,79.6,0.3,0.2,0.3,-1.1,-0.2,0.7,1.1,2.6,2.6,2.4,2.6,4.0,2.6,2.5,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/solihull,214.0,190.0,24.0,43.0,164.0
http://landregistry.data.gov.uk/data/ukhpi/region/solihull/month/2020-04,263305,472602,260666.0,155641,288031.0,267892,203221,79.7,80.1,79.1,82.1,85.1,79.0,78.7,-1.3,-0.6,-1.3,-3.2,-1.9,-1.0,-0.9,-1.2,-0.6,-1.2,-1.8,-0.7,-1.3,-1.1,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/solihull,89.0,83.0,6.0,25.0,62.0
http://landregistry.data.gov.uk/data/ukhpi/region/solihull/month/2020-05,259546,466422,256562.0,153387,287413.0,264143,199941,78.6,79.0,77.8,81.0,84.9,77.9,77.5,-2.6,-1.6,-2.8,-4.2,-0.8,-2.5,-2.6,-1.4,-1.3,-1.6,-1.4,-0.2,-1.4,-1.6,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/solihull,92.0,85.0,7.0,18.0,73.0
http://landregistry.data.gov.uk/data/ukhpi/region/solihull/month/2020-06,255694,458808,253099.0,150639,280057.0,260750,197282,77.4,77.8,76.8,79.5,82.7,76.9,76.4,-4.2,-3.2,-4.3,-6.0,-2.6,-3.9,-4.1,-1.5,-1.6,-1.3,-1.8,-2.6,-1.3,-1.3,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/solihull,162.0,152.0,10.0,36.0,122.0
http://landregistry.data.gov.uk/data/ukhpi/region/solihull/month/2020-07,261988,467301,259695.0,155212,283571.0,267400,202326,79.3,79.2,78.8,81.9,83.7,78.8,78.4,-0.8,-0.4,-0.8,-2.3,-0.6,-0.3,-0.6,2.5,1.9,2.6,3.0,1.3,2.6,2.6,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/solihull,206.0,190.0,16.0,52.0,149.0
http://landregistry.data.gov.uk/data/ukhpi/region/solihull/month/2020-08,269922,481777,267865.0,159069,289342.0,275725,209048,81.7,81.6,81.2,84.0,85.4,81.3,81.0,1.4,1.8,1.4,-0.5,0.8,1.9,1.7,3.0,3.1,3.1,2.5,2.0,3.1,3.3,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/solihull,238.0,225.0,13.0,63.0,172.0
http://landregistry.data.gov.uk/data/ukhpi/region/solihull/month/2020-09,272619,488635,270386.0,159966,293616.0,278319,211062,82.5,82.8,82.0,84.4,86.7,82.1,81.8,2.7,3.4,2.8,0.3,1.8,3.4,2.9,1.0,1.4,0.9,0.6,1.5,0.9,1.0,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/solihull,205.0,192.0,13.0,52.0,152.0
http://landregistry.data.gov.uk/data/ukhpi/region/solihull/month/2020-10,276179,496429,274177.0,161094,295129.0,282234,213877,83.6,84.1,83.2,85.0,87.2,83.2,82.9,3.6,4.7,3.7,0.7,2.6,4.2,3.9,1.3,1.6,1.4,0.7,0.5,1.4,1.3,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/solihull,300.0,287.0,13.0,74.0,221.0
