_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/somerset/month/2020-01,228956,374752,224514.0,122135,297716.0,229889,186282,80.2,80.1,79.7,84.0,82.8,79.8,79.4,1.5,1.2,1.5,0.1,1.6,2.0,2.0,0.5,0.5,0.4,0.0,1.3,0.5,0.5,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/somerset,643.0,601.0,42.0,255.0,370.0
http://landregistry.data.gov.uk/data/ukhpi/region/somerset/month/2020-02,228686,374262,224015.0,121669,299859.0,229615,186282,80.1,80.0,79.5,83.6,83.4,79.7,79.4,1.5,1.2,1.6,-0.2,0.7,1.9,2.3,-0.1,-0.1,-0.2,-0.4,0.7,-0.1,0.0,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/somerset,680.0,630.0,50.0,235.0,423.0
http://landregistry.data.gov.uk/data/ukhpi/region/somerset/month/2020-03,229019,375234,223978.0,121308,304110.0,230179,186458,80.2,80.2,79.5,83.4,84.6,79.9,79.4,2.8,2.5,2.8,1.1,2.6,3.2,3.4,0.1,0.3,0.0,-0.3,1.4,0.2,0.1,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/somerset,674.0,589.0,85.0,236.0,413.0
http://landregistry.data.gov.uk/data/ukhpi/region/somerset/month/2020-04,227288,372868,222170.0,119827,303034.0,228223,185264,79.6,79.7,78.9,82.4,84.3,79.2,78.9,1.8,1.7,1.8,-0.2,1.6,2.0,2.3,-0.8,-0.6,-0.8,-1.2,-0.4,-0.8,-0.6,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/somerset,267.0,235.0,32.0,93.0,166.0
http://landregistry.data.gov.uk/data/ukhpi/region/somerset/month/2020-05,226893,371831,221387.0,119710,306614.0,228162,184855,79.4,79.5,78.6,82.3,85.2,79.2,78.8,2.0,2.1,1.8,0.3,4.3,2.4,2.2,-0.2,-0.3,-0.4,-0.1,1.2,0.0,-0.2,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/somerset,374.0,343.0,31.0,131.0,235.0
http://landregistry.data.gov.uk/data/ukhpi/region/somerset/month/2020-06,227130,371515,221906.0,119625,304006.0,228706,185315,79.5,79.4,78.8,82.2,84.5,79.4,79.0,0.9,0.9,0.6,-1.1,3.1,1.5,1.1,0.1,-0.1,0.2,-0.1,-0.9,0.2,0.2,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/somerset,590.0,511.0,79.0,211.0,360.0
http://landregistry.data.gov.uk/data/ukhpi/region/somerset/month/2020-07,229548,375211,224613.0,121299,303628.0,231162,187191,80.4,80.2,79.8,83.4,84.4,80.2,79.8,1.3,1.3,1.2,-0.5,2.0,1.9,1.3,1.1,1.0,1.2,1.4,-0.1,1.1,1.0,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/somerset,632.0,572.0,60.0,228.0,384.0
http://landregistry.data.gov.uk/data/ukhpi/region/somerset/month/2020-08,231307,378826,226633.0,120971,302838.0,233040,188842,81.0,81.0,80.5,83.2,84.2,80.9,80.5,1.0,1.0,1.0,-1.5,0.9,1.8,1.1,0.8,1.0,0.9,-0.3,-0.3,0.8,0.9,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/somerset,618.0,569.0,49.0,223.0,381.0
http://landregistry.data.gov.uk/data/ukhpi/region/somerset/month/2020-09,235492,387061,230606.0,122379,309606.0,237026,192114,82.5,82.8,81.9,84.1,86.1,82.3,81.9,2.5,2.9,2.5,-0.7,2.1,3.3,2.5,1.8,2.2,1.8,1.2,2.2,1.7,1.7,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/somerset,733.0,663.0,70.0,257.0,450.0
http://landregistry.data.gov.uk/data/ukhpi/region/somerset/month/2020-10,237833,391990,233148.0,122742,310154.0,239236,194026,83.3,83.8,82.8,84.4,86.2,83.1,82.7,3.6,4.3,3.7,-0.1,2.8,4.2,3.7,1.0,1.3,1.1,0.3,0.2,0.9,1.0,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/somerset,953.0,893.0,60.0,344.0,588.0
