_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/south-ayrshire/month/2020-01,128759,234409,122520.0,80050,216231.0,146484,109880,80.5,79.7,80.6,82.2,82.9,80.3,79.6,3.0,4.1,2.9,0.6,4.1,3.8,3.4,1.7,2.0,1.6,1.4,2.8,1.6,1.7,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-ayrshire,141.0,135.0,6.0,62.0,79.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-ayrshire/month/2020-02,123077,224833,116919.0,76278,208786.0,140030,104930,77.0,76.4,76.9,78.3,80.1,76.7,76.0,0.3,1.5,0.3,-2.3,0.4,1.1,0.9,-4.4,-4.1,-4.6,-4.7,-3.4,-4.4,-4.5,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-ayrshire,119.0,112.0,7.0,57.0,62.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-ayrshire/month/2020-03,125105,228086,118653.0,77809,214671.0,142150,106543,78.2,77.5,78.1,79.9,82.3,77.9,77.2,2.1,2.5,2.0,0.8,2.2,2.5,2.6,1.6,1.4,1.5,2.0,2.8,1.5,1.5,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-ayrshire,129.0,116.0,13.0,56.0,73.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-ayrshire/month/2020-04,119777,218693,113582.0,74179,206167.0,136126,102339,74.9,74.3,74.7,76.2,79.1,74.6,74.1,-2.4,-1.6,-2.5,-4.0,-2.3,-2.2,-1.9,-4.3,-4.1,-4.3,-4.7,-4.0,-4.2,-3.9,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-ayrshire,53.0,52.0,1.0,22.0,31.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-ayrshire/month/2020-05,125747,228820,119186.0,77969,218496.0,142974,107627,78.7,77.8,78.4,80.1,83.8,78.3,77.9,3.3,4.3,3.0,1.6,5.7,3.5,3.6,5.0,4.6,4.9,5.1,6.0,5.0,5.2,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-ayrshire,73.0,71.0,2.0,36.0,37.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-ayrshire/month/2020-06,128601,235059,121943.0,79115,221617.0,146679,110200,80.4,79.9,80.2,81.3,85.0,80.4,79.8,3.4,5.6,3.0,0.4,6.3,3.9,3.6,2.3,2.7,2.3,1.5,1.4,2.6,2.4,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-ayrshire,97.0,89.0,8.0,51.0,46.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-ayrshire/month/2020-07,133462,244100,126604.0,82411,228064.0,152016,113947,83.5,83.0,83.3,84.6,87.5,83.3,82.5,5.2,7.3,4.9,2.4,6.8,5.8,5.1,3.8,3.8,3.8,4.2,2.9,3.6,3.4,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-ayrshire,107.0,96.0,11.0,45.0,62.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-ayrshire/month/2020-08,135168,246878,128273.0,83372,229159.0,154162,115572,84.5,83.9,84.4,85.6,87.9,84.5,83.7,4.1,6.0,3.8,1.0,5.1,5.0,4.1,1.3,1.1,1.3,1.2,0.5,1.4,1.4,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-ayrshire,150.0,141.0,9.0,70.0,80.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-ayrshire/month/2020-09,137189,249470,130170.0,84807,233347.0,156411,117588,85.8,84.8,85.7,87.1,89.5,85.7,85.1,4.7,5.9,4.5,2.0,5.3,5.8,4.9,1.5,1.1,1.5,1.7,1.8,1.5,1.7,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-ayrshire,268.0,262.0,6.0,125.0,143.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-ayrshire/month/2020-10,141556,256695,134381.0,87383,238375.0,161580,121746,88.5,87.3,88.4,89.8,91.4,88.5,88.2,9.0,10.0,8.8,6.4,9.1,9.8,9.7,3.2,2.9,3.2,3.0,2.2,3.3,3.5,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-ayrshire,364.0,342.0,22.0,167.0,197.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-ayrshire/month/2020-11,142865,260476,135680.0,88016,238593.0,162674,122750,89.4,88.5,89.3,90.4,91.5,89.1,88.9,9.6,10.7,9.3,7.3,9.4,9.9,10.2,0.9,1.5,1.0,0.7,0.1,0.7,0.8,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-ayrshire,274.0,260.0,14.0,105.0,169.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-ayrshire/month/2020-12,142397,261116,135264.0,87421,236796.0,161925,122264,89.1,88.8,89.0,89.8,90.8,88.7,88.5,12.5,13.6,12.1,10.7,12.6,12.3,13.1,-0.3,0.2,-0.3,-0.7,-0.8,-0.5,-0.4,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-ayrshire,238.0,228.0,10.0,84.0,154.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-ayrshire/month/2021-01,142012,259241,134994.0,87825,232882.0,161044,121829,88.8,88.1,88.8,90.2,89.3,88.2,88.2,10.3,10.6,10.2,9.7,7.7,9.9,10.9,-0.3,-0.7,-0.2,0.5,-1.7,-0.5,-0.4,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-ayrshire,180.0,170.0,10.0,72.0,108.0
