_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_sa,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_sa,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/south-east/month/2020-01,324130,579758,317593.0,194381,412131.0,324680,344801,267746,83.6,82.9,82.6,87.6,88.6,83.7,82.9,82.3,-0.2,-0.8,-0.5,-1.5,3.0,0.5,1.0,0.1,0.2,-0.5,-0.5,6.1,0.6,0.2,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-east,9742.0,8769.0,973.0,2535.0,7016.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-east/month/2020-02,320582,577915,315712.0,190631,394076.0,321452,340562,264794,82.7,82.6,82.1,85.9,84.7,82.9,81.8,81.4,-0.6,-0.2,0.0,-2.7,-4.3,0.0,0.2,-1.1,-0.3,-0.6,-1.9,-4.4,-1.2,-1.1,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-east,9889.0,8813.0,1076.0,2581.0,7003.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-east/month/2020-03,325604,584058,319979.0,195241,405956.0,327790,345759,268644,84.0,83.5,83.2,88.0,87.3,84.5,83.1,82.6,1.9,2.2,2.0,0.9,2.1,2.1,2.3,1.6,1.1,1.4,2.4,3.0,1.5,1.5,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-east,10166.0,8816.0,1350.0,2668.0,7092.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-east/month/2020-04,327607,594940,320505.0,192517,420863.0,328485,348853,270427,84.5,85.1,83.4,86.7,90.5,84.7,83.8,83.2,2.0,3.6,1.6,-1.1,4.8,2.6,2.1,0.6,1.9,0.2,-1.4,3.7,0.9,0.7,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-east,4138.0,3700.0,438.0,970.0,3035.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-east/month/2020-05,323236,580549,316615.0,193408,411877.0,323428,344272,265971,83.4,83.0,82.3,87.1,88.5,83.4,82.7,81.8,0.8,1.7,0.4,-0.2,3.9,1.4,0.1,-1.3,-2.4,-1.2,0.5,-2.1,-1.3,-1.6,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-east,5049.0,4642.0,407.0,1320.0,3620.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-east/month/2020-06,324453,579064,320257.0,192915,392791.0,323071,345887,269976,83.7,82.8,83.3,86.9,84.4,83.3,83.1,83.0,0.4,0.5,0.6,-1.9,0.1,1.1,1.4,0.4,-0.3,1.2,-0.3,-4.6,0.5,1.5,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-east,7833.0,7028.0,805.0,2129.0,5577.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-east/month/2020-07,328205,588656,322475.0,195578,409701.0,326377,349157,271719,84.6,84.2,83.9,88.1,88.1,84.2,83.9,83.6,1.0,1.7,1.2,-1.0,-0.3,1.6,1.3,1.2,1.7,0.7,1.4,4.3,0.9,0.6,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-east,9560.0,8619.0,941.0,2636.0,6759.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-east/month/2020-08,331902,600641,326318.0,193951,412534.0,329017,354778,275214,85.6,85.9,84.9,87.4,88.7,84.9,85.3,84.6,2.1,2.9,2.0,-0.6,3.7,3.1,2.4,1.1,2.0,1.2,-0.8,0.7,1.6,1.3,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-east,9855.0,8876.0,979.0,2567.0,7110.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-east/month/2020-09,334430,605471,329321.0,196174,411338.0,330939,356254,277288,86.3,86.6,85.6,88.4,88.4,85.4,85.6,85.3,2.5,3.9,2.8,-0.8,1.4,3.6,2.7,0.8,0.8,0.9,1.1,-0.3,0.4,0.8,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-east,11245.0,10181.0,1064.0,3012.0,8013.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-east/month/2020-10,334997,606271,330759.0,196358,404787.0,333564,356157,278612,86.4,86.7,86.0,88.5,87.0,86.0,85.6,85.7,3.2,4.4,3.7,0.4,0.3,3.1,4.2,0.2,0.1,0.4,0.1,-1.6,0.0,0.5,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-east,13862.0,12542.0,1320.0,3698.0,9876.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-east/month/2020-11,339278,614645,335505.0,198853,405745.0,337378,360202,282286,87.5,87.9,87.3,89.6,87.2,87.0,86.6,86.8,4.5,5.5,4.7,2.1,4.8,4.4,5.6,1.3,1.4,1.4,1.3,0.2,1.1,1.3,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-east,13969.0,12868.0,1101.0,3767.0,9878.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-east/month/2020-12,340233,615087,336441.0,199510,406953.0,339163,361284,283557,87.8,87.9,87.5,89.9,87.5,87.5,86.8,87.2,5.1,6.3,5.4,2.1,4.8,5.4,6.1,0.3,0.1,0.3,0.3,0.3,0.3,0.5,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-east,15999.0,14598.0,1401.0,4272.0,11285.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-east/month/2021-01,337566,599908,334539.0,202631,397883.0,337704,357948,281519,87.1,85.8,87.0,91.3,85.5,87.1,86.0,86.6,4.1,3.5,5.3,4.2,-3.5,3.8,5.1,-0.8,-2.5,-0.6,1.6,-2.2,-0.9,-0.7,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-east,13837.0,12609.0,1228.0,3872.0,9946.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-east/month/2021-02,337619,596623,334236.0,203888,401367.0,338816,357299,282643,87.1,85.3,86.9,91.9,86.3,87.4,85.9,86.9,5.3,3.2,5.9,7.0,1.9,4.9,6.7,0.0,-0.5,-0.1,0.6,0.9,-0.2,0.4,2021-02,1,2021-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-east,17351.0,15770.0,1581.0,4710.0,12614.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-east/month/2021-03,342322,603304,338512.0,207679,410639.0,345053,361547,287046,88.3,86.3,88.0,93.6,88.3,89.0,86.9,88.3,5.1,3.3,5.8,6.4,1.2,4.6,6.8,1.4,1.1,1.3,1.9,2.3,1.2,1.6,2021-03,1,2021-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-east,25948.0,23318.0,2630.0,7550.0,18358.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-east/month/2021-04,339163,600584,334818.0,204736,412453.0,340683,358521,283707,87.5,85.9,87.1,92.2,88.7,87.9,86.2,87.3,3.5,0.9,4.5,6.3,-2.0,2.8,4.9,-0.9,-0.5,-1.1,-1.4,0.4,-0.8,-1.2,2021-04,1,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-east,15234.0,13749.0,1485.0,4174.0,11036.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-east/month/2021-05,340283,604760,336598.0,204016,407199.0,342148,360254,284524,87.8,86.5,87.5,91.9,87.5,88.2,86.6,87.5,5.3,4.2,6.3,5.5,-1.1,4.6,7.0,0.3,0.7,0.5,-0.4,-1.3,0.5,0.3,2021-05,1,2021-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-east,12933.0,11587.0,1346.0,3587.0,9318.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-east/month/2021-06,354769,623780,352600.0,214253,408618.0,354867,373108,300693,91.5,89.2,91.7,96.5,87.8,91.5,89.7,92.5,9.3,7.7,10.1,11.1,4.0,7.9,11.4,4.3,3.1,4.8,5.0,0.3,3.6,5.7,2021-06,1,2021-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-east,33565.0,30601.0,2964.0,9631.0,23858.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-east/month/2021-07,339769,606487,334841.0,203528,418929.0,336962,360891,281896,87.6,86.7,87.1,91.7,90.1,86.9,86.7,86.7,3.5,3.0,3.8,4.1,2.3,3.4,3.7,-4.2,-2.8,-5.0,-5.0,2.5,-3.3,-6.3,2021-07,1,2021-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-east,7150.0,6330.0,820.0,1803.0,5326.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-east/month/2021-08,350795,632310,348175.0,206238,408502.0,346559,373099,291652,90.5,90.4,90.6,92.9,87.8,89.4,89.7,89.7,5.7,5.3,6.7,6.3,-1.0,5.2,6.0,3.2,4.3,4.0,1.3,-2.5,3.4,3.5,2021-08,1,2021-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-east,12083.0,10747.0,1336.0,3165.0,8869.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-east/month/2021-09,361613,641515,359201.0,215397,418383.0,357819,383013,304379,93.3,91.7,93.4,97.0,89.9,92.3,92.0,93.6,8.1,6.0,9.1,9.8,1.7,7.5,9.8,3.1,1.5,3.2,4.4,2.4,2.7,4.4,2021-09,1,2021-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-east,22779.0,20814.0,1965.0,6575.0,16124.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-east/month/2021-10,354140,646266,351473.0,207055,412602.0,352114,375966,292137,91.3,92.4,91.4,93.3,88.7,90.8,90.4,89.8,5.7,6.6,6.3,5.4,1.9,5.6,4.9,-2.1,0.7,-2.2,-3.9,-1.4,-1.8,-4.0,2021-10,1,2021-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-east,9147.0,7817.0,1330.0,2391.0,6694.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-east/month/2021-11,360386,653464,357175.0,210699,424594.0,358447,383665,298600,92.9,93.4,92.9,94.9,91.3,92.4,92.2,91.8,6.2,6.3,6.5,6.0,4.6,6.5,5.8,1.8,1.1,1.6,1.8,2.9,2.0,2.2,2021-11,1,2021-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-east,11737.0,10302.0,1435.0,3222.0,8456.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-east/month/2021-12,362713,653791,361042.0,212824,412709.0,361640,384041,303470,93.5,93.5,93.9,95.9,88.7,93.3,92.3,93.3,6.6,6.3,7.3,6.7,1.4,6.3,7.0,0.6,0.1,1.1,1.0,-2.8,0.1,1.6,2021-12,1,2021-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-east,13274.0,11136.0,2138.0,3712.0,9466.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-east/month/2022-01,368184,664988,365753.0,214051,425750.0,367932,392925,306991,95.0,95.1,95.1,96.4,91.5,94.9,94.4,94.4,9.1,10.8,9.3,5.6,7.0,9.8,9.0,1.5,1.7,1.3,0.6,3.2,2.3,1.2,2022-01,1,2022-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-east,10349.0,9377.0,972.0,2916.0,7396.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-east/month/2022-02,367655,661325,364746.0,216986,437391.0,369311,391287,305857,94.8,94.6,94.9,97.8,94.0,95.3,94.0,94.1,8.9,10.8,9.1,6.4,9.0,9.5,8.2,-0.1,-0.6,-0.3,1.4,2.7,-0.4,-0.4,2022-02,1,2022-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-east,11495.0,10315.0,1180.0,3114.0,8327.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-east/month/2022-03,369755,666476,366931.0,215722,437257.0,372720,394378,308496,95.4,95.3,95.4,97.2,94.0,96.1,94.8,94.9,8.0,10.5,8.4,3.9,6.5,9.1,7.5,0.6,0.8,0.6,-0.6,0.0,0.8,0.9,2022-03,1,2022-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-east,13520.0,11709.0,1811.0,3759.0,9682.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-east/month/2022-04,370658,666622,368142.0,215850,430335.0,372834,394237,311306,95.6,95.3,95.7,97.2,92.5,96.2,94.7,95.7,9.3,11.0,10.0,5.4,4.3,10.0,9.7,0.2,0.0,0.3,0.1,-1.6,0.0,0.9,2022-04,1,2022-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-east,12107.0,10328.0,1779.0,3311.0,8697.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-east/month/2022-05,376100,675810,373687.0,219107,433132.0,377249,401526,314907,97.0,96.6,97.2,98.7,93.1,97.3,96.5,96.9,10.5,11.7,11.0,7.4,6.4,11.5,10.7,1.5,1.4,1.5,1.5,0.6,1.8,1.2,2022-05,1,2022-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-east,11754.0,10320.0,1434.0,3166.0,8478.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-east/month/2022-06,380603,680221,378188.0,223761,437660.0,380470,404700,320093,98.2,97.3,98.4,100.8,94.1,98.1,97.3,98.4,7.3,9.0,7.3,4.4,7.1,8.5,6.5,1.2,0.7,1.2,2.1,1.0,0.8,1.6,2022-06,1,2022-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-east,12515.0,10392.0,2123.0,3421.0,8947.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-east/month/2022-07,387054,695483,384467.0,223000,448358.0,383450,414043,325768,99.8,99.4,100.0,100.5,96.4,98.9,99.5,100.2,13.9,14.7,14.8,9.6,7.0,14.7,15.6,1.7,2.2,1.7,-0.3,2.4,2.3,1.8,2022-07,1,2022-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-east,13367.0,11890.0,1477.0,3665.0,9564.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-east/month/2022-08,390701,702106,388245.0,224764,448697.0,386048,417430,329536,100.8,100.4,101.0,101.3,96.5,99.6,100.3,101.4,11.4,11.0,11.5,9.0,9.8,11.9,13.0,0.9,1.0,1.0,0.8,0.1,0.8,1.2,2022-08,1,2022-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-east,14298.0,13040.0,1258.0,3804.0,10354.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-east/month/2022-09,391553,705354,389188.0,225170,447303.0,387846,417867,329789,101.0,100.8,101.2,101.4,96.2,100.0,100.4,101.4,8.3,10.0,8.3,4.5,6.9,9.1,8.3,0.2,0.5,0.2,0.2,-0.3,0.1,0.1,2022-09,1,2022-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-east,14254.0,12536.0,1718.0,3798.0,10264.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-east/month/2022-10,391862,706182,389432.0,225277,449207.0,389421,418595,329647,101.1,101.0,101.3,101.5,96.6,100.4,100.6,101.4,10.7,9.3,10.8,8.8,8.9,11.3,12.8,0.1,0.1,0.1,0.0,0.4,0.2,0.0,2022-10,1,2022-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-east,13738.0,12307.0,1431.0,3705.0,9807.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-east/month/2022-11,389960,702624,387204.0,224530,455487.0,388072,416368,327945,100.6,100.5,100.7,101.2,97.9,100.1,100.1,100.9,8.2,7.5,8.4,6.6,7.3,8.5,9.8,-0.5,-0.5,-0.6,-0.3,1.4,-0.5,-0.5,2022-11,1,2022-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-east,13867.0,12549.0,1318.0,3889.0,9722.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-east/month/2022-12,388158,694277,385791.0,225728,443966.0,388140,413908,327516,100.1,99.3,100.3,101.7,95.4,100.1,99.5,100.7,7.0,6.2,6.9,6.1,7.6,7.8,7.9,-0.5,-1.2,-0.4,0.5,-2.5,-0.6,-0.1,2022-12,1,2022-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-east,12716.0,10753.0,1963.0,3461.0,8912.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-east/month/2023-01,387727,699421,384510.0,221968,465146.0,387727,416099,325143,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5.3,5.2,5.1,3.7,9.3,5.9,5.9,-0.1,0.7,-0.3,-1.7,4.8,0.5,-0.7,2023-01,1,2023-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-east,8853.0,8042.0,811.0,2737.0,5859.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-east/month/2023-02,383401,694313,379968.0,220256,466655.0,385751,409608,320617,98.9,99.3,98.8,99.2,100.3,99.5,98.4,98.6,4.3,5.0,4.2,1.5,6.7,4.7,4.8,-1.1,-0.7,-1.2,-0.8,0.3,-1.6,-1.4,2023-02,1,2023-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-east,8634.0,7905.0,729.0,2801.0,5620.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-east/month/2023-03,380362,690727,376639.0,218552,471538.0,384109,407910,315963,98.1,98.8,98.0,98.5,101.4,99.1,98.0,97.2,2.9,3.6,2.6,1.3,7.8,3.4,2.4,-0.8,-0.5,-0.9,-0.8,1.0,-0.4,-1.5,2023-03,1,2023-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-east,9788.0,8742.0,1046.0,3475.0,6003.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-east/month/2023-04,379543,690055,375841.0,217859,470173.0,382694,406532,315559,97.9,98.7,97.7,98.1,101.1,98.7,97.7,97.1,2.4,3.5,2.1,0.9,9.3,3.1,1.4,-0.2,-0.1,-0.2,-0.3,-0.3,-0.3,-0.1,2023-04,1,2023-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-east,6980.0,6324.0,656.0,2458.0,4328.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-east/month/2023-05,377989,679968,374496.0,218654,463008.0,380197,403834,316300,97.5,97.2,97.4,98.5,99.5,98.1,97.1,97.3,0.5,0.6,0.2,-0.2,6.9,0.6,0.4,-0.4,-1.5,-0.4,0.4,-1.5,-0.7,0.2,2023-05,1,2023-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-east,7536.0,6929.0,607.0,2571.0,4757.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-east/month/2023-06,377848,681167,374957.0,217071,446863.0,378998,403419,317632,97.5,97.4,97.5,97.8,96.1,97.7,97.0,97.7,-0.7,0.1,-0.9,-3.0,2.1,-0.3,-0.8,0.0,0.2,0.1,-0.7,-3.5,-0.1,0.4,2023-06,1,2023-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-east,9476.0,8288.0,1188.0,3023.0,6076.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-east/month/2023-07,381968,689932,378384.0,217525,469307.0,378959,410722,320784,98.5,98.6,98.4,98.0,100.9,97.7,98.7,98.7,-1.3,-0.8,-1.6,-2.5,4.7,-0.8,-1.5,1.1,1.3,0.9,0.2,5.0,1.8,1.0,2023-07,1,2023-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-east,8874.0,8451.0,423.0,2812.0,5805.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-east/month/2023-08,381601,690742,378329.0,216803,460576.0,377223,408987,321453,98.4,98.8,98.4,97.7,99.0,97.3,98.3,98.9,-2.3,-1.6,-2.6,-3.5,2.6,-2.0,-2.5,-0.1,0.1,0.0,-0.3,-1.9,-0.4,0.2,2023-08,1,2023-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-east,10317.0,9732.0,585.0,3209.0,6770.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-east/month/2023-09,379338,684343,376164.0,216897,455757.0,375477,405959,319284,97.8,97.8,97.8,97.7,98.0,96.8,97.6,98.2,-3.1,-3.0,-3.3,-3.7,1.9,-2.8,-3.2,-0.6,-0.9,-0.6,0.0,-1.0,-0.7,-0.7,2023-09,1,2023-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-east,9965.0,9088.0,877.0,3028.0,6549.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-east/month/2023-10,377965,678099,374402.0,217582,464851.0,375580,405294,317414,97.5,97.0,97.4,98.0,99.9,96.9,97.4,97.6,-3.5,-4.0,-3.9,-3.4,3.5,-3.2,-3.7,-0.4,-0.9,-0.5,0.3,2.0,-0.2,-0.6,2023-10,1,2023-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-east,9720.0,8998.0,722.0,3058.0,6238.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-east/month/2023-11,375344,680019,371683.0,215023,464988.0,374201,402546,313373,96.8,97.2,96.7,96.9,100.0,96.5,96.7,96.4,-3.7,-3.2,-4.0,-4.2,2.1,-3.3,-4.4,-0.7,0.3,-0.7,-1.2,0.0,-0.7,-1.3,2023-11,1,2023-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-east,9297.0,8649.0,648.0,3092.0,5807.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-east/month/2023-12,367572,660059,364406.0,212129,444025.0,367855,393624,308099,94.8,94.4,94.8,95.6,95.5,94.9,94.6,94.8,-5.3,-4.9,-5.5,-6.0,0.0,-4.9,-5.9,-2.1,-2.9,-2.0,-1.3,-4.5,-2.2,-1.7,2023-12,1,2023-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-east,8880.0,7785.0,1095.0,2796.0,5622.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-east/month/2024-01,369326,666313,365597.0,211195,460994.0,369569,395946,310284,95.3,95.3,95.1,95.1,99.1,95.3,95.2,95.4,-4.7,-4.7,-4.9,-4.9,-0.9,-4.8,-4.6,0.5,0.9,0.3,-0.4,3.8,0.6,0.7,2024-01,1,2024-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-east,7290.0,6792.0,498.0,2414.0,4474.0
