_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/south-gloucestershire/month/2020-01,265756,441435,263255.0,151547,272330.0,286942,226089,79.8,80.0,79.0,83.3,82.3,79.4,78.5,-0.2,-0.3,-0.2,-2.1,-0.6,0.2,0.2,0.0,0.1,-0.1,-0.2,0.7,-0.1,0.0,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-gloucestershire,276.0,249.0,27.0,55.0,217.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-gloucestershire/month/2020-02,266641,442813,263904.0,152130,275773.0,287705,226986,80.1,80.3,79.2,83.6,83.3,79.6,78.8,0.0,-0.2,0.3,-2.1,-1.3,0.4,0.7,0.3,0.3,0.2,0.4,1.3,0.3,0.4,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-gloucestershire,319.0,277.0,42.0,63.0,240.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-gloucestershire/month/2020-03,269280,447457,266000.0,153739,282382.0,290616,229028,80.8,81.1,79.8,84.5,85.3,80.4,79.6,0.7,0.4,0.9,-0.9,0.3,1.0,1.4,1.0,1.0,0.8,1.1,2.4,1.0,0.9,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-gloucestershire,320.0,243.0,77.0,69.0,239.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-gloucestershire/month/2020-04,272093,453234,268620.0,154672,286150.0,293502,231580,81.7,82.2,80.6,85.0,86.5,81.2,80.4,1.9,2.1,2.0,-0.1,1.4,2.1,2.4,1.0,1.3,1.0,0.6,1.3,1.0,1.1,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-gloucestershire,102.0,96.0,6.0,12.0,82.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-gloucestershire/month/2020-05,272633,453882,268505.0,155337,289960.0,294347,231664,81.9,82.3,80.6,85.4,87.6,81.4,80.5,2.8,3.2,2.6,1.5,4.6,3.1,2.8,0.2,0.1,0.0,0.4,1.3,0.3,0.0,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-gloucestershire,139.0,128.0,11.0,23.0,112.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-gloucestershire/month/2020-06,272550,453118,269006.0,154633,287000.0,294536,232090,81.8,82.1,80.7,85.0,86.7,81.5,80.6,2.5,2.9,2.3,0.9,4.2,2.9,2.6,0.0,-0.2,0.2,-0.5,-1.0,0.1,0.2,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-gloucestershire,257.0,210.0,47.0,50.0,202.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-gloucestershire/month/2020-07,270998,449449,268005.0,154044,282677.0,292956,230927,81.4,81.5,80.4,84.7,85.4,81.1,80.2,1.8,1.9,1.8,0.1,2.1,2.3,2.0,-0.6,-0.8,-0.4,-0.4,-1.5,-0.5,-0.5,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-gloucestershire,300.0,265.0,35.0,66.0,228.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-gloucestershire/month/2020-08,271661,451452,269136.0,153051,280981.0,293763,232040,81.6,81.8,80.7,84.1,84.9,81.3,80.6,1.3,1.5,1.5,-0.9,1.0,1.8,1.7,0.2,0.4,0.4,-0.6,-0.6,0.3,0.5,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-gloucestershire,284.0,259.0,25.0,42.0,234.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-gloucestershire/month/2020-09,273580,456416,270786.0,153426,284188.0,295701,233576,82.1,82.7,81.2,84.3,85.9,81.8,81.1,1.5,2.1,1.8,-1.3,0.9,2.1,1.7,0.7,1.1,0.6,0.2,1.1,0.7,0.7,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-gloucestershire,327.0,273.0,54.0,65.0,253.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-gloucestershire/month/2020-10,275732,461432,273414.0,153480,283981.0,297978,235711,82.8,83.6,82.0,84.4,85.8,82.5,81.9,2.1,3.1,2.4,-1.1,1.1,2.4,2.4,0.8,1.1,1.0,0.0,-0.1,0.8,0.9,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-gloucestershire,409.0,353.0,56.0,79.0,312.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-gloucestershire/month/2020-11,279461,467806,277773.0,155500,284608.0,301514,239304,83.9,84.8,83.3,85.5,86.0,83.4,83.1,4.1,5.1,4.5,0.9,2.9,4.1,4.7,1.4,1.4,1.6,1.3,0.2,1.2,1.5,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-gloucestershire,423.0,379.0,44.0,71.0,344.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-gloucestershire/month/2020-12,279116,467022,277876.0,155074,282101.0,300848,239518,83.8,84.7,83.4,85.2,85.2,83.2,83.2,5.0,5.9,5.4,2.1,4.3,4.7,5.9,-0.1,-0.2,0.0,-0.3,-0.9,-0.2,0.1,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-gloucestershire,469.0,433.0,36.0,84.0,371.0
