_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/south-lanarkshire/month/2020-01,127076,256906,115075.0,76530,203382.0,149478,108098,79.2,78.2,78.9,81.2,80.7,78.8,78.3,-0.5,1.0,-0.7,-2.7,1.0,0.3,-0.1,-1.4,-0.9,-1.6,-1.7,-0.6,-1.5,-1.5,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-lanarkshire,425.0,374.0,51.0,134.0,291.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-lanarkshire/month/2020-02,125836,255982,113686.0,75388,203659.0,148240,106916,78.5,77.9,77.9,80.0,80.8,78.2,77.4,-1.1,0.6,-1.2,-3.7,-0.4,-0.2,-0.6,-1.0,-0.4,-1.2,-1.5,0.1,-0.8,-1.1,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-lanarkshire,406.0,341.0,65.0,116.0,290.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-lanarkshire/month/2020-03,127748,259751,115166.0,76788,208877.0,150391,108331,79.7,79.1,78.9,81.5,82.9,79.3,78.5,1.2,2.2,1.0,-0.2,1.8,1.7,1.5,1.5,1.5,1.3,1.9,2.6,1.5,1.3,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-lanarkshire,471.0,385.0,86.0,136.0,335.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-lanarkshire/month/2020-04,131095,267112,118123.0,78425,214912.0,154310,111505,81.7,81.3,81.0,83.2,85.3,81.4,80.8,4.6,6.3,4.5,2.8,5.2,5.0,4.8,2.6,2.8,2.6,2.1,2.9,2.6,2.9,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-lanarkshire,188.0,166.0,22.0,42.0,146.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-lanarkshire/month/2020-05,131252,266475,118087.0,78701,216794.0,154470,111811,81.8,81.1,80.9,83.5,86.0,81.4,81.0,4.1,6.0,3.6,2.4,6.7,4.5,4.1,0.1,-0.2,0.0,0.4,0.9,0.1,0.3,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-lanarkshire,201.0,189.0,12.0,62.0,139.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-lanarkshire/month/2020-06,132020,269002,118908.0,78565,216886.0,155851,112661,82.3,81.9,81.5,83.4,86.1,82.2,81.6,3.6,6.9,3.0,0.6,6.8,4.4,3.5,0.6,0.9,0.7,-0.2,0.0,0.9,0.8,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-lanarkshire,270.0,245.0,25.0,73.0,197.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-lanarkshire/month/2020-07,131142,267580,118255.0,78318,214163.0,154615,111438,81.8,81.4,81.1,83.1,85.0,81.5,80.7,2.4,5.4,2.0,-0.3,4.5,3.3,2.1,-0.7,-0.5,-0.5,-0.3,-1.3,-0.8,-1.1,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-lanarkshire,333.0,294.0,39.0,97.0,236.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-lanarkshire/month/2020-08,132272,269102,119453.0,78958,214376.0,156234,112650,82.5,81.9,81.9,83.8,85.1,82.4,81.6,2.1,4.7,1.8,-0.7,3.6,3.3,2.1,0.9,0.6,1.0,0.8,0.1,1.0,1.1,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-lanarkshire,502.0,447.0,55.0,145.0,357.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-lanarkshire/month/2020-09,133970,270838,120963.0,80219,217338.0,158317,114459,83.5,82.4,82.9,85.1,86.2,83.5,82.9,3.4,4.9,3.3,1.1,4.3,4.8,3.7,1.3,0.6,1.3,1.6,1.4,1.3,1.6,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-lanarkshire,725.0,661.0,64.0,208.0,517.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-lanarkshire/month/2020-10,135707,272456,122812.0,81338,217624.0,160642,116522,84.6,82.9,84.2,86.3,86.3,84.7,84.4,3.7,4.5,3.7,1.9,3.6,4.8,4.5,1.3,0.6,1.5,1.4,0.1,1.5,1.8,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-lanarkshire,837.0,760.0,77.0,235.0,602.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-lanarkshire/month/2020-11,138563,279720,125592.0,82901,220479.0,163510,118789,86.4,85.1,86.1,88.0,87.5,86.2,86.0,5.7,6.8,5.8,4.0,5.4,6.2,6.4,2.1,2.7,2.3,1.9,1.3,1.8,1.9,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-lanarkshire,835.0,771.0,64.0,207.0,628.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-lanarkshire/month/2020-12,138974,282693,126033.0,82765,220531.0,163649,118944,86.7,86.0,86.4,87.8,87.5,86.3,86.2,7.8,9.0,7.8,6.3,7.8,7.8,8.4,0.3,1.1,0.4,-0.2,0.0,0.1,0.1,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-lanarkshire,737.0,662.0,75.0,206.0,531.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-lanarkshire/month/2021-01,138721,281326,126027.0,83190,218180.0,162800,118554,86.5,85.6,86.4,88.3,86.6,85.8,85.9,9.2,9.5,9.5,8.7,7.3,8.9,9.7,-0.2,-0.5,0.0,0.5,-1.1,-0.5,-0.3,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-lanarkshire,477.0,452.0,25.0,143.0,334.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-lanarkshire/month/2021-02,138434,279923,125811.0,83305,217604.0,162158,118444,86.3,85.2,86.2,88.4,86.3,85.5,85.8,10.0,9.4,10.7,10.5,6.8,9.4,10.8,-0.2,-0.5,-0.2,0.1,-0.3,-0.4,-0.1,2021-02,1,2021-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-lanarkshire,464.0,413.0,51.0,120.0,344.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-lanarkshire/month/2021-03,137923,276695,125429.0,83359,216419.0,161569,118482,86.0,84.2,86.0,88.4,85.9,85.2,85.8,8.0,6.5,8.9,8.6,3.6,7.4,9.4,-0.4,-1.2,-0.3,0.1,-0.5,-0.4,0.0,2021-03,1,2021-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-lanarkshire,787.0,670.0,117.0,235.0,552.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-lanarkshire/month/2021-04,137903,277128,125213.0,83202,218613.0,161284,118634,86.0,84.3,85.8,88.3,86.7,85.0,85.9,5.2,3.7,6.0,6.1,1.7,4.5,6.4,0.0,0.2,-0.2,-0.2,1.0,-0.2,0.1,2021-04,1,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-lanarkshire,511.0,442.0,69.0,167.0,344.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-lanarkshire/month/2021-05,138479,277692,125765.0,83548,219193.0,162082,119329,86.3,84.5,86.2,88.6,87.0,85.4,86.4,5.5,4.2,6.5,6.2,1.1,4.9,6.7,0.4,0.2,0.4,0.4,0.3,0.5,0.6,2021-05,1,2021-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-lanarkshire,565.0,506.0,59.0,158.0,407.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-lanarkshire/month/2021-06,142565,285513,129744.0,86461,222707.0,165939,122858,88.9,86.9,88.9,91.7,88.4,87.5,89.0,8.0,6.1,9.1,10.0,2.7,6.5,9.1,3.0,2.8,3.2,3.5,1.6,2.4,3.0,2021-06,1,2021-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-lanarkshire,765.0,672.0,93.0,179.0,586.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-lanarkshire/month/2021-07,146324,294576,132997.0,88044,230516.0,171288,125954,91.2,89.6,91.2,93.4,91.5,90.3,91.2,11.6,10.1,12.5,12.4,7.6,10.8,13.0,2.6,3.2,2.5,1.8,3.5,3.2,2.5,2021-07,1,2021-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-lanarkshire,675.0,602.0,73.0,192.0,483.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-lanarkshire/month/2021-08,148833,299868,135417.0,89514,232925.0,174428,127945,92.8,91.3,92.8,95.0,92.4,92.0,92.7,12.5,11.4,13.4,13.4,8.7,11.6,13.6,1.7,1.8,1.8,1.7,1.0,1.8,1.6,2021-08,1,2021-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-lanarkshire,683.0,606.0,77.0,176.0,507.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-lanarkshire/month/2021-09,150606,304474,136958.0,90203,236478.0,177098,129245,93.9,92.7,93.9,95.7,93.8,93.4,93.6,12.4,12.4,13.2,12.4,8.8,11.9,12.9,1.2,1.5,1.1,0.8,1.5,1.5,1.0,2021-09,1,2021-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-lanarkshire,597.0,515.0,82.0,180.0,417.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-lanarkshire/month/2021-10,152751,308766,139341.0,91889,234939.0,179033,130800,95.2,94.0,95.5,97.5,93.2,94.4,94.7,12.6,13.3,13.5,13.0,8.0,11.4,12.3,1.4,1.4,1.7,1.9,-0.7,1.1,1.2,2021-10,1,2021-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-lanarkshire,670.0,596.0,74.0,178.0,492.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-lanarkshire/month/2021-11,155389,315564,141629.0,93298,240308.0,182006,132754,96.9,96.0,97.1,99.0,95.3,96.0,96.2,12.1,12.8,12.8,12.5,9.0,11.3,11.8,1.7,2.2,1.6,1.5,2.3,1.7,1.5,2021-11,1,2021-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-lanarkshire,673.0,557.0,116.0,184.0,489.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-lanarkshire/month/2021-12,155466,316499,141811.0,93176,239209.0,182195,132681,96.9,96.3,97.2,98.9,94.9,96.1,96.1,11.9,12.0,12.5,12.6,8.5,11.3,11.5,0.0,0.3,0.1,-0.1,-0.5,0.1,-0.1,2021-12,1,2021-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-lanarkshire,567.0,457.0,110.0,148.0,419.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-lanarkshire/month/2022-01,155904,318112,142156.0,93170,240489.0,182859,133081,97.2,96.8,97.4,98.8,95.4,96.4,96.4,12.4,13.1,12.8,12.0,10.2,12.3,12.3,0.3,0.5,0.2,0.0,0.5,0.4,0.3,2022-01,1,2022-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-lanarkshire,493.0,446.0,47.0,143.0,350.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-lanarkshire/month/2022-02,153782,313971,140166.0,91693,238217.0,180742,131294,95.9,95.6,96.1,97.3,94.5,95.3,95.1,11.1,12.2,11.4,10.1,9.5,11.5,10.8,-1.4,-1.3,-1.4,-1.6,-0.9,-1.2,-1.3,2022-02,1,2022-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-lanarkshire,476.0,387.0,89.0,131.0,345.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-lanarkshire/month/2022-03,153807,314998,139928.0,91366,241465.0,181120,131235,95.9,95.9,95.9,96.9,95.8,95.5,95.1,11.5,13.8,11.6,9.6,11.6,12.1,10.8,0.0,0.3,-0.2,-0.4,1.4,0.2,0.0,2022-03,1,2022-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-lanarkshire,584.0,444.0,140.0,158.0,426.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-lanarkshire/month/2022-04,154792,316812,140788.0,91776,243511.0,182232,132476,96.5,96.4,96.5,97.4,96.6,96.1,96.0,12.2,14.3,12.4,10.3,11.4,13.0,11.7,0.6,0.6,0.6,0.4,0.8,0.6,0.9,2022-04,1,2022-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-lanarkshire,540.0,435.0,105.0,143.0,397.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-lanarkshire/month/2022-05,159943,326005,145661.0,94962,248936.0,188212,137268,99.7,99.2,99.8,100.7,98.8,99.2,99.4,15.5,17.4,15.8,13.7,13.6,16.1,15.0,3.3,2.9,3.5,3.5,2.2,3.3,3.6,2022-05,1,2022-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-lanarkshire,575.0,474.0,101.0,144.0,431.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-lanarkshire/month/2022-06,163239,333936,148692.0,96713,253639.0,191820,140097,101.8,101.6,101.9,102.6,100.6,101.1,101.5,14.5,17.0,14.6,11.9,13.9,15.6,14.0,2.1,2.4,2.1,1.8,1.9,1.9,2.1,2022-06,1,2022-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-lanarkshire,621.0,476.0,145.0,180.0,441.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-lanarkshire/month/2022-07,163518,332867,149001.0,96887,253296.0,192597,140756,102.0,101.3,102.1,102.8,100.5,101.5,102.0,11.8,13.0,12.0,10.0,9.9,12.4,11.8,0.2,-0.3,0.2,0.2,-0.1,0.4,0.5,2022-07,1,2022-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-lanarkshire,565.0,491.0,74.0,159.0,406.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-lanarkshire/month/2022-08,164581,334984,149974.0,97247,254880.0,193982,142073,102.6,101.9,102.8,103.2,101.1,102.3,102.9,10.6,11.7,10.8,8.6,9.4,11.2,11.0,0.7,0.6,0.7,0.4,0.6,0.7,0.9,2022-08,1,2022-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-lanarkshire,584.0,490.0,94.0,178.0,406.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-lanarkshire/month/2022-09,164016,331214,149627.0,97128,251643.0,193759,142061,102.3,100.8,102.6,103.0,99.8,102.1,102.9,8.9,8.8,9.2,7.7,6.4,9.4,9.9,-0.3,-1.1,-0.2,-0.1,-1.3,-0.1,0.0,2022-09,1,2022-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-lanarkshire,658.0,534.0,124.0,191.0,467.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-lanarkshire/month/2022-10,166358,337336,151793.0,98382,254806.0,196338,143836,103.7,102.7,104.0,104.4,101.1,103.5,104.2,8.9,9.3,8.9,7.1,8.5,9.7,10.0,1.4,1.8,1.4,1.3,1.3,1.3,1.2,2022-10,1,2022-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-lanarkshire,676.0,575.0,101.0,198.0,478.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-lanarkshire/month/2022-11,164588,335158,150069.0,97018,253637.0,194412,142169,102.6,102.0,102.9,102.9,100.6,102.5,103.0,5.9,6.2,6.0,4.0,5.5,6.8,7.1,-1.1,-0.6,-1.1,-1.4,-0.5,-1.0,-1.2,2022-11,1,2022-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-lanarkshire,608.0,508.0,100.0,187.0,421.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-lanarkshire/month/2022-12,163148,333255,148706.0,96115,252126.0,192477,140717,101.7,101.4,101.9,102.0,100.0,101.5,101.9,4.9,5.3,4.9,3.2,5.4,5.6,6.1,-0.9,-0.6,-0.9,-0.9,-0.6,-1.0,-1.0,2022-12,1,2022-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-lanarkshire,530.0,410.0,120.0,160.0,370.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-lanarkshire/month/2023-01,160381,328589,145894.0,94259,252032.0,189683,138053,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2.9,3.3,2.6,1.2,4.8,3.7,3.7,-1.7,-1.4,-1.9,-1.9,0.0,-1.5,-1.9,2023-01,1,2023-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-lanarkshire,367.0,332.0,35.0,125.0,242.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-lanarkshire/month/2023-02,156899,322226,142481.0,92251,249822.0,185541,134670,97.8,98.1,97.7,97.9,99.1,97.8,97.5,2.0,2.6,1.7,0.6,4.9,2.7,2.6,-2.2,-1.9,-2.3,-2.1,-0.9,-2.2,-2.5,2023-02,1,2023-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-lanarkshire,359.0,316.0,43.0,115.0,244.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-lanarkshire/month/2023-03,156488,322097,141660.0,91962,254675.0,185461,133855,97.6,98.0,97.1,97.6,101.0,97.8,97.0,1.7,2.3,1.2,0.7,5.5,2.4,2.0,-0.3,0.0,-0.6,-0.3,1.9,0.0,-0.6,2023-03,1,2023-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-lanarkshire,551.0,470.0,81.0,152.0,399.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-lanarkshire/month/2023-04,157081,321981,142053.0,92425,256906.0,186529,134500,97.9,98.0,97.4,98.1,101.9,98.3,97.4,1.5,1.6,0.9,0.7,5.5,2.4,1.5,0.4,0.0,0.3,0.5,0.9,0.6,0.5,2023-04,1,2023-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-lanarkshire,495.0,428.0,67.0,144.0,351.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-lanarkshire/month/2023-05,160829,328538,145434.0,94985,263108.0,190704,137671,100.3,100.0,99.7,100.8,104.4,100.5,99.7,0.6,0.8,-0.2,0.0,5.7,1.3,0.3,2.4,2.0,2.4,2.8,2.4,2.2,2.4,2023-05,1,2023-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-lanarkshire,499.0,423.0,76.0,160.0,339.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-lanarkshire/month/2023-06,162911,330195,147718.0,96545,263022.0,192749,140124,101.6,100.5,101.3,102.4,104.4,101.6,101.5,-0.2,-1.1,-0.7,-0.2,3.7,0.5,0.0,1.3,0.5,1.6,1.6,0.0,1.1,1.8,2023-06,1,2023-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-lanarkshire,654.0,518.0,136.0,177.0,477.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-lanarkshire/month/2023-07,164030,331991,148801.0,97150,264236.0,193983,141426,102.3,101.0,102.0,103.1,104.8,102.3,102.4,0.3,-0.3,-0.1,0.3,4.3,0.7,0.5,0.7,0.5,0.7,0.6,0.5,0.6,0.9,2023-07,1,2023-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-lanarkshire,499.0,450.0,49.0,148.0,351.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-lanarkshire/month/2023-08,162868,329998,147856.0,96232,261404.0,192657,140660,101.6,100.4,101.3,102.1,103.7,101.6,101.9,-1.0,-1.5,-1.4,-1.0,2.6,-0.7,-1.0,-0.7,-0.6,-0.6,-0.9,-1.1,-0.7,-0.5,2023-08,1,2023-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-lanarkshire,506.0,450.0,56.0,165.0,341.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-lanarkshire/month/2023-09,162691,331744,147544.0,95782,262410.0,192385,140302,101.4,101.0,101.1,101.6,104.1,101.4,101.6,-0.8,0.2,-1.4,-1.4,4.3,-0.7,-1.2,-0.1,0.5,-0.2,-0.5,0.4,-0.1,-0.3,2023-09,1,2023-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-lanarkshire,610.0,527.0,83.0,209.0,401.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-lanarkshire/month/2023-10,163787,334702,148471.0,96178,264781.0,193721,141387,102.1,101.9,101.8,102.0,105.1,102.1,102.4,-1.5,-0.8,-2.2,-2.2,3.9,-1.3,-1.7,0.7,0.9,0.6,0.4,0.9,0.7,0.8,2023-10,1,2023-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-lanarkshire,528.0,468.0,60.0,188.0,340.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-lanarkshire/month/2023-11,164360,336956,148732.0,96160,267977.0,194981,141783,102.5,102.5,101.9,102.0,106.3,102.8,102.7,-0.1,0.5,-0.9,-0.9,5.7,0.3,-0.3,0.3,0.7,0.2,0.0,1.2,0.7,0.3,2023-11,1,2023-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-lanarkshire,520.0,444.0,76.0,181.0,339.0
