_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/south-tyneside/month/2020-01,123507,247823,121169.0,80008,185743.0,142794,114030,83.3,84.8,82.9,86.0,85.9,82.9,81.8,2.9,2.7,2.8,1.2,2.8,3.3,3.2,-1.2,-0.8,-1.3,-1.5,-0.3,-1.2,-1.2,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-tyneside,124.0,118.0,6.0,43.0,80.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-tyneside/month/2020-02,122779,246759,120284.0,79284,186076.0,141969,113455,82.8,84.5,82.3,85.3,86.0,82.4,81.4,3.5,3.0,3.6,1.4,2.5,4.0,4.0,-0.6,-0.4,-0.7,-0.9,0.2,-0.6,-0.5,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-tyneside,114.0,111.0,3.0,30.0,83.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-tyneside/month/2020-03,120493,242941,117818.0,77556,184822.0,139395,111336,81.2,83.2,80.6,83.4,85.5,80.9,79.9,2.0,1.5,2.0,0.2,1.5,2.5,2.5,-1.9,-1.5,-2.0,-2.2,-0.7,-1.8,-1.9,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-tyneside,118.0,105.0,13.0,36.0,78.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-tyneside/month/2020-04,117370,237245,114761.0,75166,180087.0,135812,108548,79.1,81.2,78.5,80.8,83.3,78.8,77.9,-3.2,-3.2,-3.1,-5.0,-4.0,-2.7,-2.8,-2.6,-2.3,-2.6,-3.1,-2.6,-2.6,-2.5,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-tyneside,47.0,45.0,2.0,14.0,32.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-tyneside/month/2020-05,118401,240447,115542.0,75893,184584.0,136921,109310,79.8,82.3,79.1,81.6,85.4,79.4,78.4,-3.6,-2.9,-3.9,-5.1,-2.1,-3.3,-3.6,0.9,1.3,0.7,1.0,2.5,0.8,0.7,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-tyneside,73.0,73.0,,17.0,53.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-tyneside/month/2020-06,118620,240220,115896.0,75786,183164.0,137378,109622,80.0,82.2,79.3,81.5,84.7,79.7,78.6,-5.3,-4.5,-5.6,-7.3,-3.7,-4.8,-5.3,0.2,-0.1,0.3,-0.1,-0.8,0.3,0.3,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-tyneside,117.0,112.0,5.0,40.0,75.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-tyneside/month/2020-07,121826,245220,119177.0,78066,186177.0,141120,112708,82.1,83.9,81.5,84.0,86.1,81.9,80.8,-0.9,-0.6,-1.0,-2.9,-0.3,-0.3,-0.8,2.7,2.1,2.8,3.0,1.6,2.7,2.8,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-tyneside,156.0,150.0,6.0,51.0,103.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-tyneside/month/2020-08,121899,244674,119395.0,77454,184390.0,141464,113102,82.2,83.8,81.7,83.3,85.3,82.1,81.1,-1.2,-1.1,-1.3,-3.8,-1.3,-0.4,-0.9,0.1,-0.2,0.2,-0.8,-1.0,0.2,0.4,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-tyneside,118.0,108.0,10.0,39.0,78.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-tyneside/month/2020-09,124030,249862,121412.0,78452,188494.0,143817,115236,83.6,85.5,83.1,84.4,87.2,83.4,82.7,-0.8,-0.5,-0.8,-3.8,-1.3,0.2,-0.6,1.7,2.1,1.7,1.3,2.2,1.7,1.9,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-tyneside,142.0,132.0,10.0,33.0,106.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-tyneside/month/2020-10,126166,254777,123621.0,79306,190259.0,146466,117263,85.1,87.2,84.6,85.3,88.0,85.0,84.1,-0.7,0.1,-0.6,-4.1,-1.4,0.2,-0.3,1.7,2.0,1.8,1.1,0.9,1.8,1.8,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-tyneside,162.0,158.0,4.0,42.0,113.0
