_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_sa,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_sa,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/south-west/month/2020-01,248521,408683,244175.0,155288,315087.0,248634,258616,210226,80.4,79.7,79.6,84.5,84.0,80.4,79.8,79.5,1.1,0.4,0.8,-0.2,3.7,2.0,2.0,0.4,0.8,-0.3,-0.4,6.7,1.0,0.2,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-west,6566.0,6111.0,455.0,2296.0,4119.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-west/month/2020-02,247281,407630,244135.0,153824,302328.0,248112,256531,209782,80.0,79.5,79.6,83.7,80.6,80.3,79.1,79.4,0.4,0.2,0.9,-2.0,-3.3,1.0,1.6,-0.5,-0.3,0.0,-0.9,-4.0,-0.8,-0.2,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-west,6465.0,5930.0,535.0,2178.0,4104.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-west/month/2020-03,250417,411864,246439.0,156754,313625.0,252644,260046,211949,81.0,80.3,80.4,85.3,83.6,81.7,80.2,80.2,2.5,2.5,2.5,1.5,2.8,2.7,3.1,1.3,1.0,0.9,1.9,3.7,1.4,1.0,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-west,6818.0,6007.0,811.0,2336.0,4247.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-west/month/2020-04,247576,408323,242685.0,151721,319368.0,249326,258168,210901,80.1,79.6,79.1,82.6,85.1,80.7,79.6,79.8,1.4,2.2,1.0,-1.5,4.6,2.2,1.9,-1.1,-0.9,-1.5,-3.2,1.8,-0.7,-0.5,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-west,2467.0,2247.0,220.0,758.0,1645.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-west/month/2020-05,247280,405845,242877.0,154791,314264.0,249148,257762,209067,80.0,79.1,79.2,84.3,83.7,80.6,79.5,79.1,1.5,1.5,1.1,0.6,4.7,2.2,1.3,-0.1,-0.6,0.1,2.0,-1.6,-0.2,-0.9,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-west,3494.0,3263.0,231.0,1095.0,2318.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-west/month/2020-06,250343,409097,247502.0,156432,302901.0,251008,260577,213140,81.0,79.8,80.7,85.1,80.7,81.2,80.4,80.6,2.6,2.1,2.8,1.7,2.2,3.1,3.5,1.2,0.8,1.9,1.1,-3.6,1.1,1.9,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-west,5379.0,4862.0,517.0,1846.0,3429.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-west/month/2020-07,254397,418617,250658.0,158705,315734.0,252073,264335,215542,82.3,81.6,81.7,86.4,84.1,81.6,81.5,81.5,2.1,2.3,2.3,0.8,0.3,2.6,2.2,1.6,2.3,1.3,1.5,4.2,1.4,1.1,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-west,6413.0,5892.0,521.0,2185.0,4092.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-west/month/2020-08,255918,422163,252241.0,157272,316831.0,252820,266886,217575,82.8,82.3,82.3,85.6,84.4,81.8,82.3,82.3,2.6,3.0,2.6,0.6,3.8,3.6,2.8,0.6,0.8,0.6,-0.9,0.3,1.0,0.9,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-west,6477.0,5957.0,520.0,2114.0,4236.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-west/month/2020-09,260328,431058,256897.0,160298,319393.0,257093,270214,221083,84.2,84.1,83.8,87.2,85.1,83.2,83.3,83.6,4.2,5.1,4.4,1.5,3.3,5.1,4.3,1.7,2.1,1.8,1.9,0.8,1.2,1.6,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-west,7310.0,6679.0,631.0,2564.0,4580.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-west/month/2020-10,262275,435999,259341.0,160227,316942.0,260161,271823,223179,84.9,85.0,84.6,87.2,84.5,84.2,83.8,84.4,5.1,6.4,5.5,1.9,2.5,4.7,5.9,0.7,1.1,1.0,0.0,-0.8,0.6,0.9,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-west,9373.0,8748.0,625.0,3199.0,5933.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-west/month/2020-11,263680,437257,261185.0,161861,314503.0,262145,273103,224427,85.3,85.3,85.2,88.1,83.8,84.8,84.2,84.9,6.5,7.2,6.6,4.8,6.6,6.1,7.2,0.5,0.3,0.7,1.0,-0.8,0.5,0.6,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-west,9128.0,8512.0,616.0,3212.0,5677.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-west/month/2020-12,266843,441882,264325.0,163924,318210.0,265359,275900,227701,86.3,86.2,86.2,89.2,84.8,85.8,85.1,86.1,7.9,8.9,8.0,5.2,7.8,7.7,8.5,1.2,1.1,1.2,1.3,1.2,1.0,1.5,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-west,10808.0,9984.0,824.0,3788.0,6647.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-west/month/2021-01,263614,429927,261566.0,165251,310412.0,264153,272891,225554,85.3,83.8,85.3,89.9,82.7,85.5,84.2,85.3,6.1,5.2,7.1,6.4,-1.5,5.5,7.3,-1.2,-2.7,-1.0,0.8,-2.5,-1.1,-0.9,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-west,8374.0,7788.0,586.0,3015.0,5353.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-west/month/2021-02,264702,430732,262399.0,166628,314503.0,265234,273484,226890,85.6,84.0,85.6,90.7,83.8,85.8,84.3,85.8,7.0,5.7,7.5,8.3,4.0,6.6,8.2,0.4,0.2,0.3,0.8,1.3,0.2,0.6,2021-02,1,2021-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-west,10920.0,10076.0,844.0,4021.0,6883.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-west/month/2021-03,268671,434737,266093.0,170921,321993.0,270333,276915,230811,86.9,84.8,86.8,93.0,85.8,87.5,85.4,87.3,7.3,5.6,8.0,9.0,2.7,6.5,8.9,1.5,0.9,1.4,2.6,2.4,1.3,1.7,2021-03,1,2021-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-west,15555.0,14171.0,1384.0,5954.0,9576.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-west/month/2021-04,265562,432529,262549.0,167214,323711.0,267052,273888,227716,85.9,84.3,85.6,91.0,86.3,86.4,84.5,86.1,7.3,5.9,8.2,10.2,1.4,6.1,8.0,-1.2,-0.5,-1.3,-2.2,0.5,-1.1,-1.3,2021-04,1,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-west,10061.0,9200.0,861.0,3658.0,6384.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-west/month/2021-05,262927,429124,260420.0,163886,314940.0,265212,272257,225472,85.1,83.7,84.9,89.2,83.9,85.8,84.0,85.3,6.3,5.7,7.2,5.9,0.2,5.6,7.8,-1.0,-0.8,-0.8,-2.0,-2.7,-0.6,-1.0,2021-05,1,2021-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-west,8283.0,7405.0,878.0,2912.0,5352.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-west/month/2021-06,281947,456018,280468.0,178731,324018.0,282911,288773,244189,91.2,88.9,91.5,97.3,86.3,91.5,89.1,92.4,12.6,11.5,13.3,14.3,7.0,10.8,14.6,7.2,6.3,7.7,9.1,2.9,6.1,8.3,2021-06,1,2021-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-west,19196.0,17439.0,1757.0,7440.0,11715.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-west/month/2021-07,258746,420511,255434.0,161731,319887.0,257113,269663,221310,83.7,82.0,83.3,88.0,85.2,83.2,83.2,83.7,1.7,0.5,1.9,1.9,1.3,2.0,2.7,-8.2,-7.8,-8.9,-9.5,-1.3,-6.6,-9.4,2021-07,1,2021-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-west,5738.0,5187.0,551.0,1821.0,3900.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-west/month/2021-08,272401,448281,270604.0,167531,317158.0,269211,282945,232629,88.1,87.4,88.2,91.2,84.5,87.1,87.3,88.0,6.4,6.2,7.3,6.5,0.1,6.0,6.9,5.3,6.6,5.9,3.6,-0.9,4.9,5.1,2021-08,1,2021-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-west,8309.0,7582.0,727.0,2899.0,5399.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-west/month/2021-09,283935,463314,282154.0,176537,329544.0,280718,293400,244346,91.9,90.3,92.0,96.1,87.8,90.8,90.5,92.4,9.1,7.5,9.8,10.1,3.2,8.6,10.5,4.2,3.4,4.3,5.4,3.9,3.7,5.0,2021-09,1,2021-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-west,15878.0,14462.0,1416.0,5981.0,9853.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-west/month/2021-10,276090,461620,274120.0,167266,323125.0,273824,286185,234118,89.3,90.0,89.4,91.0,86.1,88.6,88.3,88.6,5.3,5.9,5.7,4.4,2.0,5.3,4.9,-2.8,-0.4,-2.8,-5.3,-1.9,-2.5,-4.2,2021-10,1,2021-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-west,5759.0,5076.0,683.0,1820.0,3911.0
http://landregistry.data.gov.uk/data/ukhpi/region/south-west/month/2021-11,284105,471456,281803.0,172875,335622.0,282497,295410,241661,91.9,91.9,91.9,94.1,89.4,91.4,91.1,91.4,7.7,7.8,7.9,6.8,6.7,8.2,7.7,2.9,2.1,2.8,3.4,3.9,3.2,3.2,2021-11,1,2021-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/south-west,7896.0,7019.0,877.0,2773.0,5085.0
