_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/southampton/month/2020-01,201081,351845,201575.0,140716,152957.0,255393,204561,82.1,81.5,81.7,85.1,89.1,80.6,80.1,-2.3,-2.2,-2.3,-3.7,-2.7,-1.3,-1.4,-0.1,0.1,-0.1,-0.2,0.5,0.0,0.0,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/southampton,198.0,189.0,9.0,46.0,147.0
http://landregistry.data.gov.uk/data/ukhpi/region/southampton/month/2020-02,200484,350958,200878.0,140234,153026.0,254510,204122,81.8,81.2,81.4,84.8,89.1,80.3,79.9,-1.2,-0.8,-1.1,-2.9,-3.4,-0.1,0.0,-0.3,-0.3,-0.3,-0.3,0.0,-0.3,-0.2,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/southampton,257.0,241.0,16.0,53.0,201.0
http://landregistry.data.gov.uk/data/ukhpi/region/southampton/month/2020-03,200518,350313,200715.0,140362,154726.0,254608,204083,81.8,81.1,81.4,84.9,90.1,80.4,79.9,-0.3,-0.2,-0.2,-1.6,-1.9,0.6,0.7,0.0,-0.2,-0.1,0.1,1.1,0.0,0.0,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/southampton,247.0,217.0,30.0,42.0,191.0
http://landregistry.data.gov.uk/data/ukhpi/region/southampton/month/2020-04,202904,355816,203123.0,141398,156328.0,257926,207223,82.8,82.4,82.3,85.5,91.0,81.4,81.2,1.5,2.3,1.7,-0.2,-0.6,2.7,2.7,1.2,1.6,1.2,0.7,1.0,1.3,1.5,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/southampton,83.0,80.0,3.0,21.0,61.0
http://landregistry.data.gov.uk/data/ukhpi/region/southampton/month/2020-05,204867,359059,204861.0,142941,160477.0,260468,208880,83.6,83.1,83.1,86.4,93.4,82.2,81.8,2.5,3.3,2.5,1.3,3.4,3.4,3.2,1.0,0.9,0.9,1.1,2.7,1.0,0.8,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/southampton,119.0,118.0,1.0,29.0,86.0
http://landregistry.data.gov.uk/data/ukhpi/region/southampton/month/2020-06,206824,363046,206984.0,143830,160120.0,263472,211323,84.4,84.0,83.9,87.0,93.2,83.2,82.8,4.5,5.5,4.4,2.8,4.8,5.6,5.2,1.0,1.1,1.0,0.6,-0.2,1.2,1.2,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/southampton,158.0,153.0,5.0,37.0,121.0
http://landregistry.data.gov.uk/data/ukhpi/region/southampton/month/2020-07,205712,359528,205966.0,143463,158151.0,261902,209941,84.0,83.2,83.5,86.7,92.1,82.7,82.2,3.6,4.4,3.6,2.1,2.8,4.7,4.2,-0.5,-1.0,-0.5,-0.3,-1.2,-0.6,-0.7,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/southampton,189.0,176.0,13.0,47.0,137.0
http://landregistry.data.gov.uk/data/ukhpi/region/southampton/month/2020-08,205194,359054,205648.0,142337,155424.0,262075,210303,83.7,83.1,83.4,86.1,90.5,82.7,82.4,2.3,3.3,2.4,0.5,0.6,3.7,3.2,-0.3,-0.1,-0.2,-0.8,-1.7,0.1,0.2,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/southampton,199.0,185.0,14.0,52.0,143.0
http://landregistry.data.gov.uk/data/ukhpi/region/southampton/month/2020-09,204543,358132,204955.0,141673,155387.0,261548,209793,83.5,82.9,83.1,85.7,90.5,82.6,82.2,0.5,1.6,0.6,-1.5,-1.6,2.2,1.3,-0.3,-0.3,-0.3,-0.5,0.0,-0.2,-0.2,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/southampton,231.0,219.0,12.0,52.0,169.0
http://landregistry.data.gov.uk/data/ukhpi/region/southampton/month/2020-10,204267,359746,204864.0,140858,153070.0,261580,209877,83.4,83.3,83.1,85.2,89.1,82.6,82.2,0.9,2.4,1.0,-1.3,-2.1,2.4,1.8,-0.1,0.5,0.0,-0.6,-1.5,0.0,0.0,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/southampton,264.0,253.0,11.0,60.0,200.0
http://landregistry.data.gov.uk/data/ukhpi/region/southampton/month/2020-11,204728,361271,205484.0,141192,151663.0,261674,210462,83.6,83.6,83.3,85.4,88.3,82.6,82.4,1.7,3.2,1.9,-0.3,-1.8,2.7,2.8,0.2,0.4,0.3,0.2,-0.9,0.0,0.3,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/southampton,259.0,253.0,6.0,49.0,205.0
http://landregistry.data.gov.uk/data/ukhpi/region/southampton/month/2020-12,205342,362907,206216.0,141387,150832.0,262326,211517,83.8,84.0,83.6,85.5,87.8,82.8,82.8,2.1,3.2,2.2,0.3,-0.9,2.7,3.4,0.3,0.5,0.4,0.1,-0.5,0.2,0.5,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/southampton,306.0,294.0,12.0,55.0,245.0
http://landregistry.data.gov.uk/data/ukhpi/region/southampton/month/2021-01,206382,361700,207313.0,142843,151027.0,263071,212444,84.2,83.7,84.0,86.4,87.9,83.0,83.2,2.6,2.8,2.8,1.5,-1.3,3.0,3.9,0.5,-0.3,0.5,1.0,0.1,0.3,0.4,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/southampton,219.0,213.0,6.0,48.0,171.0
http://landregistry.data.gov.uk/data/ukhpi/region/southampton/month/2021-02,208640,361914,209531.0,145412,153416.0,264973,214647,85.2,83.8,84.9,87.9,89.3,83.6,84.1,4.1,3.1,4.3,3.7,0.3,4.1,5.2,1.1,0.1,1.1,1.8,1.6,0.7,1.0,2021-02,1,2021-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/southampton,288.0,278.0,10.0,54.0,233.0
