_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/southend-on-sea/month/2020-01,284119,548273,284859.0,184823,190595.0,359473,276806,84.9,84.0,85.1,87.6,91.6,84.1,83.1,1.8,2.0,1.9,0.4,1.0,2.8,2.8,-0.7,-0.6,-0.8,-0.9,0.0,-0.7,-0.6,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/southend-on-sea,219.0,200.0,19.0,68.0,143.0
http://landregistry.data.gov.uk/data/ukhpi/region/southend-on-sea/month/2020-02,282862,546209,283048.0,183887,190135.0,357446,276015,84.6,83.7,84.5,87.1,91.4,83.6,82.9,1.8,2.2,2.0,0.3,-0.6,2.9,3.1,-0.4,-0.4,-0.6,-0.5,-0.2,-0.6,-0.3,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/southend-on-sea,190.0,184.0,6.0,53.0,136.0
http://landregistry.data.gov.uk/data/ukhpi/region/southend-on-sea/month/2020-03,282650,546036,282257.0,183696,191916.0,357245,275902,84.5,83.7,84.3,87.0,92.2,83.6,82.8,2.0,2.1,2.0,0.7,0.0,2.8,3.2,-0.1,0.0,-0.3,-0.1,0.9,-0.1,0.0,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/southend-on-sea,195.0,187.0,8.0,46.0,146.0
http://landregistry.data.gov.uk/data/ukhpi/region/southend-on-sea/month/2020-04,287354,556991,286989.0,185984,194236.0,363373,281226,85.9,85.3,85.7,88.1,93.3,85.0,84.4,3.6,4.3,3.6,2.0,0.8,4.4,4.7,1.7,2.0,1.7,1.2,1.2,1.7,1.9,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/southend-on-sea,107.0,105.0,2.0,25.0,80.0
http://landregistry.data.gov.uk/data/ukhpi/region/southend-on-sea/month/2020-05,286166,554207,285682.0,185433,196444.0,362155,279494,85.5,84.9,85.3,87.9,94.4,84.7,83.9,3.4,4.2,3.2,2.3,3.3,4.0,4.0,-0.4,-0.5,-0.5,-0.3,1.1,-0.3,-0.6,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/southend-on-sea,100.0,98.0,2.0,19.0,79.0
http://landregistry.data.gov.uk/data/ukhpi/region/southend-on-sea/month/2020-06,288540,558814,288147.0,186553,195737.0,365586,282206,86.3,85.6,86.0,88.4,94.1,85.6,84.7,4.4,5.4,4.2,3.0,4.0,5.2,5.1,0.8,0.8,0.9,0.6,-0.4,0.9,1.0,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/southend-on-sea,149.0,146.0,3.0,40.0,107.0
http://landregistry.data.gov.uk/data/ukhpi/region/southend-on-sea/month/2020-07,283041,546498,282690.0,183441,191151.0,358460,276659,84.6,83.7,84.4,86.9,91.9,83.9,83.1,0.7,1.5,0.5,-0.6,-0.6,1.5,1.2,-1.9,-2.2,-1.9,-1.7,-2.3,-1.9,-2.0,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/southend-on-sea,168.0,159.0,9.0,42.0,121.0
http://landregistry.data.gov.uk/data/ukhpi/region/southend-on-sea/month/2020-08,285787,553775,285495.0,184019,191424.0,362933,280078,85.4,84.8,85.3,87.2,92.0,84.9,84.1,1.1,2.1,0.9,-0.6,-0.6,2.2,1.7,1.0,1.3,1.0,0.3,0.1,1.2,1.2,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/southend-on-sea,184.0,178.0,6.0,57.0,123.0
http://landregistry.data.gov.uk/data/ukhpi/region/southend-on-sea/month/2020-09,284762,553575,284434.0,182660,191615.0,362071,279427,85.1,84.8,84.9,86.6,92.1,84.7,83.9,0.2,1.5,0.1,-1.9,-1.7,1.6,0.8,-0.4,0.0,-0.4,-0.7,0.1,-0.2,-0.2,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/southend-on-sea,223.0,208.0,15.0,55.0,163.0
http://landregistry.data.gov.uk/data/ukhpi/region/southend-on-sea/month/2020-10,288947,564559,288728.0,184406,191649.0,367983,283864,86.4,86.5,86.2,87.4,92.1,86.1,85.2,2.1,3.8,2.0,-0.3,-0.6,3.3,2.9,1.5,2.0,1.5,1.0,0.0,1.6,1.6,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/southend-on-sea,293.0,281.0,12.0,88.0,199.0
