_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/southwark/month/2020-01,579820,1619184,569107.0,492770,623719.0,1128668,766536,97.4,91.7,95.7,99.3,101.9,92.3,92.3,0.4,0.9,0.5,0.0,-0.2,2.1,1.9,-1.2,-1.5,-1.4,-1.2,-0.7,-1.3,-1.1,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/southwark,183.0,156.0,27.0,25.0,150.0
http://landregistry.data.gov.uk/data/ukhpi/region/southwark/month/2020-02,572942,1609527,561946.0,486419,620965.0,1117775,759870,96.3,91.1,94.5,98.0,101.5,91.4,91.5,1.5,3.2,2.0,0.9,-0.2,4.0,3.8,-1.2,-0.6,-1.3,-1.3,-0.4,-1.0,-0.9,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/southwark,174.0,154.0,20.0,26.0,143.0
http://landregistry.data.gov.uk/data/ukhpi/region/southwark/month/2020-03,575388,1622127,562693.0,488170,632375.0,1125834,764650,96.7,91.8,94.7,98.4,103.3,92.0,92.0,1.7,3.8,2.0,1.1,1.2,4.1,3.9,0.4,0.8,0.1,0.4,1.8,0.7,0.6,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/southwark,207.0,185.0,22.0,39.0,158.0
http://landregistry.data.gov.uk/data/ukhpi/region/southwark/month/2020-04,581284,1656217,568101.0,492567,640048.0,1144986,774722,97.7,93.8,95.6,99.2,104.6,93.6,93.2,3.5,6.8,3.8,2.9,2.9,6.6,5.6,1.0,2.1,1.0,0.9,1.2,1.7,1.3,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/southwark,99.0,92.0,7.0,12.0,84.0
http://landregistry.data.gov.uk/data/ukhpi/region/southwark/month/2020-05,599629,1703113,583278.0,509052,669252.0,1176420,793617,100.7,96.4,98.1,102.6,109.4,96.2,95.5,4.4,7.6,3.9,4.1,6.5,6.5,5.1,3.2,2.8,2.7,3.3,4.6,2.7,2.4,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/southwark,109.0,88.0,21.0,20.0,86.0
http://landregistry.data.gov.uk/data/ukhpi/region/southwark/month/2020-06,591135,1674963,576459.0,501444,655142.0,1161442,784997,99.3,94.8,97.0,101.0,107.0,95.0,94.5,3.4,6.3,2.9,3.0,5.4,5.5,4.2,-1.4,-1.7,-1.2,-1.5,-2.1,-1.3,-1.1,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/southwark,147.0,130.0,17.0,24.0,123.0
http://landregistry.data.gov.uk/data/ukhpi/region/southwark/month/2020-07,588798,1655708,575971.0,499397,646640.0,1153566,783386,98.9,93.7,96.9,100.6,105.7,94.3,94.3,2.2,5.0,2.2,1.8,3.0,4.1,3.3,-0.4,-1.1,-0.1,-0.4,-1.3,-0.7,-0.2,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/southwark,157.0,137.0,20.0,31.0,123.0
http://landregistry.data.gov.uk/data/ukhpi/region/southwark/month/2020-08,584189,1649768,574056.0,493895,633070.0,1155822,786195,98.2,93.4,96.6,99.5,103.4,94.5,94.6,2.1,5.0,2.5,1.5,1.9,4.8,4.0,-0.8,-0.4,-0.3,-1.1,-2.1,0.2,0.4,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/southwark,207.0,184.0,23.0,46.0,157.0
http://landregistry.data.gov.uk/data/ukhpi/region/southwark/month/2020-09,589931,1679391,579634.0,497837,639498.0,1176185,798330,99.1,95.1,97.5,100.3,104.5,96.2,96.1,1.2,4.6,1.8,0.5,0.2,4.8,3.7,1.0,1.8,1.0,0.8,1.0,1.8,1.5,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/southwark,225.0,203.0,22.0,33.0,185.0
http://landregistry.data.gov.uk/data/ukhpi/region/southwark/month/2020-10,595599,1708324,586862.0,501639,640353.0,1193494,811491,100.1,96.7,98.7,101.1,104.6,97.6,97.7,1.0,4.1,1.8,0.1,-0.5,4.7,4.1,1.0,1.7,1.2,0.8,0.1,1.5,1.6,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/southwark,251.0,242.0,9.0,57.0,191.0
http://landregistry.data.gov.uk/data/ukhpi/region/southwark/month/2020-11,608047,1745381,600974.0,511978,647937.0,1216180,829888,102.2,98.8,101.1,103.2,105.9,99.4,99.9,3.5,6.4,4.4,2.5,1.7,6.7,7.0,2.1,2.2,2.4,2.1,1.2,1.9,2.3,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/southwark,234.0,220.0,14.0,37.0,188.0
http://landregistry.data.gov.uk/data/ukhpi/region/southwark/month/2020-12,622328,1787111,616463.0,523753,658861.0,1242503,851598,104.6,101.2,103.7,105.5,107.7,101.6,102.5,6.0,8.7,6.9,5.0,4.9,8.7,9.9,2.3,2.4,2.6,2.3,1.7,2.2,2.6,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/southwark,272.0,262.0,10.0,53.0,211.0
http://landregistry.data.gov.uk/data/ukhpi/region/southwark/month/2021-01,612818,1746161,608262.0,516485,645011.0,1217526,834870,103.0,98.9,102.3,104.1,105.4,99.5,100.5,5.7,7.8,6.9,4.8,3.4,7.9,8.9,-1.5,-2.3,-1.3,-1.4,-2.1,-2.0,-2.0,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/southwark,222.0,215.0,7.0,35.0,187.0
http://landregistry.data.gov.uk/data/ukhpi/region/southwark/month/2021-02,586869,1654741,582629.0,495288,618026.0,1158008,796558,98.6,93.7,98.0,99.8,101.0,94.7,95.9,2.4,2.8,3.7,1.8,-0.5,3.6,4.8,-4.2,-5.2,-4.2,-4.1,-4.2,-4.9,-4.6,2021-02,1,2021-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/southwark,248.0,242.0,6.0,43.0,205.0
http://landregistry.data.gov.uk/data/ukhpi/region/southwark/month/2021-03,575984,1598120,571600.0,487387,608709.0,1124454,775644,96.8,90.5,96.2,98.2,99.5,91.9,93.4,0.1,-1.5,1.6,-0.2,-3.7,-0.1,1.4,-1.9,-3.4,-1.9,-1.6,-1.5,-2.9,-2.6,2021-03,1,2021-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/southwark,506.0,433.0,73.0,104.0,401.0
