_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/staffordshire/month/2020-01,186851,293214,182966.0,100453,257275.0,176018,138685,80.2,80.6,79.6,83.5,82.7,79.8,79.6,1.8,1.3,1.9,0.1,1.7,2.3,2.4,0.3,0.4,0.1,0.2,1.5,0.2,0.2,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/staffordshire,932.0,856.0,76.0,276.0,632.0
http://landregistry.data.gov.uk/data/ukhpi/region/staffordshire/month/2020-02,186976,293316,182894.0,100649,260018.0,175905,139066,80.3,80.6,79.6,83.7,83.6,79.7,79.8,2.0,1.4,2.2,0.3,1.0,2.4,2.9,0.1,0.0,0.0,0.2,1.1,-0.1,0.3,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/staffordshire,961.0,860.0,101.0,230.0,695.0
http://landregistry.data.gov.uk/data/ukhpi/region/staffordshire/month/2020-03,187857,295259,183420.0,101333,264997.0,176640,139328,80.7,81.1,79.8,84.2,85.2,80.1,80.0,2.9,2.6,3.0,1.8,2.8,3.2,3.5,0.5,0.7,0.3,0.7,1.9,0.4,0.2,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/staffordshire,954.0,794.0,160.0,245.0,665.0
http://landregistry.data.gov.uk/data/ukhpi/region/staffordshire/month/2020-04,186564,293536,182202.0,100023,262783.0,175499,138270,80.1,80.7,79.3,83.1,84.5,79.5,79.4,2.9,2.8,3.1,1.4,2.0,3.2,3.1,-0.7,-0.6,-0.7,-1.3,-0.8,-0.6,-0.8,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/staffordshire,359.0,324.0,35.0,82.0,264.0
http://landregistry.data.gov.uk/data/ukhpi/region/staffordshire/month/2020-05,187358,295142,182603.0,100528,267136.0,176288,138514,80.5,81.1,79.5,83.6,85.9,79.9,79.5,3.3,3.5,3.2,2.0,4.6,3.5,3.0,0.4,0.5,0.2,0.5,1.7,0.4,0.2,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/staffordshire,556.0,512.0,44.0,168.0,368.0
http://landregistry.data.gov.uk/data/ukhpi/region/staffordshire/month/2020-06,188050,295701,183689.0,100360,264666.0,177290,139189,80.8,81.3,79.9,83.4,85.1,80.3,79.9,3.6,3.7,3.4,1.9,4.9,3.9,3.2,0.4,0.2,0.6,-0.2,-0.9,0.6,0.5,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/staffordshire,835.0,738.0,97.0,214.0,609.0
http://landregistry.data.gov.uk/data/ukhpi/region/staffordshire/month/2020-07,189687,297865,185481.0,101600,265309.0,178701,140733,81.5,81.9,80.7,84.5,85.3,81.0,80.8,3.4,3.6,3.3,2.2,4.4,3.6,3.1,0.9,0.7,1.0,1.2,0.2,0.8,1.1,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/staffordshire,962.0,875.0,87.0,260.0,677.0
http://landregistry.data.gov.uk/data/ukhpi/region/staffordshire/month/2020-08,190888,299918,186937.0,101432,264543.0,179941,141666,82.0,82.4,81.3,84.3,85.0,81.5,81.3,3.2,3.3,3.2,1.6,3.6,3.5,2.8,0.6,0.7,0.8,-0.2,-0.3,0.7,0.7,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/staffordshire,1050.0,955.0,95.0,271.0,756.0
http://landregistry.data.gov.uk/data/ukhpi/region/staffordshire/month/2020-09,194025,305763,189744.0,102423,271101.0,182384,144189,83.3,84.0,82.6,85.1,87.2,82.7,82.7,3.8,4.1,3.9,1.5,3.9,4.1,3.6,1.6,1.9,1.5,1.0,2.5,1.4,1.8,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/staffordshire,1048.0,915.0,133.0,271.0,757.0
http://landregistry.data.gov.uk/data/ukhpi/region/staffordshire/month/2020-10,195943,309396,191906.0,102599,271365.0,184119,145548,84.1,85.0,83.5,85.3,87.2,83.4,83.5,4.4,4.9,4.6,1.3,4.1,4.5,4.3,1.0,1.2,1.1,0.2,0.1,1.0,0.9,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/staffordshire,1276.0,1163.0,113.0,331.0,919.0
http://landregistry.data.gov.uk/data/ukhpi/region/staffordshire/month/2020-11,197926,312591,194288.0,103654,270451.0,185855,147126,85.0,85.9,84.5,86.2,86.9,84.2,84.4,5.5,6.1,5.8,2.5,4.7,5.3,5.7,1.0,1.0,1.2,1.0,-0.3,0.9,1.1,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/staffordshire,1267.0,1151.0,116.0,365.0,861.0
http://landregistry.data.gov.uk/data/ukhpi/region/staffordshire/month/2020-12,198624,313781,195336.0,104026,268392.0,186497,147592,85.3,86.2,85.0,86.5,86.3,84.5,84.7,6.6,7.5,6.9,3.8,5.9,6.1,6.7,0.4,0.4,0.5,0.4,-0.8,0.3,0.3,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/staffordshire,1497.0,1341.0,156.0,386.0,1042.0
http://landregistry.data.gov.uk/data/ukhpi/region/staffordshire/month/2021-01,200591,315237,197593.0,106311,268423.0,188716,149373,86.1,86.6,86.0,88.4,86.3,85.5,85.7,7.4,7.5,8.0,5.8,4.3,7.2,7.7,1.0,0.5,1.2,2.2,0.0,1.2,1.2,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/staffordshire,1129.0,1025.0,104.0,301.0,826.0
