_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/stirling/month/2020-01,176686,326539,172124.0,114567,234975.0,186401,154469,83.3,81.5,83.4,85.7,85.4,83.4,82.5,8.3,10.0,8.2,5.5,9.7,9.3,9.0,3.1,3.5,3.0,2.8,4.3,2.9,3.0,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/stirling,97.0,95.0,2.0,36.0,61.0
http://landregistry.data.gov.uk/data/ukhpi/region/stirling/month/2020-02,175951,326483,171196.0,113736,235203.0,185358,153841,83.0,81.5,82.9,85.0,85.5,82.9,82.2,7.7,9.6,7.6,4.7,7.5,8.5,8.4,-0.4,0.0,-0.5,-0.7,0.1,-0.6,-0.4,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/stirling,84.0,80.0,4.0,32.0,52.0
http://landregistry.data.gov.uk/data/ukhpi/region/stirling/month/2020-03,175534,324933,170573.0,113979,236374.0,184493,153327,82.8,81.1,82.6,85.2,85.9,82.5,81.9,6.9,7.8,6.8,5.3,6.7,7.2,7.5,-0.2,-0.5,-0.4,0.2,0.5,-0.5,-0.3,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/stirling,114.0,101.0,13.0,47.0,67.0
http://landregistry.data.gov.uk/data/ukhpi/region/stirling/month/2020-04,173190,321740,168303.0,111794,233001.0,182128,151826,81.7,80.3,81.5,83.6,84.7,81.5,81.1,3.8,5.5,3.7,1.6,3.2,4.0,4.3,-1.3,-1.0,-1.3,-1.9,-1.4,-1.3,-1.0,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/stirling,47.0,46.0,1.0,12.0,35.0
http://landregistry.data.gov.uk/data/ukhpi/region/stirling/month/2020-05,180176,333528,174961.0,116476,246258.0,189870,158095,85.0,83.2,84.8,87.1,89.5,85.0,84.5,5.5,7.4,5.2,3.3,8.0,5.8,5.7,4.0,3.7,4.0,4.2,5.7,4.3,4.1,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/stirling,58.0,56.0,2.0,23.0,35.0
http://landregistry.data.gov.uk/data/ukhpi/region/stirling/month/2020-06,182858,340255,177624.0,117343,248245.0,193131,160644,86.2,84.9,86.0,87.7,90.2,86.4,85.8,8.1,11.4,7.7,4.4,11.1,8.6,8.1,1.5,2.0,1.5,0.7,0.8,1.7,1.6,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/stirling,67.0,62.0,5.0,14.0,53.0
http://landregistry.data.gov.uk/data/ukhpi/region/stirling/month/2020-07,185397,345381,180157.0,119405,249702.0,195190,162170,87.4,86.2,87.3,89.3,90.8,87.3,86.7,9.4,12.4,9.1,6.2,11.1,9.9,9.2,1.4,1.5,1.4,1.8,0.6,1.1,0.9,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/stirling,74.0,64.0,10.0,27.0,47.0
http://landregistry.data.gov.uk/data/ukhpi/region/stirling/month/2020-08,176980,328805,172051.0,114038,236157.0,186476,155239,83.5,82.0,83.3,85.3,85.8,83.4,83.0,4.6,7.1,4.4,1.5,5.5,5.4,4.9,-4.5,-4.8,-4.5,-4.5,-5.4,-4.5,-4.3,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/stirling,117.0,112.0,5.0,47.0,70.0
http://landregistry.data.gov.uk/data/ukhpi/region/stirling/month/2020-09,180191,332152,175150.0,116705,241113.0,190040,158545,85.0,82.9,84.8,87.3,87.6,85.0,84.7,3.7,5.1,3.5,1.3,4.1,4.8,4.3,1.8,1.0,1.8,2.3,2.1,1.9,2.1,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/stirling,173.0,158.0,15.0,57.0,116.0
http://landregistry.data.gov.uk/data/ukhpi/region/stirling/month/2020-10,177474,325386,172620.0,115036,234251.0,187571,156905,83.7,81.2,83.6,86.0,85.2,83.9,83.8,3.0,4.0,2.8,0.9,2.3,3.7,3.9,-1.5,-2.0,-1.4,-1.4,-2.8,-1.3,-1.0,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/stirling,232.0,224.0,8.0,78.0,154.0
http://landregistry.data.gov.uk/data/ukhpi/region/stirling/month/2020-11,186230,343999,181260.0,120292,242281.0,196043,164365,87.8,85.8,87.8,89.9,88.1,87.7,87.8,8.0,9.3,7.8,6.1,6.2,8.0,8.9,4.9,5.7,5.0,4.6,3.4,4.5,4.8,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/stirling,213.0,208.0,5.0,70.0,143.0
http://landregistry.data.gov.uk/data/ukhpi/region/stirling/month/2020-12,186799,348297,181869.0,119922,241443.0,196025,164632,88.1,86.9,88.1,89.7,87.8,87.7,88.0,9.0,10.4,8.8,7.6,7.1,8.3,9.8,0.3,1.2,0.3,-0.3,-0.3,0.0,0.2,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/stirling,161.0,157.0,4.0,57.0,104.0
http://landregistry.data.gov.uk/data/ukhpi/region/stirling/month/2021-01,190570,354436,185597.0,123128,244727.0,199302,167518,89.9,88.4,89.9,92.1,89.0,89.2,89.5,7.9,8.5,7.8,7.5,4.2,6.9,8.4,2.0,1.8,2.0,2.7,1.4,1.7,1.8,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/stirling,147.0,146.0,1.0,53.0,94.0
http://landregistry.data.gov.uk/data/ukhpi/region/stirling/month/2021-02,188426,349134,183454.0,122210,242677.0,196818,165761,88.9,87.1,88.9,91.4,88.2,88.1,88.6,7.1,6.9,7.2,7.4,3.2,6.2,7.7,-1.1,-1.5,-1.2,-0.7,-0.8,-1.2,-1.0,2021-02,1,2021-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/stirling,120.0,111.0,9.0,37.0,83.0
http://landregistry.data.gov.uk/data/ukhpi/region/stirling/month/2021-03,187986,345161,182975.0,122745,242569.0,196271,165949,88.6,86.1,88.6,91.8,88.2,87.8,88.7,7.1,6.2,7.3,7.7,2.6,6.4,8.2,-0.2,-1.1,-0.3,0.4,0.0,-0.3,0.1,2021-03,1,2021-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/stirling,219.0,208.0,11.0,81.0,138.0
http://landregistry.data.gov.uk/data/ukhpi/region/stirling/month/2021-04,188980,347320,183739.0,123162,247759.0,197208,167142,89.1,86.7,89.0,92.1,90.1,88.2,89.3,9.1,8.0,9.2,10.2,6.3,8.3,10.1,0.5,0.6,0.4,0.3,2.1,0.5,0.7,2021-04,1,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/stirling,113.0,108.0,5.0,42.0,71.0
http://landregistry.data.gov.uk/data/ukhpi/region/stirling/month/2021-05,192003,352215,186707.0,125201,251160.0,200452,170076,90.5,87.9,90.4,93.6,91.3,89.7,90.9,6.6,5.6,6.7,7.5,2.0,5.6,7.6,1.6,1.4,1.6,1.7,1.4,1.6,1.8,2021-05,1,2021-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/stirling,132.0,123.0,9.0,50.0,82.0
http://landregistry.data.gov.uk/data/ukhpi/region/stirling/month/2021-06,195227,358781,189990.0,127437,252586.0,203039,172877,92.1,89.5,92.0,95.3,91.8,90.8,92.4,6.8,5.4,7.0,8.6,1.7,5.1,7.6,1.7,1.9,1.8,1.8,0.6,1.3,1.6,2021-06,1,2021-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/stirling,166.0,158.0,8.0,57.0,109.0
http://landregistry.data.gov.uk/data/ukhpi/region/stirling/month/2021-07,196120,362255,190767.0,127027,255578.0,204960,173504,92.5,90.4,92.4,95.0,92.9,91.7,92.7,5.8,4.9,5.9,6.4,2.4,5.0,7.0,0.5,1.0,0.4,-0.3,1.2,0.9,0.4,2021-07,1,2021-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/stirling,151.0,145.0,6.0,64.0,87.0
http://landregistry.data.gov.uk/data/ukhpi/region/stirling/month/2021-08,199322,369485,193982.0,128649,257849.0,208706,175945,94.0,92.2,94.0,96.2,93.7,93.4,94.0,12.6,12.4,12.7,12.8,9.2,11.9,13.3,1.6,2.0,1.7,1.3,0.9,1.8,1.4,2021-08,1,2021-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/stirling,131.0,126.0,5.0,48.0,83.0
http://landregistry.data.gov.uk/data/ukhpi/region/stirling/month/2021-09,202434,376732,196973.0,129975,262570.0,212701,178355,95.5,94.0,95.4,97.2,95.4,95.2,95.3,12.3,13.4,12.5,11.4,8.9,11.9,12.5,1.6,2.0,1.5,1.0,1.8,1.9,1.4,2021-09,1,2021-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/stirling,176.0,166.0,10.0,65.0,111.0
http://landregistry.data.gov.uk/data/ukhpi/region/stirling/month/2021-10,203912,380170,198754.0,131329,257879.0,213482,179012,96.2,94.9,96.3,98.2,93.7,95.5,95.7,14.9,16.8,15.1,14.2,10.1,13.8,14.1,0.7,0.9,0.9,1.0,-1.8,0.4,0.4,2021-10,1,2021-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/stirling,152.0,145.0,7.0,49.0,103.0
http://landregistry.data.gov.uk/data/ukhpi/region/stirling/month/2021-11,207785,389219,202423.0,133571,264787.0,217244,181882,98.0,97.1,98.1,99.9,96.3,97.2,97.2,11.6,13.1,11.7,11.0,9.3,10.8,10.7,1.9,2.4,1.8,1.7,2.7,1.8,1.6,2021-11,1,2021-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/stirling,169.0,152.0,17.0,60.0,109.0
http://landregistry.data.gov.uk/data/ukhpi/region/stirling/month/2021-12,205811,386527,200626.0,132061,259952.0,215264,179851,97.1,96.4,97.2,98.7,94.5,96.3,96.1,10.2,11.0,10.3,10.1,7.7,9.8,9.2,-1.0,-0.7,-0.9,-1.1,-1.8,-0.9,-1.1,2021-12,1,2021-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/stirling,130.0,117.0,13.0,42.0,88.0
http://landregistry.data.gov.uk/data/ukhpi/region/stirling/month/2022-01,207945,391615,202651.0,132911,263676.0,217820,181736,98.1,97.7,98.2,99.4,95.8,97.5,97.1,9.1,10.5,9.2,7.9,7.7,9.3,8.5,1.0,1.3,1.0,0.6,1.4,1.2,1.0,2022-01,1,2022-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/stirling,119.0,114.0,5.0,38.0,81.0
http://landregistry.data.gov.uk/data/ukhpi/region/stirling/month/2022-02,199063,375110,193994.0,126931,253294.0,208809,174201,93.9,93.6,94.0,94.9,92.1,93.4,93.1,5.6,7.4,5.7,3.9,4.4,6.1,5.1,-4.3,-4.2,-4.3,-4.5,-3.9,-4.1,-4.1,2022-02,1,2022-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/stirling,127.0,106.0,21.0,36.0,91.0
http://landregistry.data.gov.uk/data/ukhpi/region/stirling/month/2022-03,198016,374194,192771.0,125867,256532.0,207962,173163,93.4,93.4,93.4,94.1,93.3,93.0,92.5,5.3,8.4,5.4,2.5,5.8,6.0,4.3,-0.5,-0.2,-0.6,-0.8,1.3,-0.4,-0.6,2022-03,1,2022-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/stirling,147.0,126.0,21.0,59.0,88.0
http://landregistry.data.gov.uk/data/ukhpi/region/stirling/month/2022-04,196114,370221,190897.0,124530,254761.0,205825,172158,92.5,92.4,92.5,93.1,92.6,92.1,92.0,3.8,6.6,3.9,1.1,2.8,4.4,3.0,-1.0,-1.1,-1.0,-1.1,-0.7,-1.0,-0.6,2022-04,1,2022-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/stirling,141.0,122.0,19.0,56.0,85.0
http://landregistry.data.gov.uk/data/ukhpi/region/stirling/month/2022-05,202853,381656,197555.0,129058,260498.0,212968,178391,95.7,95.2,95.7,96.5,94.7,95.3,95.3,5.7,8.4,5.8,3.1,3.7,6.2,4.9,3.4,3.1,3.5,3.6,2.3,3.5,3.6,2022-05,1,2022-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/stirling,136.0,124.0,12.0,49.0,87.0
http://landregistry.data.gov.uk/data/ukhpi/region/stirling/month/2022-06,207932,392626,202522.0,132058,266361.0,217812,182749,98.1,98.0,98.1,98.7,96.8,97.5,97.7,6.5,9.4,6.6,3.6,5.5,7.3,5.7,2.5,2.9,2.5,2.3,2.3,2.3,2.4,2022-06,1,2022-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/stirling,134.0,126.0,8.0,51.0,83.0
http://landregistry.data.gov.uk/data/ukhpi/region/stirling/month/2022-07,216079,406406,210463.0,137289,276615.0,226985,190438,101.9,101.4,102.0,102.6,100.6,101.6,101.8,10.2,12.2,10.3,8.1,8.2,10.7,9.8,3.9,3.5,3.9,4.0,3.8,4.2,4.2,2022-07,1,2022-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/stirling,145.0,133.0,12.0,60.0,85.0
http://landregistry.data.gov.uk/data/ukhpi/region/stirling/month/2022-08,215891,406099,210271.0,136844,276643.0,226923,190858,101.8,101.3,101.9,102.3,100.6,101.5,102.0,8.3,9.9,8.4,6.4,7.3,8.7,8.5,-0.1,-0.1,-0.1,-0.3,0.0,0.0,0.2,2022-08,1,2022-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/stirling,180.0,170.0,10.0,64.0,116.0
http://landregistry.data.gov.uk/data/ukhpi/region/stirling/month/2022-09,217260,405989,211690.0,137943,275787.0,229110,192883,102.5,101.3,102.5,103.1,100.3,102.5,103.1,7.3,7.8,7.5,6.1,5.0,7.7,8.1,0.6,0.0,0.7,0.8,-0.3,1.0,1.1,2022-09,1,2022-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/stirling,167.0,157.0,10.0,61.0,106.0
http://landregistry.data.gov.uk/data/ukhpi/region/stirling/month/2022-10,215317,404163,209825.0,136261,272455.0,226979,190931,101.5,100.8,101.6,101.9,99.0,101.6,102.0,5.6,6.3,5.6,3.8,5.7,6.3,6.7,-0.9,-0.4,-0.9,-1.2,-1.2,-0.9,-1.0,2022-10,1,2022-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/stirling,175.0,161.0,14.0,57.0,118.0
http://landregistry.data.gov.uk/data/ukhpi/region/stirling/month/2022-11,214797,404573,209262.0,135576,273527.0,226467,190244,101.3,100.9,101.4,101.4,99.4,101.3,101.7,3.4,3.9,3.4,1.5,3.3,4.2,4.6,-0.2,0.1,-0.3,-0.5,0.4,-0.2,-0.4,2022-11,1,2022-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/stirling,154.0,135.0,19.0,65.0,89.0
http://landregistry.data.gov.uk/data/ukhpi/region/stirling/month/2022-12,217078,409866,211462.0,136978,277106.0,228512,191911,102.4,102.3,102.4,102.4,100.7,102.2,102.6,5.5,6.0,5.4,3.7,6.6,6.2,6.7,1.1,1.3,1.1,1.0,1.3,0.9,0.9,2022-12,1,2022-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/stirling,143.0,115.0,28.0,54.0,89.0
http://landregistry.data.gov.uk/data/ukhpi/region/stirling/month/2023-01,212064,400787,206436.0,133754,275096.0,223508,187128,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2.0,2.3,1.9,0.6,4.3,2.6,3.0,-2.3,-2.2,-2.4,-2.4,-0.7,-2.2,-2.5,2023-01,1,2023-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/stirling,110.0,103.0,7.0,43.0,67.0
http://landregistry.data.gov.uk/data/ukhpi/region/stirling/month/2023-02,213937,404653,208116.0,135061,281116.0,225354,188326,100.9,101.0,100.8,101.0,102.2,100.8,100.6,7.5,7.9,7.3,6.4,11.0,7.9,8.1,0.9,1.0,0.8,1.0,2.2,0.8,0.6,2023-02,1,2023-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/stirling,106.0,90.0,16.0,47.0,59.0
http://landregistry.data.gov.uk/data/ukhpi/region/stirling/month/2023-03,205468,388812,199590.0,129751,276644.0,216864,180268,96.9,97.0,96.7,97.0,100.6,97.0,96.3,3.8,3.9,3.5,3.1,7.8,4.3,4.1,-4.0,-3.9,-4.1,-3.9,-1.6,-3.8,-4.3,2023-03,1,2023-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/stirling,165.0,153.0,12.0,70.0,95.0
http://landregistry.data.gov.uk/data/ukhpi/region/stirling/month/2023-04,206026,387837,199996.0,130504,279327.0,217718,180854,97.2,96.8,96.9,97.6,101.5,97.4,96.6,5.1,4.8,4.8,4.8,9.6,5.8,5.1,0.3,-0.3,0.2,0.6,1.0,0.4,0.3,2023-04,1,2023-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/stirling,116.0,104.0,12.0,41.0,75.0
http://landregistry.data.gov.uk/data/ukhpi/region/stirling/month/2023-05,204299,383203,198334.0,129987,276789.0,215616,179130,96.3,95.6,96.1,97.2,100.6,96.5,95.7,0.7,0.4,0.4,0.7,6.3,1.2,0.4,-0.8,-1.2,-0.8,-0.4,-0.9,-1.0,-1.0,2023-05,1,2023-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/stirling,138.0,112.0,26.0,63.0,75.0
http://landregistry.data.gov.uk/data/ukhpi/region/stirling/month/2023-06,209705,391080,203879.0,133915,279947.0,220854,184526,98.9,97.6,98.8,100.1,101.8,98.8,98.6,0.9,-0.4,0.7,1.4,5.1,1.4,1.0,2.6,2.1,2.8,3.0,1.1,2.4,3.0,2023-06,1,2023-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/stirling,155.0,145.0,10.0,54.0,101.0
http://landregistry.data.gov.uk/data/ukhpi/region/stirling/month/2023-07,212230,395141,206397.0,135551,282405.0,223365,187197,100.1,98.6,100.0,101.3,102.7,99.9,100.0,-1.8,-2.8,-1.9,-1.3,2.1,-1.6,-1.7,1.2,1.0,1.2,1.2,0.9,1.1,1.4,2023-07,1,2023-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/stirling,135.0,121.0,14.0,51.0,84.0
http://landregistry.data.gov.uk/data/ukhpi/region/stirling/month/2023-08,216231,403353,210353.0,137651,286825.0,227662,191189,102.0,100.6,101.9,102.9,104.3,101.9,102.2,0.2,-0.7,0.0,0.6,3.7,0.3,0.2,1.9,2.1,1.9,1.5,1.6,1.9,2.1,2023-08,1,2023-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/stirling,168.0,162.0,6.0,71.0,97.0
http://landregistry.data.gov.uk/data/ukhpi/region/stirling/month/2023-09,218431,409945,212409.0,138393,290904.0,230017,193062,103.0,102.3,102.9,103.5,105.7,102.9,103.2,0.5,1.0,0.3,0.3,5.5,0.4,0.1,1.0,1.6,1.0,0.5,1.4,1.0,1.0,2023-09,1,2023-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/stirling,143.0,136.0,7.0,59.0,84.0
