_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/stockport/month/2020-01,232952,410878,231527.0,141889,255073.0,251915,180649,79.3,79.5,78.9,83.2,83.2,79.1,78.2,3.6,3.4,3.6,1.8,3.9,4.1,4.0,0.4,0.5,0.4,0.1,1.1,0.4,0.4,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/stockport,347.0,320.0,27.0,66.0,267.0
http://landregistry.data.gov.uk/data/ukhpi/region/stockport/month/2020-02,233120,411467,231604.0,141713,257519.0,251911,181045,79.4,79.6,78.9,83.1,84.0,79.1,78.4,3.8,3.5,3.9,1.7,2.6,4.2,4.3,0.1,0.1,0.0,-0.1,1.0,0.0,0.2,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/stockport,347.0,309.0,38.0,82.0,255.0
http://landregistry.data.gov.uk/data/ukhpi/region/stockport/month/2020-03,231988,409960,230302.0,140785,259458.0,250832,179952,79.0,79.3,78.5,82.5,84.6,78.7,77.9,4.5,4.2,4.6,2.6,3.7,4.8,5.0,-0.5,-0.4,-0.6,-0.7,0.8,-0.4,-0.6,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/stockport,353.0,307.0,46.0,81.0,261.0
http://landregistry.data.gov.uk/data/ukhpi/region/stockport/month/2020-04,232135,411684,230377.0,139931,260520.0,250795,180325,79.1,79.6,78.5,82.0,84.9,78.7,78.0,4.2,4.6,4.3,1.8,3.2,4.5,4.5,0.1,0.4,0.0,-0.6,0.4,0.0,0.2,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/stockport,115.0,107.0,8.0,29.0,79.0
http://landregistry.data.gov.uk/data/ukhpi/region/stockport/month/2020-05,231641,411351,229621.0,139729,263279.0,250463,179484,78.9,79.6,78.2,81.9,85.8,78.6,77.7,3.1,3.9,3.0,1.0,4.8,3.3,2.9,-0.2,-0.1,-0.3,-0.1,1.1,-0.1,-0.5,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/stockport,153.0,153.0,,32.0,121.0
http://landregistry.data.gov.uk/data/ukhpi/region/stockport/month/2020-06,233727,414451,231933.0,140573,262659.0,252950,181243,79.6,80.2,79.0,82.4,85.6,79.4,78.4,2.7,3.6,2.6,0.3,4.3,3.0,2.5,0.9,0.8,1.0,0.6,-0.2,1.0,1.0,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/stockport,262.0,257.0,5.0,69.0,188.0
http://landregistry.data.gov.uk/data/ukhpi/region/stockport/month/2020-07,235821,416342,234238.0,142547,262141.0,255389,182870,80.3,80.5,79.8,83.5,85.5,80.2,79.2,3.3,3.8,3.4,1.4,3.5,3.7,3.1,0.9,0.5,1.0,1.4,-0.2,1.0,0.9,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/stockport,338.0,319.0,19.0,78.0,256.0
http://landregistry.data.gov.uk/data/ukhpi/region/stockport/month/2020-08,238864,421821,237459.0,143458,263036.0,258883,185461,81.4,81.6,80.9,84.1,85.8,81.2,80.3,5.0,5.4,5.1,2.5,4.4,5.5,4.8,1.3,1.3,1.4,0.6,0.3,1.4,1.4,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/stockport,361.0,340.0,21.0,82.0,277.0
http://landregistry.data.gov.uk/data/ukhpi/region/stockport/month/2020-09,242513,429799,240978.0,145014,268367.0,262845,188130,82.6,83.1,82.1,85.0,87.5,82.5,81.4,5.9,6.7,6.1,3.0,5.0,6.6,5.4,1.5,1.9,1.5,1.1,2.0,1.5,1.4,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/stockport,410.0,384.0,26.0,95.0,302.0
http://landregistry.data.gov.uk/data/ukhpi/region/stockport/month/2020-10,244735,435077,243376.0,145500,268517.0,265276,189847,83.4,84.2,82.9,85.3,87.5,83.3,82.2,6.5,7.6,6.6,3.1,5.2,7.0,6.2,0.9,1.2,1.0,0.3,0.1,0.9,0.9,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/stockport,488.0,485.0,3.0,117.0,364.0
