_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/stockton-on-tees/month/2020-01,132188,219830,128464.0,74556,219675.0,126128,96343,81.4,82.3,80.9,85.2,83.6,81.2,80.3,-0.8,-1.2,-0.8,-2.5,-0.9,-0.5,-0.4,0.0,0.2,-0.2,-0.4,0.7,-0.1,-0.1,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/stockton-on-tees,213.0,180.0,33.0,53.0,158.0
http://landregistry.data.gov.uk/data/ukhpi/region/stockton-on-tees/month/2020-02,129522,215541,125665.0,72778,217004.0,123511,94473,79.8,80.7,79.1,83.2,82.6,79.5,78.7,-2.6,-3.1,-2.4,-4.6,-3.6,-2.3,-2.1,-2.0,-2.0,-2.2,-2.4,-1.2,-2.1,-1.9,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/stockton-on-tees,181.0,159.0,22.0,49.0,123.0
http://landregistry.data.gov.uk/data/ukhpi/region/stockton-on-tees/month/2020-03,131168,218832,126935.0,73068,222594.0,125043,95530,80.8,81.9,79.9,83.5,84.7,80.5,79.6,-1.1,-1.4,-1.0,-3.1,-1.4,-0.8,-0.6,1.3,1.5,1.0,0.4,2.6,1.2,1.1,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/stockton-on-tees,194.0,160.0,34.0,46.0,141.0
http://landregistry.data.gov.uk/data/ukhpi/region/stockton-on-tees/month/2020-04,128334,214455,124129.0,70911,218372.0,122205,93524,79.1,80.2,78.2,81.1,83.1,78.7,77.9,-2.4,-2.3,-2.4,-5.3,-2.8,-2.4,-2.2,-2.2,-2.0,-2.2,-3.0,-1.9,-2.3,-2.1,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/stockton-on-tees,78.0,64.0,14.0,22.0,51.0
http://landregistry.data.gov.uk/data/ukhpi/region/stockton-on-tees/month/2020-05,130805,218871,126220.0,72080,225264.0,124635,95085,80.6,81.9,79.5,82.4,85.7,80.2,79.2,-0.4,0.1,-0.8,-3.3,1.5,-0.5,-0.6,1.9,2.1,1.7,1.6,3.2,2.0,1.7,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/stockton-on-tees,120.0,106.0,14.0,29.0,89.0
http://landregistry.data.gov.uk/data/ukhpi/region/stockton-on-tees/month/2020-06,128889,215191,124614.0,70889,219827.0,123003,93761,79.4,80.5,78.5,81.1,83.6,79.2,78.1,-1.6,-1.0,-1.9,-5.1,0.2,-1.5,-1.9,-1.5,-1.7,-1.3,-1.7,-2.4,-1.3,-1.4,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/stockton-on-tees,182.0,158.0,24.0,39.0,136.0
http://landregistry.data.gov.uk/data/ukhpi/region/stockton-on-tees/month/2020-07,131157,218308,127044.0,72743,221536.0,125303,95543,80.8,81.7,80.0,83.2,84.3,80.7,79.6,-1.0,-0.9,-1.1,-3.5,-0.4,-0.7,-1.3,1.8,1.4,1.9,2.6,0.8,1.9,1.9,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/stockton-on-tees,200.0,182.0,18.0,60.0,135.0
http://landregistry.data.gov.uk/data/ukhpi/region/stockton-on-tees/month/2020-08,131233,218442,127320.0,72345,219836.0,125319,95739,80.8,81.7,80.2,82.7,83.6,80.7,79.7,-1.0,-0.9,-1.0,-4.2,-1.1,-0.7,-1.3,0.1,0.1,0.2,-0.5,-0.8,0.0,0.2,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/stockton-on-tees,239.0,201.0,38.0,55.0,176.0
http://landregistry.data.gov.uk/data/ukhpi/region/stockton-on-tees/month/2020-09,130785,218449,126759.0,71697,220189.0,124643,95333,80.6,81.7,79.8,82.0,83.8,80.2,79.4,-1.4,-1.0,-1.3,-4.6,-1.6,-1.0,-1.9,-0.3,0.0,-0.4,-0.9,0.2,-0.5,-0.4,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/stockton-on-tees,263.0,236.0,27.0,70.0,184.0
http://landregistry.data.gov.uk/data/ukhpi/region/stockton-on-tees/month/2020-10,132296,221372,128401.0,72052,221161.0,126049,96313,81.5,82.8,80.8,82.4,84.1,81.1,80.2,-0.2,0.4,-0.1,-3.7,-0.8,-0.1,-0.8,1.2,1.3,1.3,0.5,0.4,1.1,1.0,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/stockton-on-tees,368.0,333.0,35.0,99.0,264.0
