_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/stoke-on-trent/month/2020-01,111348,180754,110282.0,75145,124536.0,119979,92155,80.7,82.0,80.2,84.6,83.6,81.1,79.2,4.6,4.0,4.6,2.5,4.2,4.9,4.7,0.6,0.8,0.6,0.3,1.5,0.6,0.5,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/stoke-on-trent,249.0,234.0,15.0,64.0,183.0
http://landregistry.data.gov.uk/data/ukhpi/region/stoke-on-trent/month/2020-02,109456,177724,108397.0,73553,123384.0,117799,90735,79.3,80.6,78.8,82.8,82.8,79.6,78.0,2.5,2.0,2.7,0.1,1.1,2.8,2.8,-1.7,-1.7,-1.7,-2.1,-0.9,-1.8,-1.5,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/stoke-on-trent,263.0,252.0,11.0,51.0,210.0
http://landregistry.data.gov.uk/data/ukhpi/region/stoke-on-trent/month/2020-03,109670,178249,108519.0,73493,125500.0,118064,90870,79.4,80.8,78.9,82.8,84.2,79.8,78.1,2.6,1.9,2.7,0.4,2.2,2.7,2.9,0.2,0.3,0.1,-0.1,1.7,0.2,0.1,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/stoke-on-trent,248.0,223.0,25.0,53.0,190.0
http://landregistry.data.gov.uk/data/ukhpi/region/stoke-on-trent/month/2020-04,105276,171242,104166.0,70135,120532.0,113190,87372,76.3,77.7,75.7,79.0,80.9,76.5,75.1,-3.3,-3.6,-3.2,-5.6,-3.9,-3.3,-3.0,-4.0,-3.9,-4.0,-4.6,-4.0,-4.1,-3.8,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/stoke-on-trent,128.0,123.0,5.0,41.0,86.0
http://landregistry.data.gov.uk/data/ukhpi/region/stoke-on-trent/month/2020-05,105956,172733,104695.0,70588,122887.0,114030,87755,76.8,78.3,76.1,79.5,82.5,77.1,75.4,-3.5,-3.3,-3.6,-5.5,-1.7,-3.4,-3.5,0.6,0.9,0.5,0.6,2.0,0.7,0.4,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/stoke-on-trent,202.0,199.0,3.0,56.0,142.0
http://landregistry.data.gov.uk/data/ukhpi/region/stoke-on-trent/month/2020-06,105909,172417,104778.0,70317,121448.0,113988,87788,76.7,78.2,76.2,79.2,81.5,77.0,75.5,-3.2,-2.9,-3.2,-5.6,-1.5,-3.0,-3.2,0.0,-0.2,0.1,-0.4,-1.2,0.0,0.0,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/stoke-on-trent,192.0,185.0,7.0,58.0,134.0
http://landregistry.data.gov.uk/data/ukhpi/region/stoke-on-trent/month/2020-07,111096,180338,110011.0,74143,126268.0,119647,92094,80.5,81.8,80.0,83.5,84.7,80.9,79.2,1.6,1.8,1.7,-0.7,2.3,2.0,1.4,4.9,4.6,5.0,5.4,4.0,5.0,4.9,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/stoke-on-trent,243.0,235.0,8.0,52.0,189.0
http://landregistry.data.gov.uk/data/ukhpi/region/stoke-on-trent/month/2020-08,113004,183318,111972.0,74928,127642.0,121870,93607,81.9,83.1,81.4,84.4,85.7,82.4,80.5,5.3,5.5,5.4,2.5,5.4,5.8,4.8,1.7,1.7,1.8,1.1,1.1,1.9,1.6,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/stoke-on-trent,257.0,247.0,10.0,70.0,183.0
http://landregistry.data.gov.uk/data/ukhpi/region/stoke-on-trent/month/2020-09,114349,185869,113234.0,75518,129915.0,123259,94726,82.8,84.3,82.3,85.0,87.2,83.3,81.4,5.5,6.0,5.6,2.3,5.5,6.2,4.7,1.2,1.4,1.1,0.8,1.8,1.1,1.2,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/stoke-on-trent,247.0,232.0,15.0,74.0,172.0
http://landregistry.data.gov.uk/data/ukhpi/region/stoke-on-trent/month/2020-10,114522,186779,113504.0,75142,129059.0,123360,94860,83.0,84.7,82.5,84.6,86.6,83.4,81.5,5.8,6.7,6.0,2.3,5.3,6.2,5.3,0.2,0.5,0.2,-0.5,-0.7,0.1,0.1,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/stoke-on-trent,324.0,314.0,10.0,85.0,237.0
http://landregistry.data.gov.uk/data/ukhpi/region/stoke-on-trent/month/2020-11,115059,187701,114199.0,75598,127921.0,123590,95591,83.4,85.1,83.0,85.1,85.9,83.5,82.2,4.3,5.0,4.5,0.9,3.3,4.1,4.4,0.5,0.5,0.6,0.6,-0.9,0.2,0.8,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/stoke-on-trent,292.0,282.0,10.0,74.0,214.0
http://landregistry.data.gov.uk/data/ukhpi/region/stoke-on-trent/month/2020-12,115835,188816,115077.0,76017,127651.0,124306,96386,83.9,85.6,83.7,85.6,85.7,84.0,82.8,4.7,5.3,4.9,1.4,4.1,4.3,5.2,0.7,0.6,0.8,0.6,-0.2,0.6,0.8,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/stoke-on-trent,293.0,285.0,8.0,74.0,211.0
http://landregistry.data.gov.uk/data/ukhpi/region/stoke-on-trent/month/2021-01,117361,189935,116718.0,77714,128026.0,125886,97939,85.0,86.1,84.9,87.5,85.9,85.1,84.2,5.4,5.1,5.8,3.4,2.8,4.9,6.3,1.3,0.6,1.4,2.2,0.3,1.3,1.6,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/stoke-on-trent,249.0,244.0,5.0,63.0,186.0
http://landregistry.data.gov.uk/data/ukhpi/region/stoke-on-trent/month/2021-02,119915,192488,119303.0,80189,130552.0,128395,100563,86.9,87.3,86.7,90.3,87.6,86.8,86.4,9.6,8.3,10.1,9.0,5.8,9.0,10.8,2.2,1.3,2.2,3.2,2.0,2.0,2.7,2021-02,1,2021-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/stoke-on-trent,324.0,313.0,11.0,93.0,231.0
