_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/suffolk/month/2020-01,243768,374646,238682.0,131757,319203.0,233589,184158,82.5,82.5,82.0,86.1,85.6,82.4,81.5,0.6,0.0,0.6,-3.1,1.4,1.0,2.3,-0.6,-0.6,-0.7,-0.8,0.0,-0.6,-0.5,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/suffolk,838.0,777.0,61.0,294.0,525.0
http://landregistry.data.gov.uk/data/ukhpi/region/suffolk/month/2020-02,241984,371896,236713.0,130661,320075.0,231737,182987,81.9,81.9,81.3,85.4,85.9,81.8,81.0,0.0,-0.4,0.1,-3.5,-0.3,0.3,1.5,-0.7,-0.7,-0.8,-0.8,0.3,-0.8,-0.6,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/suffolk,858.0,772.0,86.0,277.0,560.0
http://landregistry.data.gov.uk/data/ukhpi/region/suffolk/month/2020-03,239179,367837,233591.0,128912,321202.0,228937,180918,80.9,81.0,80.3,84.3,86.2,80.8,80.1,-1.0,-1.3,-1.0,-3.6,-1.0,-0.8,0.0,-1.2,-1.1,-1.3,-1.3,0.4,-1.2,-1.1,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/suffolk,920.0,775.0,145.0,292.0,597.0
http://landregistry.data.gov.uk/data/ukhpi/region/suffolk/month/2020-04,240219,370045,234440.0,128659,324407.0,229705,181880,81.3,81.5,80.6,84.1,87.0,81.1,80.5,-0.1,0.3,-0.1,-3.0,-0.3,-0.2,0.4,0.4,0.6,0.4,-0.2,1.0,0.3,0.5,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/suffolk,371.0,326.0,45.0,117.0,241.0
http://landregistry.data.gov.uk/data/ukhpi/region/suffolk/month/2020-05,242971,373884,236628.0,130284,333427.0,232665,183875,82.2,82.3,81.3,85.2,89.5,82.1,81.4,1.5,1.9,1.2,-0.9,4.0,1.5,1.6,1.1,1.0,0.9,1.3,2.8,1.3,1.1,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/suffolk,447.0,407.0,40.0,142.0,296.0
http://landregistry.data.gov.uk/data/ukhpi/region/suffolk/month/2020-06,245069,376425,239038.0,131165,332512.0,235030,185712,82.9,82.9,82.1,85.8,89.2,82.9,82.2,1.9,2.2,1.6,-0.8,4.2,2.2,2.0,0.9,0.7,1.0,0.7,-0.3,1.0,1.0,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/suffolk,745.0,655.0,90.0,239.0,491.0
http://landregistry.data.gov.uk/data/ukhpi/region/suffolk/month/2020-07,245945,377680,240300.0,131876,329335.0,235817,186366,83.2,83.1,82.6,86.2,88.4,83.2,82.5,1.5,1.8,1.5,-0.9,2.2,1.9,1.6,0.4,0.3,0.5,0.5,-1.0,0.3,0.4,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/suffolk,856.0,766.0,90.0,261.0,574.0
http://landregistry.data.gov.uk/data/ukhpi/region/suffolk/month/2020-08,245862,377922,240650.0,130753,324613.0,235822,186495,83.2,83.2,82.7,85.5,87.1,83.2,82.5,0.7,0.9,0.8,-2.3,0.1,1.2,0.9,0.0,0.1,0.1,-0.9,-1.4,0.0,0.1,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/suffolk,838.0,763.0,75.0,273.0,544.0
http://landregistry.data.gov.uk/data/ukhpi/region/suffolk/month/2020-09,248844,383764,243409.0,131461,330178.0,238336,188658,84.2,84.5,83.6,86.0,88.6,84.1,83.5,1.9,2.5,2.0,-2.0,1.2,2.3,2.0,1.2,1.5,1.1,0.5,1.7,1.1,1.2,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/suffolk,959.0,887.0,72.0,307.0,631.0
http://landregistry.data.gov.uk/data/ukhpi/region/suffolk/month/2020-10,251816,389827,246610.0,131968,331089.0,240907,190705,85.2,85.8,84.7,86.3,88.8,85.0,84.4,2.9,3.9,3.1,-1.4,1.7,3.0,3.0,1.2,1.6,1.3,0.4,0.3,1.1,1.1,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/suffolk,1190.0,1090.0,100.0,413.0,744.0
