_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/sunderland/month/2020-01,111424,203747,108037.0,68772,191886.0,117854,94390,83.4,84.4,82.8,86.7,87.3,83.4,82.1,3.6,3.3,3.5,1.5,3.9,4.1,3.8,1.2,1.6,1.1,0.8,2.2,1.2,1.2,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/sunderland,244.0,231.0,13.0,70.0,166.0
http://landregistry.data.gov.uk/data/ukhpi/region/sunderland/month/2020-02,109553,200936,106116.0,67357,190317.0,115753,92814,82.0,83.3,81.3,84.9,86.6,81.9,80.8,1.3,0.8,1.4,-1.1,0.4,1.6,1.6,-1.7,-1.4,-1.8,-2.1,-0.8,-1.8,-1.7,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/sunderland,284.0,237.0,47.0,100.0,171.0
http://landregistry.data.gov.uk/data/ukhpi/region/sunderland/month/2020-03,108952,200748,105346.0,66801,191922.0,115072,92166,81.6,83.2,80.7,84.2,87.3,81.4,80.2,1.2,0.8,1.3,-0.8,0.8,1.4,1.6,-0.5,-0.1,-0.7,-0.8,0.8,-0.6,-0.7,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/sunderland,228.0,196.0,32.0,71.0,147.0
http://landregistry.data.gov.uk/data/ukhpi/region/sunderland/month/2020-04,108126,199610,104485.0,65730,191278.0,114152,91546,81.0,82.7,80.1,82.9,87.0,80.8,79.7,-0.3,-0.3,-0.2,-2.8,-0.4,-0.1,0.0,-0.8,-0.6,-0.8,-1.6,-0.3,-0.8,-0.7,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/sunderland,86.0,80.0,6.0,33.0,51.0
http://landregistry.data.gov.uk/data/ukhpi/region/sunderland/month/2020-05,110513,204870,106561.0,67087,198402.0,116719,93367,82.8,84.9,81.7,84.6,90.3,82.6,81.2,0.9,1.7,0.5,-1.6,3.3,1.0,0.7,2.2,2.6,2.0,2.1,3.7,2.2,2.0,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/sunderland,165.0,152.0,13.0,49.0,115.0
http://landregistry.data.gov.uk/data/ukhpi/region/sunderland/month/2020-06,111571,206276,107730.0,67594,198465.0,117918,94348,83.5,85.5,82.6,85.2,90.3,83.4,82.1,1.6,2.6,1.3,-1.3,4.2,1.9,1.3,1.0,0.7,1.1,0.8,0.0,1.0,1.1,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/sunderland,210.0,197.0,13.0,72.0,132.0
http://landregistry.data.gov.uk/data/ukhpi/region/sunderland/month/2020-07,112754,207321,109076.0,68863,197998.0,119244,95417,84.4,85.9,83.6,86.8,90.1,84.4,83.0,3.2,3.7,3.1,1.0,4.2,3.6,2.9,1.1,0.5,1.2,1.9,-0.2,1.1,1.1,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/sunderland,237.0,227.0,10.0,71.0,159.0
http://landregistry.data.gov.uk/data/ukhpi/region/sunderland/month/2020-08,109401,200471,106018.0,66556,189767.0,115790,92715,81.9,83.1,81.3,83.9,86.3,81.9,80.7,1.5,1.8,1.5,-0.8,1.6,2.0,1.2,-3.0,-3.3,-2.8,-3.4,-4.2,-2.9,-2.8,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/sunderland,282.0,262.0,20.0,92.0,183.0
http://landregistry.data.gov.uk/data/ukhpi/region/sunderland/month/2020-09,109472,201105,106052.0,66330,190308.0,115766,92800,82.0,83.4,81.3,83.6,86.6,81.9,80.7,-0.4,-0.1,-0.3,-3.0,-0.8,0.2,-0.7,0.1,0.3,0.0,-0.3,0.3,0.0,0.1,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/sunderland,320.0,301.0,19.0,95.0,216.0
http://landregistry.data.gov.uk/data/ukhpi/region/sunderland/month/2020-10,108612,199998,105331.0,65417,187433.0,114760,92129,81.3,82.9,80.7,82.5,85.3,81.2,80.2,-0.6,0.2,-0.4,-3.6,-1.2,-0.3,-0.8,-0.8,-0.6,-0.7,-1.4,-1.5,-0.9,-0.7,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/sunderland,326.0,312.0,14.0,95.0,227.0
