_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/surrey/month/2020-01,451023,831450,453024.0,259334,371530.0,453564,367473,85.2,83.8,84.8,89.6,88.0,84.2,84.1,-0.9,-1.1,-0.9,-2.0,-1.1,-0.1,-0.1,0.1,0.1,0.1,0.0,0.7,0.2,0.2,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/surrey,1257.0,1168.0,89.0,276.0,960.0
http://landregistry.data.gov.uk/data/ukhpi/region/surrey/month/2020-02,450415,830663,452153.0,258589,374208.0,452717,367637,85.1,83.7,84.7,89.3,88.7,84.1,84.2,-0.7,-0.7,-0.6,-2.2,-1.8,0.0,0.2,-0.1,-0.1,-0.2,-0.3,0.7,-0.2,0.0,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/surrey,1209.0,1125.0,84.0,280.0,887.0
http://landregistry.data.gov.uk/data/ukhpi/region/surrey/month/2020-03,452571,835367,453780.0,259473,381749.0,455203,369163,85.5,84.2,85.0,89.6,90.5,84.5,84.5,0.5,0.6,0.5,-1.0,0.2,1.0,1.3,0.5,0.6,0.4,0.3,2.0,0.5,0.4,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/surrey,1274.0,1155.0,119.0,311.0,907.0
http://landregistry.data.gov.uk/data/ukhpi/region/surrey/month/2020-04,456260,848314,457361.0,259331,385978.0,458869,372127,86.2,85.5,85.6,89.6,91.5,85.2,85.2,2.4,3.5,2.4,0.1,1.7,2.9,2.8,0.8,1.5,0.8,-0.1,1.1,0.8,0.8,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/surrey,588.0,541.0,47.0,100.0,465.0
http://landregistry.data.gov.uk/data/ukhpi/region/surrey/month/2020-05,459179,854130,459627.0,261103,394653.0,462189,373535,86.7,86.0,86.1,90.2,93.5,85.8,85.5,3.8,5.2,3.6,1.8,5.7,4.3,3.6,0.6,0.7,0.5,0.7,2.2,0.7,0.4,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/surrey,615.0,584.0,31.0,135.0,469.0
http://landregistry.data.gov.uk/data/ukhpi/region/surrey/month/2020-06,456614,846778,457522.0,259204,388194.0,460554,372962,86.2,85.3,85.7,89.5,92.0,85.5,85.4,2.3,3.4,2.2,0.2,3.9,3.0,2.5,-0.6,-0.9,-0.5,-0.7,-1.6,-0.4,-0.2,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/surrey,965.0,900.0,65.0,259.0,695.0
http://landregistry.data.gov.uk/data/ukhpi/region/surrey/month/2020-07,454796,839027,456125.0,259768,382633.0,458640,371656,85.9,84.5,85.4,89.7,90.7,85.2,85.1,1.3,1.8,1.3,-0.3,1.4,1.9,1.5,-0.4,-0.9,-0.3,0.2,-1.4,-0.4,-0.4,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/surrey,1215.0,1139.0,76.0,289.0,911.0
http://landregistry.data.gov.uk/data/ukhpi/region/surrey/month/2020-08,456570,844845,458463.0,259006,378848.0,460743,374292,86.2,85.1,85.9,89.5,89.8,85.6,85.7,0.8,1.4,0.9,-1.2,-0.2,1.4,1.2,0.4,0.7,0.5,-0.3,-1.0,0.5,0.7,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/surrey,1295.0,1219.0,76.0,298.0,974.0
http://landregistry.data.gov.uk/data/ukhpi/region/surrey/month/2020-09,463226,863010,464943.0,261329,386225.0,467038,378830,87.5,86.9,87.1,90.3,91.5,86.7,86.7,2.3,3.5,2.4,-0.2,1.3,3.1,2.3,1.5,2.2,1.4,0.9,1.9,1.4,1.2,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/surrey,1432.0,1333.0,99.0,300.0,1094.0
http://landregistry.data.gov.uk/data/ukhpi/region/surrey/month/2020-10,466365,871441,468543.0,261658,384736.0,470420,382033,88.1,87.8,87.7,90.4,91.2,87.4,87.5,3.3,4.8,3.5,0.5,1.6,4.1,3.6,0.7,1.0,0.8,0.1,-0.4,0.7,0.8,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/surrey,1800.0,1663.0,137.0,387.0,1373.0
http://landregistry.data.gov.uk/data/ukhpi/region/surrey/month/2020-11,469384,875994,472056.0,263661,382879.0,473080,385168,88.6,88.2,88.4,91.1,90.7,87.9,88.2,4.2,5.5,4.4,1.5,2.4,4.7,4.9,0.6,0.5,0.7,0.8,-0.5,0.6,0.8,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/surrey,1875.0,1774.0,101.0,394.0,1448.0
http://landregistry.data.gov.uk/data/ukhpi/region/surrey/month/2020-12,471326,879174,474380.0,264585,381106.0,474858,387630,89.0,88.6,88.8,91.4,90.3,88.2,88.8,4.6,5.8,4.8,2.0,3.3,4.9,5.7,0.4,0.4,0.5,0.4,-0.5,0.4,0.6,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/surrey,2123.0,2045.0,78.0,484.0,1598.0
