_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/sutton/month/2020-01,375483,843875,375885.0,253561,258857.0,521529,370108,82.3,80.8,82.0,85.1,86.7,80.8,81.0,-0.7,-0.8,-0.8,-2.1,-1.3,-0.1,0.3,-0.5,-0.5,-0.5,-0.7,0.2,-0.5,-0.3,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/sutton,209.0,208.0,1.0,31.0,175.0
http://landregistry.data.gov.uk/data/ukhpi/region/sutton/month/2020-02,377021,847597,377425.0,254502,261417.0,523386,371813,82.6,81.1,82.3,85.4,87.6,81.1,81.4,-0.4,0.1,-0.3,-2.0,-2.8,0.5,0.8,0.4,0.4,0.4,0.4,1.0,0.4,0.5,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/sutton,216.0,177.0,39.0,43.0,141.0
http://landregistry.data.gov.uk/data/ukhpi/region/sutton/month/2020-03,379384,852213,379642.0,256131,265742.0,527353,373787,83.1,81.6,82.8,85.9,89.0,81.7,81.8,0.9,1.3,1.1,-0.6,-1.4,1.8,1.9,0.6,0.5,0.6,0.6,1.7,0.8,0.5,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/sutton,160.0,146.0,14.0,33.0,117.0
http://landregistry.data.gov.uk/data/ukhpi/region/sutton/month/2020-04,381076,862939,381399.0,255997,266305.0,529947,376503,83.5,82.6,83.2,85.9,89.2,82.1,82.4,2.4,4.0,2.6,0.4,-0.8,3.6,3.4,0.4,1.3,0.5,-0.1,0.2,0.5,0.7,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/sutton,114.0,71.0,43.0,26.0,73.0
http://landregistry.data.gov.uk/data/ukhpi/region/sutton/month/2020-05,377332,854928,377189.0,253575,268063.0,524884,372522,82.7,81.8,82.3,85.1,89.8,81.3,81.6,1.2,3.0,1.2,-0.4,0.9,2.1,1.8,-1.0,-0.9,-1.1,-0.9,0.7,-1.0,-1.1,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/sutton,92.0,91.0,1.0,10.0,81.0
http://landregistry.data.gov.uk/data/ukhpi/region/sutton/month/2020-06,376770,852937,376887.0,252451,265251.0,525501,372602,82.6,81.7,82.2,84.7,88.9,81.4,81.6,0.5,2.4,0.6,-1.3,0.2,1.8,1.3,-0.1,-0.2,-0.1,-0.4,-1.0,0.1,0.0,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/sutton,152.0,144.0,8.0,19.0,127.0
http://landregistry.data.gov.uk/data/ukhpi/region/sutton/month/2020-07,378930,851812,379239.0,254766,264934.0,528419,374160,83.0,81.6,82.7,85.5,88.8,81.9,81.9,0.7,2.0,0.8,-0.9,-0.8,1.8,1.3,0.6,-0.1,0.6,0.9,-0.1,0.6,0.4,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/sutton,162.0,155.0,7.0,32.0,126.0
http://landregistry.data.gov.uk/data/ukhpi/region/sutton/month/2020-08,381460,859551,381963.0,254998,264870.0,533713,377949,83.6,82.3,83.3,85.6,88.7,82.7,82.7,2.6,4.1,2.7,0.5,0.6,4.0,3.4,0.7,0.9,0.7,0.1,0.0,1.0,1.0,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/sutton,190.0,172.0,18.0,25.0,164.0
http://landregistry.data.gov.uk/data/ukhpi/region/sutton/month/2020-09,386655,875933,386998.0,257756,270010.0,541656,383316,84.7,83.9,84.4,86.5,90.5,83.9,83.9,2.9,4.9,3.1,0.6,0.4,4.7,3.7,1.4,1.9,1.3,1.1,1.9,1.5,1.4,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/sutton,206.0,169.0,37.0,21.0,179.0
http://landregistry.data.gov.uk/data/ukhpi/region/sutton/month/2020-10,389397,886040,390079.0,258651,268803.0,546896,386376,85.3,84.8,85.1,86.8,90.1,84.7,84.6,4.0,6.2,4.3,1.6,1.4,5.7,5.0,0.7,1.2,0.8,0.3,-0.4,1.0,0.8,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/sutton,245.0,229.0,16.0,21.0,223.0
