_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/swansea/month/2020-01,149642,243409,149067.0,88920,199442.0,151963,119069,76.9,77.5,76.8,80.6,79.4,76.9,75.6,3.5,3.3,3.5,1.9,3.5,4.0,3.7,-0.5,-0.5,-0.6,-0.8,0.3,-0.5,-0.5,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/swansea,247.0,239.0,8.0,67.0,178.0
http://landregistry.data.gov.uk/data/ukhpi/region/swansea/month/2020-02,149469,242747,148783.0,88830,201063.0,151630,119190,76.8,77.3,76.7,80.5,80.1,76.8,75.6,2.7,2.4,2.7,0.8,1.5,3.0,3.0,-0.1,-0.3,-0.2,-0.1,0.8,-0.2,0.1,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/swansea,218.0,212.0,6.0,64.0,146.0
http://landregistry.data.gov.uk/data/ukhpi/region/swansea/month/2020-03,151401,245731,150577.0,90020,206242.0,153561,120805,77.8,78.3,77.6,81.6,82.1,77.8,76.7,4.3,3.9,4.3,2.7,3.8,4.5,4.8,1.3,1.2,1.2,1.3,2.6,1.3,1.4,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/swansea,244.0,232.0,12.0,71.0,166.0
http://landregistry.data.gov.uk/data/ukhpi/region/swansea/month/2020-04,149410,242891,148575.0,88271,204195.0,151428,119368,76.8,77.4,76.6,80.0,81.3,76.7,75.8,3.1,3.2,3.1,1.0,2.5,3.2,3.5,-1.3,-1.2,-1.3,-1.9,-1.0,-1.4,-1.2,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/swansea,116.0,111.0,5.0,28.0,87.0
http://landregistry.data.gov.uk/data/ukhpi/region/swansea/month/2020-05,148190,240883,147268.0,87537,205349.0,150433,118201,76.2,76.7,75.9,79.3,81.8,76.2,75.0,2.9,3.3,2.8,1.2,5.1,3.2,3.0,-0.8,-0.8,-0.9,-0.8,0.6,-0.7,-1.0,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/swansea,113.0,110.0,3.0,29.0,83.0
http://landregistry.data.gov.uk/data/ukhpi/region/swansea/month/2020-06,148297,240821,147462.0,87374,202935.0,150721,118305,76.2,76.7,76.0,79.2,80.8,76.3,75.1,2.5,2.8,2.4,0.5,4.2,2.9,2.4,0.1,0.0,0.1,-0.2,-1.2,0.2,0.1,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/swansea,135.0,127.0,8.0,39.0,95.0
http://landregistry.data.gov.uk/data/ukhpi/region/swansea/month/2020-07,152878,247776,152092.0,90537,206892.0,155404,121949,78.6,78.9,78.4,82.1,82.4,78.7,77.4,4.9,5.1,4.9,3.3,5.1,5.4,4.8,3.1,2.9,3.1,3.6,2.0,3.1,3.1,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/swansea,170.0,166.0,4.0,59.0,108.0
http://landregistry.data.gov.uk/data/ukhpi/region/swansea/month/2020-08,154596,250635,153868.0,90967,207234.0,157178,123480,79.5,79.8,79.3,82.4,82.5,79.6,78.4,4.3,4.4,4.3,2.4,4.1,4.9,4.2,1.1,1.2,1.2,0.5,0.2,1.1,1.3,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/swansea,158.0,156.0,2.0,58.0,97.0
http://landregistry.data.gov.uk/data/ukhpi/region/swansea/month/2020-09,153362,249204,152597.0,89851,206830.0,155775,122548,78.8,79.4,78.6,81.4,82.4,78.9,77.8,3.8,4.2,3.8,1.5,3.4,4.5,3.5,-0.8,-0.6,-0.8,-1.2,-0.2,-0.9,-0.8,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/swansea,218.0,211.0,7.0,53.0,160.0
http://landregistry.data.gov.uk/data/ukhpi/region/swansea/month/2020-10,154251,251460,153544.0,89844,206175.0,156548,123254,79.3,80.1,79.1,81.4,82.1,79.3,78.2,4.1,4.7,4.0,1.3,3.3,4.4,3.9,0.6,0.9,0.6,0.0,-0.3,0.5,0.6,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/swansea,287.0,280.0,7.0,97.0,183.0
http://landregistry.data.gov.uk/data/ukhpi/region/swansea/month/2020-11,155885,254478,155270.0,90888,205471.0,157906,124649,80.1,81.0,80.0,82.4,81.8,80.0,79.1,4.3,4.9,4.3,1.7,2.9,4.3,4.6,1.1,1.2,1.1,1.2,-0.3,0.9,1.1,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/swansea,295.0,292.0,3.0,103.0,188.0
http://landregistry.data.gov.uk/data/ukhpi/region/swansea/month/2020-12,160307,261656,159740.0,93340,209407.0,162235,128377,82.4,83.3,82.3,84.6,83.4,82.1,81.5,6.5,7.0,6.5,4.2,5.3,6.2,7.2,2.8,2.8,2.9,2.7,1.9,2.7,3.0,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/swansea,347.0,343.0,4.0,116.0,224.0
http://landregistry.data.gov.uk/data/ukhpi/region/swansea/month/2021-01,162989,264289,162498.0,95772,210493.0,164913,130904,83.8,84.2,83.7,86.8,83.8,83.5,83.1,8.9,8.6,9.0,7.7,5.5,8.5,9.9,1.7,1.0,1.7,2.6,0.5,1.7,2.0,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/swansea,264.0,251.0,13.0,99.0,164.0
http://landregistry.data.gov.uk/data/ukhpi/region/swansea/month/2021-02,164369,264641,163882.0,97445,212047.0,166167,132568,84.5,84.3,84.4,88.3,84.4,84.1,84.1,10.0,9.0,10.1,9.7,5.5,9.6,11.2,0.8,0.1,0.9,1.7,0.7,0.8,1.3,2021-02,1,2021-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/swansea,297.0,285.0,12.0,76.0,221.0
http://landregistry.data.gov.uk/data/ukhpi/region/swansea/month/2021-03,164539,263040,164051.0,98656,212331.0,166169,133204,84.6,83.8,84.5,89.4,84.6,84.1,84.5,8.7,7.0,8.9,9.6,3.0,8.2,10.3,0.1,-0.6,0.1,1.2,0.1,0.0,0.5,2021-03,1,2021-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/swansea,358.0,342.0,16.0,109.0,247.0
