_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/swindon/month/2020-01,208752,376005,204527.0,132382,264486.0,227907,180401,80.5,81.3,80.0,83.1,83.3,80.5,78.9,-1.6,-1.7,-1.6,-3.3,-1.8,-1.2,-1.2,-0.3,-0.1,-0.5,-0.6,0.4,-0.3,-0.3,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/swindon,241.0,229.0,12.0,55.0,184.0
http://landregistry.data.gov.uk/data/ukhpi/region/swindon/month/2020-02,209589,377588,205041.0,132832,267476.0,228694,181270,80.8,81.7,80.2,83.4,84.3,80.8,79.3,-1.4,-1.6,-1.2,-3.5,-2.8,-1.1,-0.7,0.4,0.4,0.3,0.3,1.1,0.3,0.5,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/swindon,218.0,202.0,16.0,34.0,180.0
http://landregistry.data.gov.uk/data/ukhpi/region/swindon/month/2020-03,210243,379521,205123.0,133215,272121.0,229659,181569,81.0,82.1,80.2,83.6,85.7,81.1,79.4,-0.9,-1.2,-0.9,-2.6,-1.4,-0.5,-0.3,0.3,0.5,0.0,0.3,1.7,0.4,0.2,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/swindon,278.0,241.0,37.0,46.0,222.0
http://landregistry.data.gov.uk/data/ukhpi/region/swindon/month/2020-04,211624,382993,206359.0,133144,274780.0,231143,182962,81.6,82.8,80.7,83.6,86.6,81.6,80.0,-0.2,0.1,-0.1,-2.5,-0.6,0.2,0.4,0.7,0.9,0.6,-0.1,1.0,0.6,0.8,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/swindon,70.0,65.0,5.0,7.0,63.0
http://landregistry.data.gov.uk/data/ukhpi/region/swindon/month/2020-05,213039,386367,207287.0,133922,280101.0,233145,183696,82.1,83.6,81.1,84.1,88.2,82.4,80.4,0.8,1.5,0.4,-1.3,2.7,1.3,0.8,0.7,0.9,0.4,0.6,1.9,0.9,0.4,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/swindon,159.0,150.0,9.0,30.0,127.0
http://landregistry.data.gov.uk/data/ukhpi/region/swindon/month/2020-06,213514,386389,208121.0,133868,277923.0,233780,184497,82.3,83.6,81.4,84.0,87.6,82.6,80.7,1.9,2.7,1.5,-0.6,3.6,2.6,2.0,0.2,0.0,0.4,0.0,-0.8,0.3,0.4,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/swindon,193.0,183.0,10.0,44.0,146.0
http://landregistry.data.gov.uk/data/ukhpi/region/swindon/month/2020-07,213678,385112,208649.0,134802,275266.0,233778,184820,82.4,83.3,81.6,84.6,86.7,82.6,80.9,2.2,2.6,2.1,0.2,2.6,2.9,2.4,0.1,-0.3,0.3,0.7,-1.0,0.0,0.2,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/swindon,249.0,213.0,36.0,46.0,200.0
http://landregistry.data.gov.uk/data/ukhpi/region/swindon/month/2020-08,214682,386876,209902.0,134651,274443.0,234848,186138,82.8,83.7,82.1,84.5,86.5,83.0,81.4,2.7,3.1,2.8,0.3,2.3,3.4,3.1,0.5,0.5,0.6,-0.1,-0.3,0.5,0.7,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/swindon,198.0,184.0,14.0,38.0,158.0
http://landregistry.data.gov.uk/data/ukhpi/region/swindon/month/2020-09,216053,390756,211024.0,135061,277827.0,236234,187173,83.3,84.5,82.5,84.8,87.5,83.4,81.9,2.8,3.5,2.9,0.1,2.3,3.6,3.0,0.6,1.0,0.5,0.3,1.2,0.6,0.6,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/swindon,248.0,230.0,18.0,56.0,190.0
http://landregistry.data.gov.uk/data/ukhpi/region/swindon/month/2020-10,217418,394186,212605.0,135225,277718.0,237564,188511,83.8,85.3,83.1,84.9,87.5,83.9,82.5,3.4,4.4,3.5,0.6,2.7,3.8,3.7,0.6,0.9,0.7,0.1,0.0,0.6,0.7,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/swindon,283.0,263.0,20.0,49.0,230.0
http://landregistry.data.gov.uk/data/ukhpi/region/swindon/month/2020-11,217390,393780,213017.0,135454,274388.0,236881,188878,83.8,85.2,83.3,85.0,86.4,83.7,82.6,4.1,5.0,4.3,1.6,3.1,4.1,4.7,0.0,-0.1,0.2,0.2,-1.2,-0.3,0.2,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/swindon,323.0,290.0,33.0,50.0,267.0
http://landregistry.data.gov.uk/data/ukhpi/region/swindon/month/2020-12,217476,393419,213389.0,135396,272351.0,236617,189409,83.8,85.1,83.4,85.0,85.8,83.6,82.9,3.8,4.5,3.9,1.6,3.4,3.5,4.6,0.0,-0.1,0.2,0.0,-0.7,-0.1,0.3,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/swindon,373.0,351.0,22.0,77.0,291.0
http://landregistry.data.gov.uk/data/ukhpi/region/swindon/month/2021-01,218277,391656,214581.0,137283,270382.0,237226,190600,84.1,84.7,83.9,86.2,85.2,83.8,83.4,4.6,4.2,4.9,3.7,2.2,4.1,5.7,0.4,-0.4,0.6,1.4,-0.7,0.3,0.6,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/swindon,324.0,282.0,42.0,58.0,266.0
