_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/tameside/month/2020-01,144733,258607,143856.0,94292,165238.0,164834,124741,74.3,75.2,73.9,76.9,76.7,74.6,73.5,4.6,4.2,4.6,2.5,5.3,5.0,4.7,-0.7,-0.5,-0.7,-0.9,0.2,-0.7,-0.7,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/tameside,203.0,189.0,14.0,45.0,155.0
http://landregistry.data.gov.uk/data/ukhpi/region/tameside/month/2020-02,145044,259005,144140.0,94398,166924.0,165064,125125,74.5,75.3,74.0,77.0,77.5,74.7,73.7,4.6,4.2,4.7,2.4,4.2,4.9,4.9,0.2,0.2,0.2,0.1,1.0,0.1,0.3,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/tameside,239.0,219.0,20.0,49.0,181.0
http://landregistry.data.gov.uk/data/ukhpi/region/tameside/month/2020-03,144952,259111,143927.0,94405,169259.0,165051,124934,74.4,75.3,73.9,77.0,78.6,74.7,73.6,4.5,4.0,4.6,2.9,4.4,4.7,4.8,-0.1,0.0,-0.1,0.0,1.4,0.0,-0.2,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/tameside,219.0,203.0,16.0,49.0,164.0
http://landregistry.data.gov.uk/data/ukhpi/region/tameside/month/2020-04,143429,256564,142390.0,92866,167770.0,163188,123784,73.6,74.6,73.1,75.7,77.9,73.9,72.9,3.6,3.5,3.7,1.8,3.5,3.7,3.8,-1.1,-1.0,-1.1,-1.6,-0.9,-1.1,-0.9,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/tameside,94.0,86.0,8.0,26.0,65.0
http://landregistry.data.gov.uk/data/ukhpi/region/tameside/month/2020-05,143505,257158,142253.0,92987,170310.0,163513,123624,73.7,74.7,73.0,75.8,79.1,74.0,72.8,2.5,2.9,2.4,1.3,5.1,2.8,2.4,0.1,0.2,-0.1,0.1,1.5,0.2,-0.1,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/tameside,110.0,107.0,3.0,25.0,80.0
http://landregistry.data.gov.uk/data/ukhpi/region/tameside/month/2020-06,143459,256821,142353.0,92662,168608.0,163542,123629,73.6,74.6,73.1,75.5,78.3,74.1,72.8,1.7,2.2,1.6,0.2,4.5,2.1,1.5,0.0,-0.1,0.1,-0.4,-1.0,0.0,0.0,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/tameside,166.0,161.0,5.0,35.0,127.0
http://landregistry.data.gov.uk/data/ukhpi/region/tameside/month/2020-07,147249,263048,146254.0,95488,171419.0,167880,126886,75.6,76.4,75.1,77.9,79.6,76.0,74.7,2.3,2.6,2.3,0.9,3.6,2.8,2.0,2.6,2.4,2.7,3.0,1.7,2.7,2.6,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/tameside,239.0,227.0,12.0,58.0,178.0
http://landregistry.data.gov.uk/data/ukhpi/region/tameside/month/2020-08,150877,269541,149994.0,96998,174059.0,172099,130126,77.4,78.3,77.0,79.1,80.8,77.9,76.6,5.5,5.8,5.6,3.4,5.9,6.1,5.2,2.5,2.5,2.6,1.6,1.5,2.5,2.6,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/tameside,222.0,211.0,11.0,44.0,178.0
http://landregistry.data.gov.uk/data/ukhpi/region/tameside/month/2020-09,152583,273215,151642.0,97663,176566.0,173979,131636,78.3,79.4,77.9,79.6,82.0,78.8,77.5,5.4,6.0,5.5,2.8,5.4,6.2,5.0,1.1,1.4,1.1,0.7,1.4,1.1,1.2,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/tameside,225.0,213.0,12.0,49.0,174.0
http://landregistry.data.gov.uk/data/ukhpi/region/tameside/month/2020-10,154611,277666,153811.0,98248,177177.0,176172,133486,79.4,80.7,79.0,80.1,82.3,79.8,78.6,6.9,7.8,7.1,3.7,6.3,7.4,6.7,1.3,1.6,1.4,0.6,0.3,1.3,1.4,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/tameside,278.0,265.0,13.0,57.0,212.0
http://landregistry.data.gov.uk/data/ukhpi/region/tameside/month/2020-11,153240,275194,152657.0,97548,173255.0,174166,132545,78.7,80.0,78.4,79.5,80.4,78.9,78.1,5.0,5.7,5.3,2.0,3.8,5.0,5.3,-0.9,-0.9,-0.7,-0.7,-2.2,-1.1,-0.7,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/tameside,239.0,231.0,8.0,67.0,168.0
http://landregistry.data.gov.uk/data/ukhpi/region/tameside/month/2020-12,156054,280097,155584.0,99243,175063.0,177060,135208,80.1,81.4,79.9,80.9,81.3,80.2,79.6,7.1,7.8,7.4,4.3,6.2,6.7,7.6,1.8,1.8,1.9,1.7,1.0,1.7,2.0,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/tameside,328.0,321.0,7.0,79.0,244.0
http://landregistry.data.gov.uk/data/ukhpi/region/tameside/month/2021-01,158023,281592,157703.0,101518,175560.0,179134,137096,81.1,81.8,81.0,82.8,81.5,81.1,80.7,9.2,8.9,9.6,7.7,6.2,8.7,9.9,1.3,0.5,1.4,2.3,0.3,1.2,1.4,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/tameside,266.0,252.0,14.0,74.0,192.0
http://landregistry.data.gov.uk/data/ukhpi/region/tameside/month/2021-02,160327,283571,160046.0,104044,177816.0,181436,139399,82.3,82.4,82.2,84.8,82.6,82.2,82.1,10.5,9.5,11.0,10.2,6.5,9.9,11.4,1.5,0.7,1.5,2.5,1.3,1.3,1.7,2021-02,1,2021-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/tameside,347.0,320.0,27.0,81.0,265.0
http://landregistry.data.gov.uk/data/ukhpi/region/tameside/month/2021-03,161897,284156,161622.0,106353,179809.0,182950,141010,83.1,82.6,83.0,86.7,83.5,82.8,83.0,11.7,9.7,12.3,12.7,6.2,10.8,12.9,1.0,0.2,1.0,2.2,1.1,0.8,1.2,2021-03,1,2021-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/tameside,449.0,424.0,25.0,109.0,340.0
