_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/telford-and-wrekin/month/2020-01,165050,263268,154784.0,81949,237065.0,149421,125613,76.8,77.7,75.9,80.1,78.8,76.4,75.2,3.9,3.5,3.8,2.0,4.2,4.3,4.2,-0.3,-0.1,-0.4,-0.9,0.5,-0.3,-0.3,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/telford-and-wrekin,174.0,158.0,16.0,52.0,118.0
http://landregistry.data.gov.uk/data/ukhpi/region/telford-and-wrekin/month/2020-02,163984,261328,153721.0,80905,237682.0,148544,125052,76.3,77.1,75.3,79.1,79.0,76.0,74.8,3.3,2.8,3.5,0.9,2.5,3.6,3.9,-0.6,-0.7,-0.7,-1.3,0.3,-0.6,-0.4,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/telford-and-wrekin,196.0,178.0,18.0,57.0,136.0
http://landregistry.data.gov.uk/data/ukhpi/region/telford-and-wrekin/month/2020-03,166655,265790,155971.0,81807,244802.0,151026,127049,77.5,78.4,76.4,80.0,81.4,77.2,76.0,3.9,3.4,4.1,2.0,3.7,4.2,4.5,1.6,1.7,1.5,1.1,3.0,1.7,1.6,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/telford-and-wrekin,187.0,147.0,40.0,40.0,143.0
http://landregistry.data.gov.uk/data/ukhpi/region/telford-and-wrekin/month/2020-04,164682,262917,154039.0,80383,242440.0,149153,125640,76.6,77.6,75.5,78.6,80.6,76.3,75.2,2.5,2.4,2.6,0.2,2.1,2.6,2.9,-1.2,-1.1,-1.2,-1.7,-1.0,-1.2,-1.1,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/telford-and-wrekin,78.0,70.0,8.0,19.0,58.0
http://landregistry.data.gov.uk/data/ukhpi/region/telford-and-wrekin/month/2020-05,163043,260751,152014.0,79609,243054.0,147711,123985,75.9,76.9,74.5,77.9,80.8,75.5,74.2,2.1,2.4,1.8,0.2,4.3,2.3,2.0,-1.0,-0.8,-1.3,-1.0,0.3,-1.0,-1.3,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/telford-and-wrekin,101.0,92.0,9.0,28.0,70.0
http://landregistry.data.gov.uk/data/ukhpi/region/telford-and-wrekin/month/2020-06,159303,254400,148892.0,77577,235283.0,144432,121372,74.1,75.0,73.0,75.9,78.2,73.9,72.6,1.4,1.6,1.2,-1.1,3.5,1.7,1.3,-2.3,-2.4,-2.1,-2.6,-3.2,-2.2,-2.1,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/telford-and-wrekin,159.0,129.0,30.0,35.0,122.0
http://landregistry.data.gov.uk/data/ukhpi/region/telford-and-wrekin/month/2020-07,161639,257448,151448.0,79223,236422.0,146595,123395,75.2,75.9,74.2,77.5,78.6,75.0,73.8,3.8,3.8,3.9,1.8,4.7,4.2,3.8,1.5,1.2,1.7,2.1,0.5,1.5,1.7,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/telford-and-wrekin,191.0,159.0,32.0,46.0,143.0
http://landregistry.data.gov.uk/data/ukhpi/region/telford-and-wrekin/month/2020-08,165241,263011,155189.0,80373,239419.0,149852,126549,76.9,77.6,76.1,78.6,79.6,76.6,75.7,4.0,3.9,4.4,1.4,4.1,4.5,4.3,2.2,2.2,2.5,1.5,1.3,2.2,2.6,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/telford-and-wrekin,170.0,146.0,24.0,52.0,114.0
http://landregistry.data.gov.uk/data/ukhpi/region/telford-and-wrekin/month/2020-09,169740,270906,159245.0,82028,246950.0,153698,129959,79.0,79.9,78.1,80.2,82.1,78.6,77.8,6.3,6.5,6.6,3.1,6.0,6.7,6.3,2.7,3.0,2.6,2.1,3.1,2.6,2.7,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/telford-and-wrekin,216.0,175.0,41.0,41.0,174.0
http://landregistry.data.gov.uk/data/ukhpi/region/telford-and-wrekin/month/2020-10,171376,274059,161077.0,82165,247541.0,154995,131312,79.7,80.8,78.9,80.4,82.3,79.3,78.6,4.7,5.2,5.2,0.6,4.1,4.8,5.0,1.0,1.2,1.2,0.2,0.2,0.8,1.0,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/telford-and-wrekin,253.0,222.0,31.0,57.0,186.0
