_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/thurrock/month/2020-01,273009,503177,268589.0,178876,402322.0,328209,261301,81.2,80.8,80.3,85.9,85.3,80.0,79.7,-1.2,-1.1,-1.2,-2.7,-1.1,-0.6,-0.8,-0.4,-0.2,-0.5,-0.8,0.4,-0.4,-0.4,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/thurrock,205.0,154.0,51.0,27.0,157.0
http://landregistry.data.gov.uk/data/ukhpi/region/thurrock/month/2020-02,274365,507335,269862.0,178880,407709.0,330327,262850,81.6,81.4,80.7,85.9,86.4,80.5,80.1,-0.7,-0.6,-0.5,-2.5,-1.7,0.0,0.0,0.5,0.8,0.5,0.0,1.3,0.6,0.6,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/thurrock,177.0,169.0,8.0,22.0,152.0
http://landregistry.data.gov.uk/data/ukhpi/region/thurrock/month/2020-03,273306,507206,268492.0,177320,411939.0,329837,261833,81.3,81.4,80.3,85.2,87.3,80.4,79.8,-0.8,-0.7,-0.7,-2.6,-1.0,-0.1,-0.2,-0.4,0.0,-0.5,-0.9,1.0,-0.1,-0.4,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/thurrock,194.0,184.0,10.0,24.0,166.0
http://landregistry.data.gov.uk/data/ukhpi/region/thurrock/month/2020-04,275176,511812,270205.0,177800,415953.0,332072,264152,81.9,82.2,80.8,85.4,88.2,80.9,80.5,0.3,0.9,0.5,-1.7,0.0,1.0,1.0,0.7,0.9,0.6,0.3,1.0,0.7,0.9,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/thurrock,98.0,86.0,12.0,15.0,79.0
http://landregistry.data.gov.uk/data/ukhpi/region/thurrock/month/2020-05,278866,518274,273269.0,180513,426744.0,336608,267401,83.0,83.2,81.8,86.7,90.5,82.1,81.5,2.6,3.5,2.4,0.9,4.7,3.3,2.9,1.3,1.3,1.1,1.5,2.6,1.4,1.2,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/thurrock,99.0,93.0,6.0,16.0,82.0
http://landregistry.data.gov.uk/data/ukhpi/region/thurrock/month/2020-06,280416,520437,275205.0,180918,425285.0,338933,269279,83.4,83.5,82.3,86.9,90.2,82.6,82.1,3.0,4.0,2.9,0.9,5.1,3.9,3.4,0.6,0.4,0.7,0.2,-0.3,0.7,0.7,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/thurrock,134.0,123.0,11.0,15.0,115.0
http://landregistry.data.gov.uk/data/ukhpi/region/thurrock/month/2020-07,281168,520614,276398.0,181895,422103.0,339799,269749,83.7,83.6,82.7,87.4,89.5,82.8,82.2,3.1,3.9,3.1,1.1,3.8,4.0,3.4,0.3,0.0,0.4,0.5,-0.7,0.3,0.2,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/thurrock,144.0,132.0,12.0,22.0,118.0
http://landregistry.data.gov.uk/data/ukhpi/region/thurrock/month/2020-08,280485,520859,276091.0,179956,417643.0,339656,269865,83.5,83.6,82.6,86.5,88.6,82.8,82.3,2.3,3.2,2.5,-0.4,2.3,3.5,2.8,-0.2,0.0,-0.1,-1.1,-1.1,0.0,0.0,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/thurrock,180.0,145.0,35.0,26.0,151.0
http://landregistry.data.gov.uk/data/ukhpi/region/thurrock/month/2020-09,281918,525936,277371.0,180232,420965.0,341471,271439,83.9,84.4,83.0,86.6,89.3,83.2,82.7,2.1,3.4,2.3,-0.8,1.6,3.4,2.5,0.5,1.0,0.5,0.2,0.8,0.5,0.6,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/thurrock,174.0,151.0,23.0,20.0,150.0
http://landregistry.data.gov.uk/data/ukhpi/region/thurrock/month/2020-10,283627,531135,279466.0,180241,419716.0,343888,273597,84.4,85.3,83.6,86.6,89.0,83.8,83.4,2.7,4.5,3.0,-0.6,1.6,3.9,3.3,0.6,1.0,0.8,0.0,-0.3,0.7,0.8,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/thurrock,198.0,178.0,20.0,29.0,158.0
http://landregistry.data.gov.uk/data/ukhpi/region/thurrock/month/2020-11,286846,536985,283164.0,182418,419701.0,347122,277003,85.3,86.2,84.7,87.6,89.0,84.6,84.4,4.6,6.5,5.0,1.3,3.4,5.5,5.5,1.1,1.1,1.3,1.2,0.0,0.9,1.2,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/thurrock,201.0,184.0,17.0,24.0,174.0
http://landregistry.data.gov.uk/data/ukhpi/region/thurrock/month/2020-12,290490,543356,287120.0,184530,421797.0,351163,281004,86.4,87.2,85.9,88.7,89.4,85.6,85.7,5.9,7.8,6.3,2.4,5.2,6.6,7.1,1.3,1.2,1.4,1.2,0.5,1.2,1.4,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/thurrock,209.0,203.0,6.0,17.0,186.0
http://landregistry.data.gov.uk/data/ukhpi/region/thurrock/month/2021-01,291416,540203,288387.0,186232,419996.0,351749,281906,86.7,86.7,86.3,89.5,89.1,85.7,85.9,6.7,7.4,7.4,4.1,4.4,7.2,7.9,0.3,-0.6,0.4,0.9,-0.4,0.2,0.3,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/thurrock,217.0,178.0,39.0,21.0,195.0
http://landregistry.data.gov.uk/data/ukhpi/region/thurrock/month/2021-02,291936,536013,289034.0,187889,419630.0,351545,282459,86.9,86.0,86.5,90.3,89.0,85.7,86.1,6.4,5.7,7.1,5.0,2.9,6.4,7.5,0.2,-0.8,0.2,0.9,-0.1,-0.1,0.2,2021-02,1,2021-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/thurrock,264.0,240.0,24.0,34.0,229.0
http://landregistry.data.gov.uk/data/ukhpi/region/thurrock/month/2021-03,290504,527536,287555.0,188640,418555.0,348770,281058,86.4,84.7,86.0,90.6,88.7,85.0,85.7,6.3,4.0,7.1,6.4,1.6,5.7,7.3,-0.5,-1.6,-0.5,0.4,-0.3,-0.8,-0.5,2021-03,1,2021-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/thurrock,383.0,339.0,44.0,59.0,322.0
http://landregistry.data.gov.uk/data/ukhpi/region/thurrock/month/2021-04,291125,528452,287850.0,189500,423039.0,348888,281642,86.6,84.8,86.1,91.0,89.7,85.0,85.9,5.8,3.3,6.5,6.6,1.7,5.1,6.6,0.2,0.2,0.1,0.5,1.1,0.0,0.2,2021-04,1,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/thurrock,228.0,209.0,19.0,24.0,204.0
http://landregistry.data.gov.uk/data/ukhpi/region/thurrock/month/2021-05,289268,525876,285944.0,188115,421118.0,346707,279853,86.1,84.4,85.5,90.4,89.3,84.5,85.3,3.7,1.5,4.6,4.2,-1.3,3.0,4.7,-0.6,-0.5,-0.7,-0.7,-0.5,-0.6,-0.6,2021-05,1,2021-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/thurrock,182.0,173.0,9.0,21.0,161.0
http://landregistry.data.gov.uk/data/ukhpi/region/thurrock/month/2021-06,291243,528391,288424.0,188864,418204.0,348546,282839,86.7,84.8,86.3,90.7,88.7,85.0,86.2,3.9,1.5,4.8,4.4,-1.7,2.8,5.0,0.7,0.5,0.9,0.4,-0.7,0.5,1.1,2021-06,1,2021-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/thurrock,498.0,473.0,25.0,70.0,428.0
http://landregistry.data.gov.uk/data/ukhpi/region/thurrock/month/2021-07,294658,534733,291514.0,191245,426447.0,353335,285517,87.7,85.8,87.2,91.9,90.4,86.1,87.0,4.8,2.7,5.5,5.1,1.0,4.0,5.8,1.2,1.2,1.1,1.3,2.0,1.4,0.9,2021-07,1,2021-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/thurrock,120.0,117.0,3.0,10.0,110.0
http://landregistry.data.gov.uk/data/ukhpi/region/thurrock/month/2021-08,300199,547038,297375.0,193599,430322.0,361294,290912,89.3,87.8,89.0,93.0,91.2,88.1,88.7,7.0,5.0,7.7,7.6,3.0,6.4,7.8,1.9,2.3,2.0,1.2,0.9,2.3,1.9,2021-08,1,2021-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/thurrock,199.0,184.0,15.0,29.0,169.0
http://landregistry.data.gov.uk/data/ukhpi/region/thurrock/month/2021-09,300742,549779,297895.0,193319,431282.0,363166,290971,89.5,88.2,89.1,92.9,91.4,88.5,88.7,6.7,4.5,7.4,7.3,2.5,6.4,7.2,0.2,0.5,0.2,-0.1,0.2,0.5,0.0,2021-09,1,2021-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/thurrock,370.0,357.0,13.0,44.0,326.0
http://landregistry.data.gov.uk/data/ukhpi/region/thurrock/month/2021-10,304482,562677,302622.0,193632,425267.0,368779,294948,90.6,90.3,90.5,93.0,90.2,89.9,89.9,7.4,5.9,8.3,7.4,1.3,7.2,7.8,1.2,2.3,1.6,0.2,-1.4,1.5,1.4,2021-10,1,2021-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/thurrock,178.0,173.0,5.0,30.0,145.0
http://landregistry.data.gov.uk/data/ukhpi/region/thurrock/month/2021-11,305838,566568,303849.0,194238,428462.0,370686,296114,91.0,90.9,90.9,93.3,90.8,90.4,90.3,6.6,5.5,7.3,6.5,2.1,6.8,6.9,0.4,0.7,0.4,0.3,0.8,0.5,0.4,2021-11,1,2021-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/thurrock,176.0,168.0,8.0,16.0,158.0
http://landregistry.data.gov.uk/data/ukhpi/region/thurrock/month/2021-12,310053,578157,308346.0,195807,431086.0,376680,300096,92.3,92.8,92.2,94.1,91.4,91.8,91.5,6.7,6.4,7.4,6.1,2.2,7.3,6.8,1.4,2.0,1.5,0.8,0.6,1.6,1.3,2021-12,1,2021-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/thurrock,192.0,177.0,15.0,18.0,174.0
http://landregistry.data.gov.uk/data/ukhpi/region/thurrock/month/2022-01,308072,571937,306442.0,194076,427632.0,374641,298879,91.7,91.8,91.7,93.2,90.7,91.3,91.1,5.7,5.9,6.3,4.2,1.8,6.5,6.0,-0.6,-1.1,-0.6,-0.9,-0.8,-0.5,-0.4,2022-01,1,2022-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/thurrock,169.0,159.0,10.0,18.0,150.0
http://landregistry.data.gov.uk/data/ukhpi/region/thurrock/month/2022-02,308416,571663,306960.0,194668,429436.0,374901,299390,91.8,91.8,91.8,93.5,91.1,91.4,91.3,5.6,6.7,6.2,3.6,2.3,6.6,6.0,0.1,0.0,0.2,0.3,0.4,0.1,0.2,2022-02,1,2022-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/thurrock,192.0,165.0,27.0,23.0,167.0
http://landregistry.data.gov.uk/data/ukhpi/region/thurrock/month/2022-03,309749,574768,308033.0,195247,436288.0,377138,300448,92.2,92.3,92.2,93.8,92.5,91.9,91.6,6.6,9.0,7.1,3.5,4.2,8.1,6.9,0.4,0.5,0.3,0.3,1.6,0.6,0.4,2022-03,1,2022-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/thurrock,194.0,191.0,3.0,28.0,166.0
