_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/torbay/month/2020-01,190558,353976,189399.0,126826,246755.0,226024,175914,76.0,75.3,75.9,78.6,78.9,75.3,74.5,3.6,3.5,3.6,2.3,3.2,4.4,4.3,0.5,0.7,0.4,0.3,1.4,0.6,0.6,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/torbay,198.0,195.0,3.0,93.0,103.0
http://landregistry.data.gov.uk/data/ukhpi/region/torbay/month/2020-02,190495,354632,189087.0,126434,249105.0,226068,175968,75.9,75.5,75.8,78.4,79.6,75.3,74.6,5.0,5.1,5.1,3.3,3.7,5.8,6.0,0.0,0.2,-0.2,-0.3,1.0,0.0,0.0,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/torbay,177.0,173.0,4.0,93.0,82.0
http://landregistry.data.gov.uk/data/ukhpi/region/torbay/month/2020-03,190292,354660,188562.0,126030,252909.0,226247,175745,75.9,75.5,75.5,78.1,80.8,75.4,74.5,6.6,6.5,6.5,5.1,6.6,7.3,7.5,-0.1,0.0,-0.3,-0.3,1.5,0.1,-0.1,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/torbay,177.0,171.0,6.0,81.0,94.0
http://landregistry.data.gov.uk/data/ukhpi/region/torbay/month/2020-04,187558,350205,185839.0,123652,249583.0,223056,173714,74.8,74.5,74.5,76.7,79.8,74.3,73.6,2.7,2.9,2.7,1.2,2.6,3.3,3.6,-1.4,-1.3,-1.4,-1.9,-1.3,-1.4,-1.2,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/torbay,66.0,63.0,3.0,27.0,38.0
http://landregistry.data.gov.uk/data/ukhpi/region/torbay/month/2020-05,189280,353085,187401.0,124935,255012.0,225240,175153,75.5,75.1,75.1,77.5,81.5,75.1,74.2,2.2,2.6,2.0,1.0,4.5,2.8,2.7,0.9,0.8,0.8,1.0,2.2,1.0,0.8,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/torbay,93.0,92.0,1.0,33.0,60.0
http://landregistry.data.gov.uk/data/ukhpi/region/torbay/month/2020-06,189783,354083,188045.0,125039,252579.0,226044,175783,75.7,75.3,75.3,77.5,80.7,75.3,74.5,1.7,2.2,1.4,0.2,3.7,2.4,2.1,0.3,0.3,0.3,0.1,-1.0,0.4,0.4,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/torbay,154.0,149.0,5.0,66.0,86.0
http://landregistry.data.gov.uk/data/ukhpi/region/torbay/month/2020-07,189983,353994,188337.0,125548,250766.0,226198,175678,75.7,75.3,75.5,77.8,80.2,75.4,74.4,2.3,3.0,2.1,0.9,3.2,3.1,2.5,0.1,0.0,0.2,0.4,-0.7,0.1,-0.1,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/torbay,155.0,148.0,7.0,76.0,76.0
http://landregistry.data.gov.uk/data/ukhpi/region/torbay/month/2020-08,190103,355059,188578.0,124810,248229.0,227041,176167,75.8,75.6,75.6,77.4,79.3,75.7,74.6,2.4,3.2,2.2,0.5,2.5,3.5,2.7,0.1,0.3,0.1,-0.6,-1.0,0.4,0.3,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/torbay,151.0,145.0,6.0,67.0,83.0
http://landregistry.data.gov.uk/data/ukhpi/region/torbay/month/2020-09,192662,360590,191057.0,125963,252830.0,230390,178794,76.8,76.7,76.5,78.1,80.8,76.8,75.8,3.4,4.5,3.4,1.1,3.3,4.9,3.8,1.3,1.6,1.3,0.9,1.9,1.5,1.5,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/torbay,231.0,224.0,7.0,106.0,124.0
http://landregistry.data.gov.uk/data/ukhpi/region/torbay/month/2020-10,195963,368525,194464.0,127369,254308.0,234468,182146,78.1,78.4,77.9,79.0,81.3,78.1,77.2,4.6,6.0,4.5,1.8,3.6,5.9,5.2,1.7,2.2,1.8,1.1,0.6,1.8,1.9,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/torbay,246.0,239.0,7.0,111.0,128.0
