_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/torfaen/month/2020-01,147272,255401,142866.0,80232,228748.0,152605,119530,76.8,78.5,75.9,79.4,79.5,76.6,75.7,3.1,3.2,3.1,1.4,4.3,3.4,3.1,0.1,0.4,-0.1,-0.3,1.1,0.0,0.0,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/torfaen,82.0,80.0,2.0,14.0,68.0
http://landregistry.data.gov.uk/data/ukhpi/region/torfaen/month/2020-02,148907,258238,144439.0,81110,232694.0,154247,120893,77.7,79.4,76.8,80.3,80.9,77.5,76.6,4.8,4.2,5.0,3.2,4.2,5.0,5.1,1.1,1.1,1.1,1.1,1.7,1.1,1.1,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/torfaen,98.0,91.0,7.0,20.0,77.0
http://landregistry.data.gov.uk/data/ukhpi/region/torfaen/month/2020-03,148368,258035,143718.0,80590,234831.0,153684,120293,77.4,79.3,76.4,79.8,81.6,77.2,76.2,5.2,4.6,5.4,3.8,4.8,5.4,5.6,-0.4,-0.1,-0.5,-0.6,0.9,-0.4,-0.5,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/torfaen,104.0,86.0,18.0,19.0,84.0
http://landregistry.data.gov.uk/data/ukhpi/region/torfaen/month/2020-04,147551,256787,142890.0,79652,233833.0,152632,119737,77.0,78.9,75.9,78.9,81.3,76.7,75.9,2.5,2.2,2.6,0.8,2.2,2.5,2.8,-0.6,-0.5,-0.6,-1.2,-0.4,-0.7,-0.5,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/torfaen,41.0,41.0,,9.0,31.0
http://landregistry.data.gov.uk/data/ukhpi/region/torfaen/month/2020-05,146737,256319,141739.0,78919,235389.0,151769,118860,76.6,78.8,75.3,78.1,81.8,76.2,75.3,1.1,1.7,0.8,-0.6,3.4,1.1,0.9,-0.6,-0.2,-0.8,-0.9,0.7,-0.6,-0.7,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/torfaen,51.0,51.0,,12.0,38.0
http://landregistry.data.gov.uk/data/ukhpi/region/torfaen/month/2020-06,148543,258658,143768.0,79870,236103.0,153768,120500,77.5,79.5,76.4,79.1,82.1,77.2,76.3,0.2,0.8,0.0,-1.7,2.5,0.3,0.0,1.2,0.9,1.4,1.2,0.3,1.3,1.4,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/torfaen,71.0,65.0,6.0,22.0,48.0
http://landregistry.data.gov.uk/data/ukhpi/region/torfaen/month/2020-07,154490,268082,149793.0,83562,243408.0,160110,125437,80.6,82.4,79.6,82.7,84.6,80.4,79.5,5.0,5.2,5.0,3.5,6.1,5.3,4.9,4.0,3.6,4.2,4.6,3.1,4.1,4.1,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/torfaen,69.0,65.0,4.0,15.0,53.0
http://landregistry.data.gov.uk/data/ukhpi/region/torfaen/month/2020-08,154541,267526,150089.0,83220,241550.0,160264,125666,80.6,82.2,79.8,82.4,84.0,80.5,79.6,4.3,4.1,4.4,2.7,4.6,4.7,4.3,0.0,-0.2,0.2,-0.4,-0.8,0.1,0.2,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/torfaen,63.0,54.0,9.0,17.0,46.0
http://landregistry.data.gov.uk/data/ukhpi/region/torfaen/month/2020-09,155796,270589,151122.0,83073,244923.0,161436,126600,81.3,83.2,80.3,82.2,85.1,81.1,80.2,5.1,5.2,5.2,2.6,5.5,5.7,5.0,0.8,1.1,0.7,-0.2,1.4,0.7,0.7,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/torfaen,63.0,58.0,5.0,11.0,49.0
http://landregistry.data.gov.uk/data/ukhpi/region/torfaen/month/2020-10,154138,267631,149732.0,81639,240638.0,159570,125413,80.4,82.3,79.6,80.8,83.7,80.1,79.4,4.6,4.9,4.8,1.4,4.8,4.9,4.6,-1.1,-1.1,-0.9,-1.7,-1.7,-1.2,-0.9,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/torfaen,112.0,105.0,7.0,27.0,85.0
