_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/tower-hamlets/month/2020-01,507479,848867,492493.0,492688,513221.0,684588,683200,98.1,85.9,95.5,98.7,98.6,92.6,90.2,6.5,7.4,6.5,6.3,5.8,8.6,8.2,1.8,2.0,1.6,1.8,2.5,1.8,1.9,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/tower-hamlets,289.0,116.0,173.0,58.0,220.0
http://landregistry.data.gov.uk/data/ukhpi/region/tower-hamlets/month/2020-02,520113,893482,505105.0,504721,531326.0,707272,706272,100.5,90.4,97.9,101.1,102.1,95.6,93.3,10.8,16.0,11.8,10.5,9.4,14.8,14.3,2.5,5.3,2.6,2.4,3.5,3.3,3.4,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/tower-hamlets,270.0,121.0,149.0,78.0,166.0
http://landregistry.data.gov.uk/data/ukhpi/region/tower-hamlets/month/2020-03,524684,918190,507891.0,509064,543473.0,716417,714837,101.4,92.9,98.5,102.0,104.4,96.9,94.4,11.4,17.8,12.1,11.2,11.5,14.9,14.9,0.9,2.8,0.6,0.9,2.3,1.3,1.2,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/tower-hamlets,280.0,139.0,141.0,56.0,196.0
http://landregistry.data.gov.uk/data/ukhpi/region/tower-hamlets/month/2020-04,513497,904139,497766.0,498050,530974.0,702295,703352,99.3,91.5,96.5,99.8,102.0,94.9,92.9,8.1,15.0,9.1,7.9,7.6,11.5,11.7,-2.1,-1.5,-2.0,-2.2,-2.3,-2.0,-1.6,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/tower-hamlets,149.0,71.0,78.0,47.0,99.0
http://landregistry.data.gov.uk/data/ukhpi/region/tower-hamlets/month/2020-05,508032,867676,488290.0,493156,530649.0,685479,686473,98.2,87.8,94.7,98.8,102.0,92.7,90.6,8.2,11.0,7.8,8.1,9.8,9.4,9.7,-1.1,-4.0,-1.9,-1.0,-0.1,-2.4,-2.4,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/tower-hamlets,106.0,58.0,48.0,26.0,76.0
http://landregistry.data.gov.uk/data/ukhpi/region/tower-hamlets/month/2020-06,492995,833202,477378.0,478391,510540.0,666846,670261,95.3,84.3,92.6,95.8,98.1,90.2,88.5,4.8,6.5,4.9,4.7,6.3,6.3,6.6,-3.0,-4.0,-2.2,-3.0,-3.8,-2.7,-2.4,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/tower-hamlets,195.0,99.0,96.0,43.0,129.0
http://landregistry.data.gov.uk/data/ukhpi/region/tower-hamlets/month/2020-07,497277,849060,483971.0,482436,511863.0,675955,678584,96.1,85.9,93.8,96.6,98.4,91.4,89.6,4.4,7.4,5.1,4.2,5.0,6.8,6.7,0.9,1.9,1.4,0.8,0.3,1.4,1.2,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/tower-hamlets,246.0,112.0,134.0,49.0,182.0
http://landregistry.data.gov.uk/data/ukhpi/region/tower-hamlets/month/2020-08,506248,889352,496985.0,490610,515640.0,698292,703232,97.9,90.0,96.4,98.3,99.1,94.4,92.9,4.1,9.8,5.6,3.9,3.9,8.1,7.8,1.8,4.7,2.7,1.7,0.7,3.3,3.6,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/tower-hamlets,203.0,112.0,91.0,47.0,151.0
http://landregistry.data.gov.uk/data/ukhpi/region/tower-hamlets/month/2020-09,520304,932277,509880.0,504059,531061.0,722470,726823,100.6,94.3,98.9,101.0,102.1,97.7,96.0,5.3,13.5,6.9,5.0,4.5,10.4,9.6,2.8,4.8,2.6,2.7,3.0,3.5,3.4,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/tower-hamlets,257.0,126.0,131.0,70.0,178.0
http://landregistry.data.gov.uk/data/ukhpi/region/tower-hamlets/month/2020-10,523820,946299,516409.0,507159,530874.0,734088,739057,101.3,95.7,100.1,101.6,102.0,99.2,97.6,5.7,15.2,7.9,5.4,4.6,11.4,10.9,0.7,1.5,1.3,0.6,0.0,1.6,1.7,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/tower-hamlets,333.0,154.0,179.0,103.0,223.0
http://landregistry.data.gov.uk/data/ukhpi/region/tower-hamlets/month/2020-11,514838,923812,510882.0,498338,517736.0,721814,729533,99.5,93.5,99.1,99.8,99.5,97.6,96.3,4.0,12.3,6.6,3.7,2.8,8.9,9.7,-1.7,-2.4,-1.1,-1.7,-2.5,-1.7,-1.3,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/tower-hamlets,253.0,167.0,86.0,57.0,186.0
http://landregistry.data.gov.uk/data/ukhpi/region/tower-hamlets/month/2020-12,509975,916166,507541.0,493518,511038.0,715570,725475,98.6,92.7,98.4,98.9,98.2,96.7,95.8,2.3,10.1,4.7,2.0,2.0,6.4,8.2,-0.9,-0.8,-0.7,-1.0,-1.3,-0.9,-0.6,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/tower-hamlets,319.0,200.0,119.0,76.0,214.0
http://landregistry.data.gov.uk/data/ukhpi/region/tower-hamlets/month/2021-01,505973,900978,504875.0,489805,505460.0,704659,715971,97.8,91.2,97.9,98.1,97.1,95.3,94.5,-0.3,6.1,2.5,-0.6,-1.5,2.9,4.8,-0.8,-1.7,-0.5,-0.8,-1.1,-1.5,-1.3,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/tower-hamlets,276.0,176.0,100.0,75.0,201.0
http://landregistry.data.gov.uk/data/ukhpi/region/tower-hamlets/month/2021-02,528825,936638,524068.0,512246,532384.0,730636,741146,102.2,94.8,101.6,102.6,102.3,98.8,97.9,1.7,4.8,3.8,1.5,0.2,3.3,4.9,4.5,4.0,3.8,4.6,5.3,3.7,3.5,2021-02,1,2021-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/tower-hamlets,322.0,176.0,146.0,85.0,235.0
http://landregistry.data.gov.uk/data/ukhpi/region/tower-hamlets/month/2021-03,543813,942813,536932.0,527154,549644.0,741522,753628,105.1,95.4,104.1,105.6,105.6,100.2,99.5,3.6,2.7,5.7,3.6,1.1,3.5,5.4,2.8,0.7,2.5,2.9,3.2,1.5,1.7,2021-03,1,2021-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/tower-hamlets,662.0,335.0,327.0,192.0,466.0
http://landregistry.data.gov.uk/data/ukhpi/region/tower-hamlets/month/2021-04,552155,956560,540545.0,535394,563382.0,752341,761999,106.7,96.8,104.8,107.2,108.3,101.7,100.6,7.5,5.8,8.6,7.5,6.1,7.1,8.3,1.5,1.5,0.7,1.6,2.5,1.5,1.1,2021-04,1,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/tower-hamlets,342.0,211.0,131.0,79.0,262.0
http://landregistry.data.gov.uk/data/ukhpi/region/tower-hamlets/month/2021-05,542385,932130,531831.0,525888,552425.0,739183,749200,104.8,94.3,103.1,105.3,106.2,99.9,98.9,6.8,7.4,8.9,6.6,4.1,7.8,9.1,-1.8,-2.6,-1.6,-1.8,-1.9,-1.7,-1.7,2021-05,1,2021-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/tower-hamlets,312.0,164.0,148.0,83.0,226.0
http://landregistry.data.gov.uk/data/ukhpi/region/tower-hamlets/month/2021-06,545958,941843,538977.0,528898,551900.0,747820,763515,105.5,95.3,104.5,105.9,106.1,101.1,100.8,10.7,13.0,12.9,10.6,8.1,12.1,13.9,0.7,1.0,1.3,0.6,-0.1,1.2,1.9,2021-06,1,2021-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/tower-hamlets,1166.0,655.0,511.0,305.0,860.0
http://landregistry.data.gov.uk/data/ukhpi/region/tower-hamlets/month/2021-07,546908,934262,540542.0,530068,552121.0,747714,759802,105.7,94.5,104.8,106.2,106.1,101.1,100.3,10.0,10.0,11.7,9.9,7.9,10.6,12.0,0.2,-0.8,0.3,0.2,0.0,0.0,-0.5,2021-07,1,2021-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/tower-hamlets,140.0,63.0,77.0,54.0,85.0
http://landregistry.data.gov.uk/data/ukhpi/region/tower-hamlets/month/2021-08,555759,983814,552232.0,538315,557711.0,767319,778768,107.4,99.5,107.1,107.8,107.2,103.7,102.8,9.8,10.6,11.1,9.7,8.2,9.9,10.7,1.6,5.3,2.2,1.6,1.0,2.6,2.5,2021-08,1,2021-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/tower-hamlets,328.0,120.0,208.0,117.0,211.0
http://landregistry.data.gov.uk/data/ukhpi/region/tower-hamlets/month/2021-09,549612,984193,545382.0,532408,552378.0,762380,768994,106.2,99.6,105.8,106.7,106.1,103.1,101.5,5.6,5.6,7.0,5.6,4.0,5.5,5.8,-1.1,0.0,-1.2,-1.1,-1.0,-0.6,-1.3,2021-09,1,2021-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/tower-hamlets,506.0,280.0,226.0,126.0,380.0
http://landregistry.data.gov.uk/data/ukhpi/region/tower-hamlets/month/2021-10,547642,1014931,546841.0,529948,546479.0,768448,777321,105.9,102.7,106.0,106.2,105.0,103.9,102.6,4.5,7.3,5.9,4.5,2.9,4.7,5.2,-0.4,3.1,0.3,-0.5,-1.1,0.8,1.1,2021-10,1,2021-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/tower-hamlets,205.0,101.0,104.0,60.0,145.0
http://landregistry.data.gov.uk/data/ukhpi/region/tower-hamlets/month/2021-11,553153,1018270,550849.0,535340,553663.0,775340,783895,106.9,103.0,106.8,107.2,106.4,104.8,103.5,7.4,10.2,7.8,7.4,6.9,7.4,7.5,1.0,0.3,0.7,1.0,1.3,0.9,0.8,2021-11,1,2021-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/tower-hamlets,277.0,145.0,132.0,68.0,208.0
http://landregistry.data.gov.uk/data/ukhpi/region/tower-hamlets/month/2021-12,563994,1064878,563894.0,545617,562005.0,794480,803731,109.0,107.7,109.3,109.3,108.0,107.4,106.1,10.6,16.2,11.1,10.6,10.0,11.0,10.8,2.0,4.6,2.4,1.9,1.5,2.5,2.5,2021-12,1,2021-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/tower-hamlets,296.0,147.0,149.0,88.0,206.0
