_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/trafford/month/2020-01,287695,572858,288335.0,174149,165498.0,318419,243618,79.7,78.0,79.3,84.2,85.7,78.7,78.7,-0.4,-0.7,-0.1,-2.0,-1.2,0.4,0.3,0.2,0.1,0.1,0.2,0.8,0.1,0.3,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/trafford,246.0,242.0,4.0,60.0,185.0
http://landregistry.data.gov.uk/data/ukhpi/region/trafford/month/2020-02,289747,577775,290031.0,175544,167561.0,320241,245386,80.2,78.7,79.7,84.9,86.7,79.2,79.3,2.4,2.5,2.7,0.2,-0.2,3.1,3.3,0.7,0.9,0.6,0.8,1.2,0.6,0.7,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/trafford,241.0,240.0,1.0,55.0,178.0
http://landregistry.data.gov.uk/data/ukhpi/region/trafford/month/2020-03,298259,594798,298006.0,181216,174580.0,329378,252195,82.6,81.0,81.9,87.6,90.4,81.4,81.5,5.5,5.7,5.7,3.8,3.8,6.1,6.2,2.9,2.9,2.7,3.2,4.2,2.9,2.8,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/trafford,224.0,194.0,30.0,79.0,139.0
http://landregistry.data.gov.uk/data/ukhpi/region/trafford/month/2020-04,299723,602515,299362.0,181490,176065.0,330585,253608,83.0,82.0,82.3,87.7,91.1,81.7,81.9,5.3,6.6,5.4,3.2,3.5,5.7,5.7,0.5,1.3,0.5,0.2,0.9,0.4,0.6,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/trafford,99.0,78.0,21.0,40.0,58.0
http://landregistry.data.gov.uk/data/ukhpi/region/trafford/month/2020-05,299203,601367,298171.0,182390,179650.0,329628,252178,82.8,81.9,82.0,88.2,93.0,81.5,81.5,4.8,6.4,4.6,4.1,6.6,4.9,4.4,-0.2,-0.2,-0.4,0.5,2.0,-0.3,-0.6,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/trafford,111.0,106.0,5.0,30.0,78.0
http://landregistry.data.gov.uk/data/ukhpi/region/trafford/month/2020-06,294535,590744,293807.0,178674,175220.0,325158,248782,81.5,80.4,80.8,86.4,90.7,80.4,80.4,3.0,4.4,2.8,2.0,4.7,3.2,2.8,-1.6,-1.8,-1.5,-2.0,-2.5,-1.4,-1.3,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/trafford,208.0,173.0,35.0,71.0,127.0
http://landregistry.data.gov.uk/data/ukhpi/region/trafford/month/2020-07,299013,595856,298711.0,181194,175358.0,330750,252884,82.8,81.1,82.1,87.6,90.8,81.8,81.7,3.8,4.8,3.8,2.5,3.7,4.3,3.8,1.5,0.9,1.7,1.4,0.1,1.7,1.6,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/trafford,232.0,225.0,7.0,57.0,171.0
http://landregistry.data.gov.uk/data/ukhpi/region/trafford/month/2020-08,302481,604018,302993.0,180902,172696.0,335661,257188,83.7,82.2,83.3,87.5,89.4,83.0,83.1,4.1,5.3,4.3,1.7,1.6,4.9,4.5,1.2,1.4,1.4,-0.2,-1.5,1.5,1.7,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/trafford,278.0,247.0,31.0,57.0,218.0
http://landregistry.data.gov.uk/data/ukhpi/region/trafford/month/2020-09,301814,606153,302387.0,179825,171970.0,335112,256454,83.6,82.5,83.1,86.9,89.0,82.9,82.8,2.1,3.6,2.4,-0.8,-1.3,3.2,2.2,-0.2,0.4,-0.2,-0.6,-0.4,-0.2,-0.3,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/trafford,249.0,235.0,14.0,72.0,174.0
http://landregistry.data.gov.uk/data/ukhpi/region/trafford/month/2020-10,304360,613332,305226.0,180271,171818.0,338551,258750,84.3,83.5,83.9,87.2,88.9,83.7,83.6,3.9,5.5,4.2,0.7,0.2,4.9,4.2,0.8,1.2,0.9,0.2,-0.1,1.0,0.9,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/trafford,329.0,314.0,15.0,74.0,247.0
