_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_sa,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_sa,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build
http://landregistry.data.gov.uk/data/ukhpi/region/united-kingdom/month/2020-01,213657,348846,208917,170893,277404,213582,210423,173898,81.9,81.0,81.0,87.7,86.7,81.9,80.6,80.5,1.6,0.9,1.3,0.4,4.3,2.2,2.4,0.1,0.4,-0.6,0.0,6.2,0.3,-0.4,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/united-kingdom,68598,62247,6352
http://landregistry.data.gov.uk/data/ukhpi/region/united-kingdom/month/2020-02,212429,347424,208814,168422,266070,213073,209114,173754,81.4,80.7,80.9,86.5,83.2,81.7,80.1,80.4,1.3,1.0,1.8,-0.7,-2.5,1.8,2.3,-0.6,-0.4,0.0,-1.4,-4.1,-0.6,-0.1,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/united-kingdom,67476,60312,7165
http://landregistry.data.gov.uk/data/ukhpi/region/united-kingdom/month/2020-03,214344,350069,210146,171323,273296,216806,210729,174807,82.1,81.3,81.4,87.9,85.5,83.1,80.7,80.9,2.5,2.4,2.5,1.6,2.6,2.5,3.0,0.9,0.8,0.6,1.7,2.7,0.8,0.6,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/united-kingdom,69214,59745,9470
http://landregistry.data.gov.uk/data/ukhpi/region/united-kingdom/month/2020-04,212160,349349,207179,167166,277955,213394,208589,173401,81.3,81.1,80.3,85.8,86.9,81.8,79.9,80.3,0.7,1.8,0.3,-1.6,3.4,1.0,1.0,-1.0,-0.2,-1.4,-2.4,1.7,-1.0,-0.8,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/united-kingdom,28361,25223,3138
http://landregistry.data.gov.uk/data/ukhpi/region/united-kingdom/month/2020-05,213258,348263,208456,169943,277526,213894,210384,173677,81.7,80.8,80.8,87.2,86.8,82.0,80.6,80.4,1.1,1.5,0.7,0.4,4.5,1.5,0.7,0.5,-0.3,0.6,1.7,-0.2,0.9,0.2,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/united-kingdom,36385,33562,2823
http://landregistry.data.gov.uk/data/ukhpi/region/united-kingdom/month/2020-06,216208,351174,212960,171258,267093,215620,213386,177612,82.9,81.5,82.5,87.9,83.5,82.6,81.7,82.2,2.0,2.1,2.2,-0.1,1.7,2.5,2.9,1.4,0.8,2.2,0.8,-3.8,1.4,2.3,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/united-kingdom,53441,47898,5543
http://landregistry.data.gov.uk/data/ukhpi/region/united-kingdom/month/2020-07,218030,355875,213869,173065,277036,214852,214872,178313,83.6,82.6,82.9,88.8,86.6,82.3,82.3,82.5,1.7,2.1,2.0,-0.2,0.5,2.5,2.1,0.8,1.3,0.4,1.1,3.7,0.7,0.4,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/united-kingdom,63988,57416,6573
http://landregistry.data.gov.uk/data/ukhpi/region/united-kingdom/month/2020-08,220163,360301,216149,172723,278091,216079,217785,180370,84.4,83.6,83.8,88.7,87.0,82.8,83.4,83.5,2.4,2.7,2.4,0.6,3.5,3.4,2.4,1.0,1.2,1.1,-0.2,0.4,1.4,1.2,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/united-kingdom,67751,60646,7106
http://landregistry.data.gov.uk/data/ukhpi/region/united-kingdom/month/2020-09,222511,364877,218729,175269,278661,218951,219118,182299,85.3,84.7,84.8,90.0,87.1,83.9,83.9,84.4,3.4,4.3,3.7,0.7,2.4,4.3,3.7,1.1,1.3,1.2,1.5,0.2,0.6,1.1,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/united-kingdom,78115,70423,7693
http://landregistry.data.gov.uk/data/ukhpi/region/united-kingdom/month/2020-10,224377,369094,221056,175007,276750,221557,221160,184359,86.0,85.7,85.7,89.8,86.5,84.9,84.7,85.3,4.6,5.6,5.1,1.9,1.7,4.5,5.5,0.8,1.2,1.1,-0.1,-0.7,0.9,1.1,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/united-kingdom,97910,89594,8316
