_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/vale-of-glamorgan/month/2020-01,224208,402764,217951.0,127836,311437.0,232167,177502,78.5,79.3,77.8,81.8,80.7,78.0,77.1,1.4,1.2,1.5,-0.3,1.1,2.1,1.8,0.6,0.7,0.5,0.5,1.5,0.5,0.7,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/vale-of-glamorgan,178.0,151.0,27.0,48.0,128.0
http://landregistry.data.gov.uk/data/ukhpi/region/vale-of-glamorgan/month/2020-02,226957,407430,220263.0,129450,317599.0,234624,179984,79.5,80.2,78.6,82.8,82.3,78.9,78.2,2.8,2.3,3.2,0.9,1.5,3.5,3.6,1.2,1.2,1.1,1.3,2.0,1.1,1.4,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/vale-of-glamorgan,153.0,139.0,14.0,46.0,104.0
http://landregistry.data.gov.uk/data/ukhpi/region/vale-of-glamorgan/month/2020-03,229992,413472,222620.0,131231,325665.0,237411,182328,80.5,81.4,79.4,84.0,84.4,79.8,79.2,5.4,4.8,5.5,3.8,4.7,5.7,6.2,1.3,1.5,1.1,1.4,2.5,1.2,1.3,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/vale-of-glamorgan,192.0,143.0,49.0,50.0,129.0
http://landregistry.data.gov.uk/data/ukhpi/region/vale-of-glamorgan/month/2020-04,219519,395582,212382.0,124433,311508.0,226403,174236,76.9,77.9,75.8,79.6,80.7,76.1,75.7,0.4,0.4,0.6,-1.5,-0.4,0.6,1.0,-4.6,-4.3,-4.6,-5.2,-4.3,-4.6,-4.4,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/vale-of-glamorgan,61.0,52.0,9.0,14.0,46.0
http://landregistry.data.gov.uk/data/ukhpi/region/vale-of-glamorgan/month/2020-05,221859,400144,214012.0,125911,318968.0,228749,175928,77.7,78.8,76.4,80.6,82.7,76.9,76.4,0.3,0.8,0.0,-1.1,1.9,0.4,0.5,1.1,1.2,0.8,1.2,2.4,1.0,1.0,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/vale-of-glamorgan,64.0,60.0,4.0,18.0,44.0
http://landregistry.data.gov.uk/data/ukhpi/region/vale-of-glamorgan/month/2020-06,222072,399426,214694.0,125657,316219.0,229424,176429,77.8,78.6,76.6,80.4,82.0,77.1,76.6,-0.9,-0.6,-1.2,-2.6,0.5,-0.8,-0.7,0.1,-0.2,0.3,-0.2,-0.9,0.3,0.3,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/vale-of-glamorgan,96.0,85.0,11.0,28.0,67.0
http://landregistry.data.gov.uk/data/ukhpi/region/vale-of-glamorgan/month/2020-07,232000,415999,224734.0,131899,327429.0,239963,184283,81.2,81.9,80.2,84.4,84.9,80.7,80.0,1.6,1.6,1.5,0.2,1.8,2.0,1.8,4.5,4.1,4.7,5.0,3.5,4.6,4.5,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/vale-of-glamorgan,124.0,103.0,21.0,31.0,89.0
http://landregistry.data.gov.uk/data/ukhpi/region/vale-of-glamorgan/month/2020-08,232192,416906,225395.0,131048,324587.0,240511,184538,81.3,82.1,80.4,83.8,84.1,80.8,80.2,0.9,0.8,1.0,-0.8,0.5,1.4,1.1,0.1,0.2,0.3,-0.6,-0.9,0.2,0.1,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/vale-of-glamorgan,132.0,105.0,27.0,33.0,95.0
http://landregistry.data.gov.uk/data/ukhpi/region/vale-of-glamorgan/month/2020-09,230332,415405,223375.0,129382,323340.0,238402,182826,80.6,81.8,79.7,82.8,83.8,80.1,79.4,1.7,2.0,1.9,-0.5,1.1,2.5,1.7,-0.8,-0.4,-0.9,-1.3,-0.4,-0.9,-0.9,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/vale-of-glamorgan,145.0,119.0,26.0,38.0,101.0
http://landregistry.data.gov.uk/data/ukhpi/region/vale-of-glamorgan/month/2020-10,232700,420538,226048.0,129846,324258.0,240985,184777,81.5,82.8,80.7,83.1,84.0,81.0,80.3,3.0,3.6,3.2,0.4,2.3,3.5,3.2,1.0,1.2,1.2,0.4,0.3,1.1,1.1,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/vale-of-glamorgan,212.0,193.0,19.0,54.0,154.0
http://landregistry.data.gov.uk/data/ukhpi/region/vale-of-glamorgan/month/2020-11,230858,416682,224803.0,128861,318245.0,238931,183567,80.8,82.0,80.2,82.4,82.5,80.3,79.7,3.6,4.1,3.9,1.0,2.5,3.8,4.1,-0.8,-0.9,-0.6,-0.8,-1.9,-0.9,-0.7,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/vale-of-glamorgan,253.0,231.0,22.0,67.0,181.0
http://landregistry.data.gov.uk/data/ukhpi/region/vale-of-glamorgan/month/2020-12,237922,428787,232058.0,132549,325603.0,246129,189618,83.3,84.4,82.8,84.8,84.4,82.7,82.4,6.8,7.3,7.0,4.2,6.1,6.6,7.6,3.1,2.9,3.2,2.9,2.3,3.0,3.3,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/vale-of-glamorgan,245.0,215.0,30.0,83.0,154.0
http://landregistry.data.gov.uk/data/ukhpi/region/vale-of-glamorgan/month/2021-01,237441,424648,232105.0,133417,321740.0,245693,189791,83.1,83.6,82.8,85.4,83.4,82.6,82.4,5.9,5.4,6.5,4.4,3.3,5.8,6.9,-0.2,-1.0,0.0,0.7,-1.2,-0.2,0.1,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/vale-of-glamorgan,175.0,155.0,20.0,58.0,117.0
http://landregistry.data.gov.uk/data/ukhpi/region/vale-of-glamorgan/month/2021-02,236933,420603,231679.0,134187,320486.0,244980,190085,83.0,82.8,82.7,85.8,83.1,82.3,82.6,4.4,3.2,5.2,3.7,0.9,4.4,5.6,-0.2,-1.0,-0.2,0.6,-0.4,-0.3,0.2,2021-02,1,2021-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/vale-of-glamorgan,238.0,206.0,32.0,56.0,182.0
