_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/wakefield/month/2020-01,142564,229700,137493.0,80130,193932.0,142181,111796,75.8,76.3,75.1,79.0,78.1,75.9,74.6,1.1,0.7,1.2,-0.5,1.0,1.6,1.3,-0.5,-0.2,-0.6,-0.9,0.3,-0.5,-0.6,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/wakefield,357.0,312.0,45.0,77.0,267.0
http://landregistry.data.gov.uk/data/ukhpi/region/wakefield/month/2020-02,142502,229806,137195.0,79715,195179.0,142077,111761,75.8,76.3,75.0,78.6,78.6,75.9,74.6,2.1,1.5,2.4,0.1,0.9,2.5,2.4,0.0,0.0,-0.2,-0.5,0.6,-0.1,0.0,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/wakefield,366.0,334.0,32.0,77.0,283.0
http://landregistry.data.gov.uk/data/ukhpi/region/wakefield/month/2020-03,143912,232643,138135.0,80174,199527.0,143464,112660,76.5,77.3,75.5,79.1,80.4,76.6,75.2,3.2,2.7,3.3,1.3,2.7,3.4,3.5,1.0,1.2,0.7,0.6,2.2,1.0,0.8,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/wakefield,352.0,292.0,60.0,80.0,263.0
http://landregistry.data.gov.uk/data/ukhpi/region/wakefield/month/2020-04,144762,234284,138875.0,80152,201180.0,144228,113383,77.0,77.8,75.9,79.1,81.0,77.0,75.6,3.8,3.6,3.9,1.6,3.2,4.0,3.9,0.6,0.7,0.5,0.0,0.8,0.5,0.6,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/wakefield,172.0,151.0,21.0,37.0,129.0
http://landregistry.data.gov.uk/data/ukhpi/region/wakefield/month/2020-05,146206,237092,139833.0,80874,205781.0,145709,114237,77.7,78.7,76.4,79.8,82.9,77.8,76.2,4.2,4.6,3.8,2.0,6.0,4.4,3.8,1.0,1.2,0.7,0.9,2.3,1.0,0.8,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/wakefield,249.0,232.0,17.0,65.0,180.0
http://landregistry.data.gov.uk/data/ukhpi/region/wakefield/month/2020-06,146035,236425,139989.0,80653,203633.0,145608,114246,77.6,78.5,76.5,79.6,82.0,77.8,76.2,3.2,3.6,2.8,0.5,4.9,3.4,2.7,-0.1,-0.3,0.1,-0.3,-1.0,-0.1,0.0,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/wakefield,340.0,291.0,49.0,89.0,244.0
http://landregistry.data.gov.uk/data/ukhpi/region/wakefield/month/2020-07,146636,236875,140866.0,81474,202631.0,146253,114838,78.0,78.7,77.0,80.4,81.6,78.1,76.6,3.5,3.7,3.3,1.2,4.0,3.8,3.0,0.4,0.2,0.6,1.0,-0.5,0.4,0.5,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/wakefield,339.0,293.0,46.0,76.0,259.0
http://landregistry.data.gov.uk/data/ukhpi/region/wakefield/month/2020-08,146081,235774,140614.0,80615,200139.0,145749,114554,77.7,78.3,76.8,79.5,80.6,77.8,76.4,1.9,2.1,1.9,-0.7,1.8,2.3,1.5,-0.4,-0.5,-0.2,-1.1,-1.2,-0.3,-0.2,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/wakefield,370.0,329.0,41.0,79.0,286.0
http://landregistry.data.gov.uk/data/ukhpi/region/wakefield/month/2020-09,145805,236033,140179.0,80045,200763.0,145271,114296,77.5,78.4,76.6,79.0,80.9,77.6,76.3,1.9,2.3,2.0,-1.1,1.5,2.3,1.3,-0.2,0.1,-0.3,-0.7,0.3,-0.3,-0.2,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/wakefield,401.0,355.0,46.0,89.0,298.0
http://landregistry.data.gov.uk/data/ukhpi/region/wakefield/month/2020-10,147667,239509,142235.0,80576,201747.0,146921,115857,78.5,79.5,77.7,79.5,81.3,78.5,77.3,2.6,3.4,2.8,-0.8,1.9,2.6,2.3,1.3,1.5,1.5,0.7,0.5,1.1,1.4,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/wakefield,470.0,415.0,55.0,122.0,334.0
http://landregistry.data.gov.uk/data/ukhpi/region/wakefield/month/2020-11,150156,243574,145030.0,82199,202798.0,149071,118130,79.8,80.9,79.2,81.1,81.7,79.6,78.8,4.9,5.6,5.1,1.6,3.7,4.5,5.0,1.7,1.7,2.0,2.0,0.5,1.5,2.0,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/wakefield,484.0,450.0,34.0,107.0,370.0
http://landregistry.data.gov.uk/data/ukhpi/region/wakefield/month/2020-12,153561,248845,148584.0,83989,205837.0,152329,121099,81.6,82.6,81.2,82.9,82.9,81.3,80.8,7.2,8.1,7.4,3.9,6.4,6.6,7.7,2.3,2.2,2.5,2.2,1.5,2.2,2.5,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/wakefield,492.0,447.0,45.0,118.0,353.0
http://landregistry.data.gov.uk/data/ukhpi/region/wakefield/month/2021-01,155200,250018,150481.0,85808,206242.0,154076,122842,82.5,83.0,82.2,84.7,83.1,82.3,82.0,8.9,8.8,9.4,7.1,6.3,8.4,9.9,1.1,0.5,1.3,2.2,0.2,1.1,1.4,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/wakefield,424.0,347.0,77.0,94.0,330.0
http://landregistry.data.gov.uk/data/ukhpi/region/wakefield/month/2021-02,156993,251421,152286.0,87715,208474.0,155965,124719,83.5,83.5,83.2,86.5,84.0,83.3,83.2,10.2,9.4,11.0,10.0,6.8,9.8,11.6,1.2,0.6,1.2,2.2,1.1,1.2,1.5,2021-02,1,2021-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/wakefield,514.0,444.0,70.0,115.0,399.0
http://landregistry.data.gov.uk/data/ukhpi/region/wakefield/month/2021-03,159228,253435,154479.0,90188,211699.0,158277,126940,84.7,84.2,84.4,89.0,85.3,84.5,84.7,10.6,8.9,11.8,12.5,6.1,10.3,12.7,1.4,0.8,1.4,2.8,1.5,1.5,1.8,2021-03,1,2021-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/wakefield,648.0,545.0,103.0,147.0,499.0
http://landregistry.data.gov.uk/data/ukhpi/region/wakefield/month/2021-04,160444,255395,155386.0,90922,215588.0,159378,128018,85.3,84.8,84.9,89.7,86.8,85.1,85.4,10.8,9.0,11.9,13.4,7.2,10.5,12.9,0.8,0.8,0.6,0.8,1.8,0.7,0.8,2021-04,1,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/wakefield,572.0,465.0,107.0,125.0,446.0
http://landregistry.data.gov.uk/data/ukhpi/region/wakefield/month/2021-05,162206,258360,157083.0,91759,218035.0,161055,129475,86.2,85.8,85.8,90.5,87.8,86.0,86.4,10.9,9.0,12.3,13.5,6.0,10.5,13.3,1.1,1.2,1.1,0.9,1.1,1.1,1.1,2021-05,1,2021-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/wakefield,515.0,431.0,84.0,112.0,402.0
http://landregistry.data.gov.uk/data/ukhpi/region/wakefield/month/2021-06,165136,262221,160321.0,93348,218709.0,163800,132427,87.8,87.1,87.6,92.1,88.1,87.5,88.3,13.1,10.9,14.5,15.7,7.4,12.5,15.9,1.8,1.5,2.1,1.7,0.3,1.7,2.3,2021-06,1,2021-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/wakefield,800.0,659.0,141.0,193.0,606.0
http://landregistry.data.gov.uk/data/ukhpi/region/wakefield/month/2021-07,166145,263669,161204.0,93706,220869.0,165000,133117,88.3,87.6,88.1,92.4,89.0,88.1,88.8,13.3,11.3,14.4,15.0,9.0,12.8,15.9,0.6,0.6,0.6,0.4,1.0,0.7,0.5,2021-07,1,2021-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/wakefield,468.0,413.0,55.0,105.0,362.0
http://landregistry.data.gov.uk/data/ukhpi/region/wakefield/month/2021-08,167551,266193,162761.0,93837,221160.0,166562,134061,89.1,88.4,88.9,92.6,89.1,88.9,89.4,14.7,12.9,15.7,16.4,10.5,14.3,17.0,0.8,1.0,1.0,0.1,0.1,0.9,0.7,2021-08,1,2021-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/wakefield,566.0,501.0,65.0,113.0,452.0
http://landregistry.data.gov.uk/data/ukhpi/region/wakefield/month/2021-09,168200,267611,163312.0,93696,222648.0,167432,134231,89.4,88.9,89.2,92.4,89.7,89.4,89.6,15.4,13.4,16.5,17.1,10.9,15.3,17.4,0.4,0.5,0.3,-0.2,0.7,0.5,0.1,2021-09,1,2021-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/wakefield,840.0,731.0,109.0,212.0,624.0
http://landregistry.data.gov.uk/data/ukhpi/region/wakefield/month/2021-10,169895,272266,165424.0,94079,221009.0,168769,135220,90.3,90.4,90.4,92.8,89.0,90.1,90.2,15.1,13.7,16.3,16.8,9.5,14.9,16.7,1.0,1.7,1.3,0.4,-0.7,0.8,0.7,2021-10,1,2021-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/wakefield,436.0,340.0,96.0,81.0,353.0
http://landregistry.data.gov.uk/data/ukhpi/region/wakefield/month/2021-11,170516,273917,165923.0,94261,222679.0,169320,135521,90.7,91.0,90.7,93.0,89.7,90.4,90.4,13.6,12.5,14.4,14.7,9.8,13.6,14.7,0.4,0.6,0.3,0.2,0.8,0.3,0.2,2021-11,1,2021-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/wakefield,476.0,393.0,83.0,121.0,352.0
http://landregistry.data.gov.uk/data/ukhpi/region/wakefield/month/2021-12,169121,273022,164683.0,92923,219915.0,167728,134152,89.9,90.7,90.0,91.7,88.6,89.6,89.5,10.1,9.7,10.8,10.6,6.8,10.1,10.8,-0.8,-0.3,-0.7,-1.4,-1.2,-0.9,-1.0,2021-12,1,2021-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/wakefield,505.0,377.0,128.0,112.0,387.0
http://landregistry.data.gov.uk/data/ukhpi/region/wakefield/month/2022-01,171636,275781,167164.0,94037,222926.0,170539,136438,91.3,91.6,91.3,92.8,89.8,91.1,91.0,10.6,10.3,11.1,9.6,8.1,10.7,11.1,1.5,1.0,1.5,1.2,1.4,1.7,1.7,2022-01,1,2022-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/wakefield,397.0,360.0,37.0,87.0,308.0
http://landregistry.data.gov.uk/data/ukhpi/region/wakefield/month/2022-02,173319,277975,168852.0,95305,226218.0,172276,137867,92.2,92.3,92.3,94.0,91.1,92.0,92.0,10.4,10.6,10.9,8.7,8.5,10.5,10.5,1.0,0.8,1.0,1.3,1.5,1.0,1.0,2022-02,1,2022-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/wakefield,463.0,417.0,46.0,104.0,359.0
http://landregistry.data.gov.uk/data/ukhpi/region/wakefield/month/2022-03,175332,281339,170585.0,96231,231924.0,174570,139083,93.2,93.4,93.2,94.9,93.4,93.2,92.8,10.1,11.0,10.4,6.7,9.6,10.3,9.6,1.2,1.2,1.0,1.0,2.5,1.3,0.9,2022-03,1,2022-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/wakefield,474.0,406.0,68.0,107.0,365.0
http://landregistry.data.gov.uk/data/ukhpi/region/wakefield/month/2022-04,174927,280624,170165.0,95973,231980.0,173973,139007,93.0,93.2,93.0,94.7,93.4,92.9,92.7,9.0,9.9,9.5,5.6,7.6,9.2,8.6,-0.2,-0.3,-0.2,-0.3,0.0,-0.3,-0.1,2022-04,1,2022-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/wakefield,533.0,440.0,93.0,106.0,426.0
http://landregistry.data.gov.uk/data/ukhpi/region/wakefield/month/2022-05,176537,282865,171825.0,96289,231939.0,175670,140464,93.9,93.9,93.9,95.0,93.4,93.8,93.7,8.8,9.5,9.4,4.9,6.4,9.1,8.5,0.9,0.8,1.0,0.3,0.0,1.0,1.0,2022-05,1,2022-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/wakefield,492.0,411.0,81.0,120.0,369.0
http://landregistry.data.gov.uk/data/ukhpi/region/wakefield/month/2022-06,179389,286740,174688.0,98084,233691.0,178405,143124,95.4,95.2,95.5,96.8,94.1,95.3,95.5,8.6,9.4,9.0,5.1,6.8,8.9,8.1,1.6,1.4,1.7,1.9,0.8,1.6,1.9,2022-06,1,2022-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/wakefield,534.0,401.0,133.0,122.0,410.0
http://landregistry.data.gov.uk/data/ukhpi/region/wakefield/month/2022-07,182226,290573,177469.0,99339,236974.0,181487,145506,96.9,96.5,97.0,98.0,95.5,96.9,97.1,9.7,10.2,10.1,6.0,7.3,10.0,9.3,1.6,1.3,1.6,1.3,1.4,1.7,1.7,2022-07,1,2022-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/wakefield,510.0,434.0,76.0,112.0,393.0
