_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_sa,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_sa,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/wales/month/2020-01,154532,247660,151971.0,105430,245061.0,155006,152759,118997,76.6,77.4,75.9,82.1,82.5,76.8,76.4,74.8,2.9,2.3,2.6,1.2,6.9,3.7,3.2,-1.9,-1.7,-2.5,-1.1,6.1,-1.4,-2.8,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/wales,3171.0,3039.0,132.0,1011.0,2117.0
http://landregistry.data.gov.uk/data/ukhpi/region/wales/month/2020-02,157134,251546,155242.0,104319,235904.0,157131,154599,122408,77.8,78.6,77.5,81.2,79.4,77.8,77.3,77.0,4.4,4.1,4.8,0.0,-0.5,4.9,5.1,1.7,1.6,2.2,-1.1,-3.7,1.2,2.9,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/wales,3168.0,2985.0,183.0,960.0,2129.0
http://landregistry.data.gov.uk/data/ukhpi/region/wales/month/2020-03,158163,253049,156044.0,107225,241381.0,157801,155635,122657,78.4,79.1,77.9,83.5,81.3,78.2,77.8,77.1,4.5,4.4,4.6,2.4,3.7,4.4,5.0,0.7,0.6,0.5,2.8,2.3,0.7,0.2,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/wales,3340.0,3061.0,279.0,1028.0,2197.0
http://landregistry.data.gov.uk/data/ukhpi/region/wales/month/2020-04,151534,242485,149094.0,101820,238948.0,151157,149243,117649,75.1,75.8,74.5,79.3,80.5,74.9,74.6,74.0,-0.9,-1.0,-1.0,-2.4,1.5,-0.6,-0.6,-4.2,-4.2,-4.5,-5.0,-1.0,-4.1,-4.1,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/wales,1381.0,1311.0,70.0,397.0,935.0
http://landregistry.data.gov.uk/data/ukhpi/region/wales/month/2020-05,154054,244921,151561.0,104235,243183.0,153355,152173,119792,76.3,76.6,75.7,81.1,81.9,76.0,76.1,75.3,0.7,0.2,0.4,-0.2,4.0,1.2,0.8,1.7,1.0,1.7,2.4,1.8,2.0,1.8,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/wales,1576.0,1514.0,62.0,471.0,1074.0
http://landregistry.data.gov.uk/data/ukhpi/region/wales/month/2020-06,158488,251463,156732.0,105797,235191.0,157082,156443,123925,78.5,78.6,78.3,82.4,79.2,77.8,78.2,77.9,2.7,2.5,2.9,-0.2,1.8,3.2,3.3,2.9,2.7,3.4,1.5,-3.3,2.8,3.5,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/wales,2013.0,1872.0,141.0,596.0,1376.0
http://landregistry.data.gov.uk/data/ukhpi/region/wales/month/2020-07,159465,255075,157226.0,107411,245268.0,157367,157162,123705,79.0,79.7,78.5,83.6,82.6,78.0,78.6,77.8,2.4,2.7,2.6,0.6,0.9,2.8,2.2,0.6,1.4,0.3,1.5,4.3,0.5,-0.2,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/wales,2391.0,2262.0,129.0,825.0,1512.0
http://landregistry.data.gov.uk/data/ukhpi/region/wales/month/2020-08,163805,262633,161680.0,107734,248702.0,159045,161446,127506,81.2,82.1,80.7,83.9,83.8,78.8,80.7,80.2,2.8,2.9,2.8,-0.1,3.9,3.6,2.8,2.7,3.0,2.8,0.3,1.4,2.7,3.1,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/wales,2525.0,2389.0,136.0,858.0,1608.0
http://landregistry.data.gov.uk/data/ukhpi/region/wales/month/2020-09,160994,258680,159068.0,106285,241463.0,159127,158525,125074,79.8,80.9,79.4,82.7,81.3,78.8,79.2,78.6,3.4,3.6,3.6,0.4,1.9,4.0,3.5,-1.7,-1.5,-1.6,-1.3,-2.9,-1.8,-1.9,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/wales,2859.0,2728.0,131.0,877.0,1917.0
http://landregistry.data.gov.uk/data/ukhpi/region/wales/month/2020-10,166597,268306,164767.0,108983,246948.0,163735,163947,129502,82.5,83.9,82.3,84.8,83.2,81.1,82.0,81.4,5.8,6.7,6.1,1.6,2.9,5.7,6.0,3.5,3.7,3.6,2.5,2.3,3.4,3.5,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/wales,4200.0,4061.0,139.0,1389.0,2719.0
http://landregistry.data.gov.uk/data/ukhpi/region/wales/month/2020-11,168781,271566,167178.0,110255,245745.0,167011,165675,131653,83.6,84.9,83.5,85.8,82.8,82.7,82.8,82.8,5.8,6.4,5.9,2.7,4.8,5.2,6.4,1.3,1.2,1.5,1.2,-0.5,1.1,1.7,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/wales,4236.0,4083.0,153.0,1390.0,2738.0
http://landregistry.data.gov.uk/data/ukhpi/region/wales/month/2020-12,171640,276199,170000.0,111084,250069.0,169969,168234,134333,85.0,86.4,84.9,86.5,84.2,84.2,84.1,84.5,8.9,9.7,9.1,4.2,8.2,8.6,9.7,1.7,1.7,1.7,0.8,1.8,1.5,2.0,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/wales,4929.0,4691.0,238.0,1676.0,3109.0
