_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/walsall/month/2020-01,161142,268909,160404.0,101585,226874.0,168950,138458,80.8,81.1,80.5,85.1,87.5,80.3,79.4,2.5,2.1,2.5,0.8,2.4,2.9,2.9,0.1,0.2,0.1,-0.3,1.0,0.1,0.2,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/walsall,287.0,268.0,19.0,93.0,189.0
http://landregistry.data.gov.uk/data/ukhpi/region/walsall/month/2020-02,159004,265128,158185.0,99983,226619.0,166671,136854,79.7,79.9,79.4,83.8,87.4,79.3,78.5,0.5,0.0,0.5,-1.7,-0.5,0.8,1.1,-1.3,-1.4,-1.4,-1.6,-0.1,-1.3,-1.2,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/walsall,227.0,223.0,4.0,58.0,166.0
http://landregistry.data.gov.uk/data/ukhpi/region/walsall/month/2020-03,158042,263566,157116.0,99182,228696.0,165705,136050,79.2,79.5,78.8,83.1,88.2,78.8,78.1,1.6,1.1,1.6,-0.3,1.5,1.9,2.2,-0.6,-0.6,-0.7,-0.8,0.9,-0.6,-0.6,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/walsall,218.0,207.0,11.0,58.0,154.0
http://landregistry.data.gov.uk/data/ukhpi/region/walsall/month/2020-04,156537,261409,155594.0,97663,227356.0,164105,134917,78.5,78.8,78.1,81.8,87.6,78.0,77.4,-0.1,-0.2,-0.1,-2.4,-0.3,0.1,0.4,-1.0,-0.8,-1.0,-1.5,-0.6,-1.0,-0.8,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/walsall,91.0,78.0,13.0,26.0,64.0
http://landregistry.data.gov.uk/data/ukhpi/region/walsall/month/2020-05,157748,263597,156689.0,98463,232459.0,165528,135726,79.1,79.5,78.6,82.5,89.6,78.7,77.9,1.3,1.5,1.2,-0.6,3.7,1.6,1.5,0.8,0.8,0.7,0.8,2.2,0.9,0.6,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/walsall,129.0,122.0,7.0,26.0,101.0
http://landregistry.data.gov.uk/data/ukhpi/region/walsall/month/2020-06,162086,270736,161086.0,100830,236151.0,170183,139529,81.3,81.6,80.8,84.5,91.0,80.9,80.1,4.0,4.3,3.9,1.5,6.4,4.4,4.1,2.7,2.7,2.8,2.4,1.6,2.8,2.8,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/walsall,194.0,180.0,14.0,50.0,142.0
http://landregistry.data.gov.uk/data/ukhpi/region/walsall/month/2020-07,166116,276788,165178.0,103745,239337.0,174387,143064,83.3,83.5,82.9,86.9,92.3,82.9,82.1,6.2,6.3,6.1,3.8,7.2,6.6,6.3,2.5,2.2,2.5,2.9,1.3,2.5,2.5,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/walsall,221.0,213.0,8.0,48.0,172.0
http://landregistry.data.gov.uk/data/ukhpi/region/walsall/month/2020-08,166412,277287,165560.0,103169,237018.0,174685,143660,83.4,83.6,83.1,86.5,91.4,83.1,82.4,6.6,6.6,6.5,3.7,6.7,7.0,6.8,0.2,0.2,0.2,-0.6,-1.0,0.2,0.4,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/walsall,224.0,224.0,,56.0,162.0
http://landregistry.data.gov.uk/data/ukhpi/region/walsall/month/2020-09,165047,275707,164181.0,101863,235740.0,173131,142594,82.8,83.1,82.4,85.4,90.9,82.3,81.8,4.0,4.3,4.0,0.7,3.5,4.5,4.1,-0.8,-0.6,-0.8,-1.3,-0.5,-0.9,-0.7,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/walsall,207.0,195.0,12.0,56.0,149.0
http://landregistry.data.gov.uk/data/ukhpi/region/walsall/month/2020-10,166607,279459,165806.0,102236,235751.0,174639,143975,83.5,84.3,83.2,85.7,90.9,83.1,82.6,4.7,5.5,4.7,1.0,3.7,5.0,4.9,0.9,1.4,1.0,0.4,0.0,0.9,1.0,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/walsall,312.0,305.0,7.0,83.0,226.0
http://landregistry.data.gov.uk/data/ukhpi/region/walsall/month/2020-11,168068,282420,167362.0,103265,234770.0,175839,145374,84.3,85.2,84.0,86.5,90.5,83.6,83.4,3.4,4.3,3.4,0.0,2.2,3.3,4.0,0.9,1.1,0.9,1.0,-0.4,0.7,1.0,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/walsall,269.0,268.0,1.0,60.0,204.0
http://landregistry.data.gov.uk/data/ukhpi/region/walsall/month/2020-12,171836,288682,171176.0,105472,238188.0,179611,148886,86.2,87.0,85.9,88.4,91.8,85.4,85.4,6.8,7.6,6.8,3.6,6.0,6.4,7.7,2.2,2.2,2.3,2.1,1.5,2.1,2.4,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/walsall,294.0,289.0,5.0,63.0,229.0
http://landregistry.data.gov.uk/data/ukhpi/region/walsall/month/2021-01,171163,285558,170592.0,105842,234743.0,178967,148531,85.8,86.1,85.6,88.7,90.5,85.1,85.2,6.2,6.2,6.4,4.2,3.5,5.9,7.3,-0.4,-1.1,-0.3,0.4,-1.4,-0.4,-0.2,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/walsall,238.0,221.0,17.0,49.0,189.0
http://landregistry.data.gov.uk/data/ukhpi/region/walsall/month/2021-02,173494,287008,172893.0,108297,238331.0,181400,150835,87.0,86.5,86.7,90.8,91.9,86.3,86.5,9.1,8.3,9.3,8.3,5.2,8.8,10.2,1.4,0.5,1.3,2.3,1.5,1.4,1.6,2021-02,1,2021-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/walsall,299.0,287.0,12.0,68.0,231.0
http://landregistry.data.gov.uk/data/ukhpi/region/walsall/month/2021-03,174989,286863,174343.0,110579,241235.0,182821,152438,87.7,86.5,87.5,92.7,93.0,86.9,87.5,10.7,8.8,11.0,11.5,5.5,10.3,12.0,0.9,-0.1,0.8,2.1,1.2,0.8,1.1,2021-03,1,2021-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/walsall,400.0,389.0,11.0,85.0,315.0
http://landregistry.data.gov.uk/data/ukhpi/region/walsall/month/2021-04,176129,288405,175358.0,111674,245922.0,183778,153553,88.3,87.0,88.0,93.6,94.8,87.4,88.1,12.5,10.3,12.7,14.3,8.2,12.0,13.8,0.7,0.5,0.6,1.0,1.9,0.5,0.7,2021-04,1,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/walsall,313.0,295.0,18.0,76.0,236.0
http://landregistry.data.gov.uk/data/ukhpi/region/walsall/month/2021-05,175975,288670,175220.0,111402,245301.0,183571,153420,88.2,87.0,87.9,93.4,94.6,87.3,88.0,11.6,9.5,11.8,13.1,5.5,10.9,13.0,-0.1,0.1,-0.1,-0.2,-0.3,-0.1,-0.1,2021-05,1,2021-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/walsall,269.0,254.0,15.0,63.0,205.0
http://landregistry.data.gov.uk/data/ukhpi/region/walsall/month/2021-06,179831,294436,179222.0,113326,246591.0,187404,157523,90.2,88.8,89.9,95.0,95.1,89.1,90.4,10.9,8.8,11.3,12.4,4.4,10.1,12.9,2.2,2.0,2.3,1.7,0.5,2.1,2.7,2021-06,1,2021-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/walsall,443.0,434.0,9.0,120.0,322.0
http://landregistry.data.gov.uk/data/ukhpi/region/walsall/month/2021-07,181509,297633,180830.0,114482,250577.0,189427,158478,91.0,89.7,90.7,95.9,96.6,90.1,90.9,9.3,7.5,9.5,10.3,4.7,8.6,10.8,0.9,1.1,0.9,1.0,1.6,1.1,0.6,2021-07,1,2021-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/walsall,241.0,231.0,10.0,54.0,187.0
http://landregistry.data.gov.uk/data/ukhpi/region/walsall/month/2021-08,182232,299738,181673.0,114134,248515.0,190592,158890,91.4,90.4,91.2,95.6,95.8,90.6,91.2,9.5,8.1,9.7,10.6,4.9,9.1,10.6,0.4,0.7,0.5,-0.3,-0.8,0.6,0.3,2021-08,1,2021-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/walsall,309.0,298.0,11.0,71.0,236.0
http://landregistry.data.gov.uk/data/ukhpi/region/walsall/month/2021-09,181052,298709,180499.0,113018,246838.0,189795,157313,90.8,90.1,90.6,94.7,95.2,90.3,90.3,9.7,8.3,9.9,11.0,4.7,9.6,10.3,-0.6,-0.3,-0.6,-1.0,-0.7,-0.4,-1.0,2021-09,1,2021-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/walsall,466.0,453.0,13.0,101.0,362.0
http://landregistry.data.gov.uk/data/ukhpi/region/walsall/month/2021-10,181580,302382,181304.0,112061,240425.0,190429,157646,91.1,91.2,91.0,93.9,92.7,90.6,90.5,9.0,8.2,9.3,9.6,2.0,9.0,9.5,0.3,1.2,0.4,-0.8,-2.6,0.3,0.2,2021-10,1,2021-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/walsall,211.0,206.0,5.0,37.0,171.0
http://landregistry.data.gov.uk/data/ukhpi/region/walsall/month/2021-11,180472,301165,180178.0,111267,239442.0,189251,156577,90.5,90.8,90.4,93.2,92.3,90.0,89.8,7.4,6.6,7.7,7.7,2.0,7.6,7.7,-0.6,-0.4,-0.6,-0.7,-0.4,-0.6,-0.7,2021-11,1,2021-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/walsall,232.0,223.0,9.0,52.0,180.0
http://landregistry.data.gov.uk/data/ukhpi/region/walsall/month/2021-12,179842,302174,179647.0,110150,236232.0,188705,155728,90.2,91.1,90.1,92.3,91.1,89.7,89.4,4.7,4.7,4.9,4.4,-0.8,5.1,4.6,-0.3,0.3,-0.3,-1.0,-1.3,-0.3,-0.5,2021-12,1,2021-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/walsall,276.0,269.0,7.0,71.0,204.0
http://landregistry.data.gov.uk/data/ukhpi/region/walsall/month/2022-01,183013,305874,182857.0,111664,239390.0,192307,158968,91.8,92.2,91.7,93.6,92.3,91.5,91.2,6.9,7.1,7.2,5.5,2.0,7.5,7.0,1.8,1.2,1.8,1.4,1.3,1.9,2.1,2022-01,1,2022-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/walsall,213.0,206.0,7.0,49.0,164.0
http://landregistry.data.gov.uk/data/ukhpi/region/walsall/month/2022-02,186348,310918,186252.0,113794,244646.0,195887,162018,93.4,93.7,93.4,95.4,94.3,93.2,93.0,7.4,8.3,7.7,5.1,2.6,8.0,7.4,1.8,1.6,1.9,1.9,2.2,1.9,1.9,2022-02,1,2022-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/walsall,232.0,223.0,9.0,46.0,185.0
http://landregistry.data.gov.uk/data/ukhpi/region/walsall/month/2022-03,187729,313048,187593.0,114473,249324.0,197684,163020,94.1,94.4,94.1,95.9,96.1,94.0,93.5,7.3,9.1,7.6,3.5,3.4,8.1,6.9,0.7,0.7,0.7,0.6,1.9,0.9,0.6,2022-03,1,2022-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/walsall,311.0,308.0,3.0,60.0,251.0
http://landregistry.data.gov.uk/data/ukhpi/region/walsall/month/2022-04,189067,315149,188928.0,115242,251455.0,198875,164505,94.8,95.0,94.8,96.6,96.9,94.6,94.4,7.3,9.3,7.7,3.2,2.2,8.2,7.1,0.7,0.7,0.7,0.7,0.9,0.6,0.9,2022-04,1,2022-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/walsall,223.0,203.0,20.0,55.0,168.0
http://landregistry.data.gov.uk/data/ukhpi/region/walsall/month/2022-05,191388,318647,191263.0,116055,251022.0,201453,166792,96.0,96.1,96.0,97.3,96.8,95.8,95.7,8.8,10.4,9.2,4.2,2.3,9.7,8.7,1.2,1.1,1.2,0.7,-0.2,1.3,1.4,2022-05,1,2022-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/walsall,272.0,259.0,13.0,74.0,198.0
http://landregistry.data.gov.uk/data/ukhpi/region/walsall/month/2022-06,192900,320411,192785.0,117071,250690.0,202882,168552,96.7,96.6,96.7,98.1,96.6,96.5,96.7,7.3,8.8,7.6,3.3,1.7,8.3,7.0,0.8,0.6,0.8,0.9,-0.1,0.7,1.1,2022-06,1,2022-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/walsall,246.0,219.0,27.0,56.0,187.0
http://landregistry.data.gov.uk/data/ukhpi/region/walsall/month/2022-07,194831,322726,194722.0,117792,251854.0,205229,170449,97.7,97.3,97.7,98.7,97.1,97.6,97.8,7.3,8.4,7.7,2.9,0.5,8.3,7.6,1.0,0.7,1.0,0.6,0.5,1.2,1.1,2022-07,1,2022-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/walsall,275.0,251.0,24.0,54.0,212.0
http://landregistry.data.gov.uk/data/ukhpi/region/walsall/month/2022-08,197061,326098,196955.0,118702,253859.0,207522,172799,98.8,98.3,98.8,99.5,97.9,98.7,99.1,8.1,8.8,8.4,4.0,2.2,8.9,8.8,1.1,1.0,1.1,0.8,0.8,1.1,1.4,2022-08,1,2022-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/walsall,286.0,272.0,14.0,53.0,231.0
http://landregistry.data.gov.uk/data/ukhpi/region/walsall/month/2022-09,199511,330264,199412.0,119523,255215.0,210244,175044,100.0,99.6,100.1,100.2,98.4,100.0,100.4,10.2,10.6,10.5,5.8,3.4,10.8,11.3,1.2,1.3,1.2,0.7,0.5,1.3,1.3,2022-09,1,2022-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/walsall,291.0,275.0,16.0,65.0,223.0
http://landregistry.data.gov.uk/data/ukhpi/region/walsall/month/2022-10,203114,337086,203017.0,121584,258774.0,213884,178084,101.8,101.6,101.9,101.9,99.8,101.7,102.2,11.9,11.5,12.0,8.5,7.6,12.3,13.0,1.8,2.1,1.8,1.7,1.4,1.7,1.7,2022-10,1,2022-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/walsall,255.0,245.0,10.0,51.0,199.0
http://landregistry.data.gov.uk/data/ukhpi/region/walsall/month/2022-11,205244,341214,205141.0,122736,262616.0,216120,179780,102.9,102.9,102.9,102.9,101.2,102.8,103.2,13.7,13.3,13.9,10.3,9.7,14.2,14.8,1.0,1.2,1.0,0.9,1.5,1.0,1.0,2022-11,1,2022-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/walsall,272.0,265.0,7.0,64.0,207.0
http://landregistry.data.gov.uk/data/ukhpi/region/walsall/month/2022-12,204350,339522,204246.0,122442,261801.0,215180,178965,102.5,102.4,102.5,102.6,100.9,102.3,102.7,13.6,12.4,13.7,11.2,10.8,14.0,14.9,-0.4,-0.5,-0.4,-0.2,-0.3,-0.4,-0.5,2022-12,1,2022-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/walsall,277.0,243.0,34.0,51.0,223.0
http://landregistry.data.gov.uk/data/ukhpi/region/walsall/month/2023-01,199427,331666,199307.0,119332,259408.0,210270,174286,100.0,100.0,100.0,100.0,100.0,100.0,100.0,9.0,8.4,9.0,6.9,8.4,9.3,9.6,-2.4,-2.3,-2.4,-2.5,-0.9,-2.3,-2.6,2023-01,1,2023-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/walsall,175.0,173.0,2.0,49.0,122.0
http://landregistry.data.gov.uk/data/ukhpi/region/walsall/month/2023-02,198971,331882,198838.0,119211,262839.0,209783,173431,99.8,100.1,99.8,99.9,101.3,99.8,99.5,6.8,6.7,6.8,4.8,7.4,7.1,7.0,-0.2,0.1,-0.2,-0.1,1.3,-0.2,-0.5,2023-02,1,2023-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/walsall,196.0,196.0,,44.0,148.0
http://landregistry.data.gov.uk/data/ukhpi/region/walsall/month/2023-03,198544,332915,198388.0,118787,269143.0,209595,172193,99.6,100.4,99.5,99.5,103.8,99.7,98.8,5.8,6.3,5.8,3.8,7.9,6.0,5.6,-0.2,0.3,-0.2,-0.4,2.4,-0.1,-0.7,2023-03,1,2023-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/walsall,241.0,237.0,4.0,61.0,177.0
http://landregistry.data.gov.uk/data/ukhpi/region/walsall/month/2023-04,199555,335220,199392.0,119484,273655.0,210674,172843,100.1,101.1,100.0,100.1,105.5,100.2,99.2,5.5,6.4,5.5,3.7,8.8,5.9,5.1,0.5,0.7,0.5,0.6,1.7,0.5,0.4,2023-04,1,2023-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/walsall,173.0,168.0,5.0,46.0,122.0
http://landregistry.data.gov.uk/data/ukhpi/region/walsall/month/2023-05,198643,333223,198479.0,119082,273029.0,209774,172039,99.6,100.5,99.6,99.8,105.3,99.8,98.7,3.8,4.6,3.8,2.6,8.8,4.1,3.1,-0.5,-0.6,-0.5,-0.3,-0.2,-0.4,-0.5,2023-05,1,2023-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/walsall,195.0,188.0,7.0,57.0,132.0
http://landregistry.data.gov.uk/data/ukhpi/region/walsall/month/2023-06,200273,334867,200116.0,119908,271104.0,211235,174087,100.4,101.0,100.4,100.5,104.5,100.5,99.9,3.8,4.5,3.8,2.4,8.1,4.1,3.3,0.8,0.5,0.8,0.7,-0.7,0.7,1.2,2023-06,1,2023-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/walsall,238.0,211.0,27.0,63.0,156.0
