_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/waltham-forest/month/2020-01,458448,870506,455489.0,365299,372431.0,661819,510240,89.6,87.3,88.4,93.8,94.4,87.1,86.8,2.0,2.7,2.1,0.4,-1.6,2.9,3.3,0.9,1.0,0.9,0.7,1.6,0.9,1.1,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/waltham-forest,201.0,195.0,6.0,25.0,170.0
http://landregistry.data.gov.uk/data/ukhpi/region/waltham-forest/month/2020-02,450574,857885,448309.0,357958,370606.0,650964,503014,88.1,86.0,87.1,91.9,93.9,85.7,85.5,0.0,0.9,0.3,-2.1,-4.4,1.0,1.6,-1.7,-1.4,-1.6,-2.0,-0.5,-1.6,-1.4,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/waltham-forest,178.0,176.0,2.0,19.0,155.0
http://landregistry.data.gov.uk/data/ukhpi/region/waltham-forest/month/2020-03,450276,859291,448095.0,357290,378149.0,651819,503016,88.0,86.2,87.0,91.8,95.8,85.8,85.5,1.6,2.3,1.9,-0.3,-0.6,2.6,3.1,-0.1,0.2,0.0,-0.2,2.0,0.1,0.0,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/waltham-forest,201.0,163.0,38.0,25.0,165.0
http://landregistry.data.gov.uk/data/ukhpi/region/waltham-forest/month/2020-04,455350,872417,453113.0,360413,382574.0,659391,510016,89.0,87.5,88.0,92.6,97.0,86.8,86.7,2.0,3.6,2.4,0.0,-0.7,3.3,3.6,1.1,1.5,1.1,0.9,1.2,1.2,1.4,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/waltham-forest,95.0,79.0,16.0,13.0,79.0
http://landregistry.data.gov.uk/data/ukhpi/region/waltham-forest/month/2020-05,461621,883050,458296.0,366547,393441.0,668640,515198,90.2,88.5,89.0,94.1,99.7,88.0,87.6,5.0,6.8,5.1,3.6,5.5,6.3,6.0,1.4,1.2,1.1,1.7,2.8,1.4,1.0,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/waltham-forest,84.0,80.0,4.0,12.0,71.0
http://landregistry.data.gov.uk/data/ukhpi/region/waltham-forest/month/2020-06,464619,888436,462076.0,367924,391813.0,674763,519798,90.8,89.1,89.7,94.5,99.3,88.8,88.4,6.8,8.6,7.0,5.1,6.6,8.4,8.0,0.6,0.6,0.8,0.4,-0.4,0.9,0.9,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/waltham-forest,156.0,133.0,23.0,7.0,139.0
http://landregistry.data.gov.uk/data/ukhpi/region/waltham-forest/month/2020-07,459940,876651,458054.0,364236,384507.0,667686,514618,89.9,87.9,88.9,93.5,97.5,87.9,87.5,6.4,8.0,6.8,4.6,4.6,8.0,7.7,-1.0,-1.3,-0.9,-1.0,-1.9,-1.0,-1.0,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/waltham-forest,184.0,171.0,13.0,24.0,156.0
http://landregistry.data.gov.uk/data/ukhpi/region/waltham-forest/month/2020-08,464221,885943,463349.0,365482,382620.0,675982,522394,90.8,88.8,90.0,93.9,97.0,89.0,88.8,5.5,7.3,6.1,3.4,2.4,7.4,7.2,0.9,1.1,1.2,0.3,-0.5,1.2,1.5,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/waltham-forest,196.0,169.0,27.0,23.0,168.0
http://landregistry.data.gov.uk/data/ukhpi/region/waltham-forest/month/2020-09,471569,902472,470682.0,370430,388679.0,688000,531727,92.2,90.5,91.4,95.1,98.5,90.6,90.4,5.7,7.9,6.4,3.3,1.4,8.1,7.6,1.6,1.9,1.6,1.4,1.6,1.8,1.8,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/waltham-forest,196.0,168.0,28.0,21.0,170.0
http://landregistry.data.gov.uk/data/ukhpi/region/waltham-forest/month/2020-10,481837,928798,481810.0,377092,392619.0,705545,545002,94.2,93.1,93.6,96.8,99.5,92.9,92.7,7.4,10.2,8.3,4.9,3.6,9.7,9.6,2.2,2.9,2.4,1.8,1.0,2.6,2.5,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/waltham-forest,247.0,242.0,5.0,21.0,226.0
http://landregistry.data.gov.uk/data/ukhpi/region/waltham-forest/month/2020-11,485105,937268,485907.0,379232,391071.0,710243,549360,94.8,94.0,94.4,97.4,99.1,93.5,93.4,7.4,9.9,8.4,4.8,4.2,9.3,9.8,0.7,0.9,0.9,0.6,-0.4,0.7,0.8,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/waltham-forest,239.0,233.0,6.0,33.0,201.0
