_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/wandsworth/month/2020-01,694384,2237034,690217.0,557399,623563.0,1226942,904073,95.3,87.9,94.2,97.7,98.5,89.9,91.3,3.0,2.7,3.0,2.4,2.1,4.1,4.5,0.1,-0.4,0.0,0.1,0.8,0.0,0.3,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/wandsworth,340.0,307.0,33.0,68.0,263.0
http://landregistry.data.gov.uk/data/ukhpi/region/wandsworth/month/2020-02,699832,2285606,696188.0,560697,630809.0,1244196,914200,96.1,89.8,95.0,98.3,99.7,91.1,92.3,5.2,6.6,5.7,4.2,2.9,7.2,7.4,0.8,2.2,0.9,0.6,1.2,1.4,1.1,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/wandsworth,280.0,227.0,53.0,69.0,206.0
http://landregistry.data.gov.uk/data/ukhpi/region/wandsworth/month/2020-03,700283,2310986,696162.0,560314,637856.0,1252076,916623,96.1,90.8,95.0,98.2,100.8,91.7,92.6,6.6,9.2,6.9,5.6,5.4,9.0,8.5,0.1,1.1,0.0,-0.1,1.1,0.6,0.3,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/wandsworth,369.0,306.0,63.0,79.0,273.0
http://landregistry.data.gov.uk/data/ukhpi/region/wandsworth/month/2020-04,701313,2350059,698075.0,559653,634786.0,1260808,922730,96.3,92.3,95.3,98.1,100.3,92.3,93.2,5.7,10.0,6.3,4.7,3.7,8.7,7.9,0.1,1.7,0.3,-0.1,-0.5,0.7,0.7,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/wandsworth,152.0,135.0,17.0,31.0,115.0
http://landregistry.data.gov.uk/data/ukhpi/region/wandsworth/month/2020-05,696402,2318594,691044.0,557038,639832.0,1246445,911757,95.6,91.1,94.3,97.6,101.1,91.3,92.1,4.8,9.1,4.8,4.2,5.5,7.2,5.9,-0.7,-1.3,-1.0,-0.5,0.8,-1.1,-1.2,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/wandsworth,151.0,140.0,11.0,39.0,106.0
http://landregistry.data.gov.uk/data/ukhpi/region/wandsworth/month/2020-06,679701,2238430,676301.0,542959,616572.0,1215547,893431,93.3,87.9,92.3,95.2,97.4,89.0,90.2,3.0,6.1,3.2,2.3,3.3,5.2,4.3,-2.4,-3.5,-2.1,-2.5,-3.6,-2.5,-2.0,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/wandsworth,214.0,203.0,11.0,47.0,164.0
http://landregistry.data.gov.uk/data/ukhpi/region/wandsworth/month/2020-07,683004,2223621,680406.0,545833,615951.0,1218253,897594,93.8,87.4,92.9,95.7,97.3,89.2,90.6,1.7,4.3,2.1,1.0,1.1,3.8,3.1,0.5,-0.7,0.6,0.5,-0.1,0.2,0.5,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/wandsworth,348.0,314.0,34.0,72.0,262.0
http://landregistry.data.gov.uk/data/ukhpi/region/wandsworth/month/2020-08,699768,2296094,698962.0,556805,622816.0,1258327,928282,96.1,90.2,95.4,97.6,98.4,92.1,93.7,3.4,5.7,4.0,2.4,1.8,5.9,5.4,2.5,3.3,2.7,2.0,1.1,3.3,3.4,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/wandsworth,364.0,323.0,41.0,72.0,281.0
http://landregistry.data.gov.uk/data/ukhpi/region/wandsworth/month/2020-09,721497,2399492,720292.0,572767,643739.0,1305901,961172,99.0,94.3,98.3,100.4,101.7,95.6,97.0,4.3,7.5,5.0,3.2,2.3,7.6,6.7,3.1,4.5,3.1,2.9,3.4,3.8,3.5,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/wandsworth,386.0,367.0,19.0,67.0,310.0
http://landregistry.data.gov.uk/data/ukhpi/region/wandsworth/month/2020-10,718177,2396457,719020.0,568547,632078.0,1304779,962763,98.6,94.1,98.1,99.6,99.9,95.6,97.2,4.6,6.6,5.4,3.2,1.5,7.4,7.5,-0.5,-0.1,-0.2,-0.7,-1.8,-0.1,0.2,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/wandsworth,444.0,411.0,33.0,77.0,349.0
