_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/warrington/month/2020-01,183000,320943,179721.0,106009,333960.0,187315,141870,75.7,76.6,75.3,78.8,78.4,75.5,74.4,-0.4,-0.5,-0.5,-2.4,-0.2,-0.2,-0.3,-0.1,0.0,-0.1,-0.4,0.8,-0.1,-0.1,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/warrington,233.0,214.0,19.0,52.0,170.0
http://landregistry.data.gov.uk/data/ukhpi/region/warrington/month/2020-02,184088,322432,180868.0,106537,339801.0,188381,142969,76.2,77.0,75.7,79.1,79.8,76.0,75.0,1.6,1.3,1.7,-0.6,0.6,1.9,1.9,0.6,0.5,0.6,0.5,1.7,0.6,0.8,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/warrington,226.0,204.0,22.0,45.0,174.0
http://landregistry.data.gov.uk/data/ukhpi/region/warrington/month/2020-03,186942,327528,183659.0,108129,350756.0,191384,145089,77.4,78.2,76.9,80.3,82.3,77.2,76.1,3.8,3.4,3.9,2.0,3.7,4.1,4.3,1.6,1.6,1.5,1.5,3.2,1.6,1.5,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/warrington,258.0,223.0,35.0,51.0,196.0
http://landregistry.data.gov.uk/data/ukhpi/region/warrington/month/2020-04,186345,327503,183024.0,107058,350813.0,190583,144696,77.1,78.2,76.6,79.5,82.4,76.8,75.9,2.9,3.2,3.0,0.5,2.8,3.0,3.1,-0.3,0.0,-0.3,-1.0,0.0,-0.4,-0.3,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/warrington,78.0,75.0,3.0,15.0,62.0
http://landregistry.data.gov.uk/data/ukhpi/region/warrington/month/2020-05,186475,328226,182958.0,107036,355583.0,190902,144432,77.2,78.4,76.6,79.5,83.5,77.0,75.8,2.3,3.0,2.3,0.1,4.8,2.5,2.1,0.1,0.2,0.0,0.0,1.4,0.2,-0.2,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/warrington,126.0,122.0,4.0,30.0,92.0
http://landregistry.data.gov.uk/data/ukhpi/region/warrington/month/2020-06,186285,327327,182933.0,106591,351493.0,190929,144399,77.1,78.1,76.6,79.2,82.5,77.0,75.7,1.7,2.3,1.7,-0.9,4.2,2.0,1.5,-0.1,-0.3,0.0,-0.4,-1.2,0.0,0.0,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/warrington,209.0,196.0,13.0,49.0,158.0
http://landregistry.data.gov.uk/data/ukhpi/region/warrington/month/2020-07,188075,329142,184857.0,108230,350955.0,192901,145945,77.8,78.6,77.4,80.4,82.4,77.8,76.6,2.0,2.2,2.1,-0.2,2.9,2.5,1.8,1.0,0.6,1.1,1.5,-0.2,1.0,1.1,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/warrington,196.0,187.0,9.0,49.0,143.0
http://landregistry.data.gov.uk/data/ukhpi/region/warrington/month/2020-08,189542,331779,186446.0,108394,350230.0,194412,147305,78.4,79.2,78.1,80.5,82.2,78.4,77.3,2.2,2.3,2.4,-0.3,2.3,2.7,2.0,0.8,0.8,0.9,0.2,-0.2,0.8,0.9,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/warrington,228.0,206.0,22.0,59.0,165.0
http://landregistry.data.gov.uk/data/ukhpi/region/warrington/month/2020-09,191795,336937,188602.0,109143,355762.0,196506,149001,79.4,80.4,79.0,81.1,83.5,79.2,78.2,3.0,3.4,3.1,-0.1,2.7,3.6,2.6,1.2,1.6,1.2,0.7,1.6,1.1,1.2,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/warrington,251.0,234.0,17.0,48.0,195.0
http://landregistry.data.gov.uk/data/ukhpi/region/warrington/month/2020-10,193924,341429,190820.0,109716,356847.0,198641,150641,80.3,81.5,79.9,81.5,83.8,80.1,79.0,3.6,4.4,3.9,0.3,3.1,4.0,3.4,1.1,1.3,1.2,0.5,0.3,1.1,1.1,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/warrington,302.0,289.0,13.0,79.0,218.0
