_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/warwickshire/month/2020-01,246474,404453,238184.0,150937,324466.0,233279,189127,82.8,83.1,82.0,86.8,84.6,82.1,81.4,-1.1,-1.7,-1.1,-3.1,-1.3,-0.3,-0.4,-0.6,-0.4,-0.7,-0.7,0.4,-0.6,-0.6,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/warwickshire,702.0,609.0,93.0,167.0,515.0
http://landregistry.data.gov.uk/data/ukhpi/region/warwickshire/month/2020-02,247686,407138,239041.0,151376,329087.0,234228,190053,83.2,83.6,82.3,87.1,85.8,82.5,81.8,-0.8,-1.3,-0.5,-3.1,-2.0,0.0,0.2,0.5,0.7,0.4,0.3,1.4,0.4,0.5,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/warwickshire,677.0,591.0,86.0,166.0,476.0
http://landregistry.data.gov.uk/data/ukhpi/region/warwickshire/month/2020-03,249659,411298,240378.0,152549,336141.0,236024,191133,83.8,84.5,82.8,87.7,87.7,83.1,82.2,0.4,-0.1,0.6,-1.1,0.0,1.1,1.2,0.8,1.0,0.6,0.8,2.1,0.8,0.6,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/warwickshire,676.0,537.0,139.0,142.0,484.0
http://landregistry.data.gov.uk/data/ukhpi/region/warwickshire/month/2020-04,250878,413538,241516.0,152732,337999.0,237036,192392,84.2,84.9,83.1,87.8,88.2,83.5,82.8,1.9,1.9,2.1,0.2,1.4,2.3,2.4,0.5,0.5,0.5,0.1,0.6,0.4,0.7,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/warwickshire,256.0,206.0,50.0,54.0,194.0
http://landregistry.data.gov.uk/data/ukhpi/region/warwickshire/month/2020-05,247641,407722,237704.0,150418,337770.0,234597,189731,83.2,83.7,81.8,86.5,88.1,82.6,81.6,0.9,1.1,0.5,-0.8,2.7,1.3,0.9,-1.3,-1.4,-1.6,-1.5,-0.1,-1.0,-1.4,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/warwickshire,345.0,302.0,43.0,92.0,239.0
http://landregistry.data.gov.uk/data/ukhpi/region/warwickshire/month/2020-06,247302,405844,237927.0,149886,334115.0,234714,190038,83.0,83.3,81.9,86.2,87.2,82.7,81.8,0.8,1.1,0.5,-1.7,2.5,1.4,0.8,-0.1,-0.5,0.1,-0.4,-1.1,0.0,0.2,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/warwickshire,567.0,468.0,99.0,148.0,409.0
http://landregistry.data.gov.uk/data/ukhpi/region/warwickshire/month/2020-07,248920,407896,239838.0,150920,334169.0,236498,191371,83.6,83.8,82.6,86.8,87.2,83.3,82.3,1.0,1.2,0.9,-1.5,1.9,1.7,1.1,0.7,0.5,0.8,0.7,0.0,0.8,0.7,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/warwickshire,605.0,508.0,97.0,140.0,448.0
http://landregistry.data.gov.uk/data/ukhpi/region/warwickshire/month/2020-08,252800,415414,244101.0,152217,336246.0,239931,194490,84.9,85.3,84.0,87.5,87.7,84.5,83.7,1.8,2.0,1.9,-1.4,1.7,2.6,1.9,1.6,1.8,1.8,0.9,0.6,1.5,1.6,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/warwickshire,683.0,560.0,123.0,161.0,509.0
http://landregistry.data.gov.uk/data/ukhpi/region/warwickshire/month/2020-09,255673,421821,246573.0,153023,341809.0,242381,196434,85.9,86.6,84.9,88.0,89.2,85.4,84.5,2.8,3.1,3.0,-0.7,2.5,3.8,2.8,1.1,1.5,1.0,0.5,1.7,1.0,1.0,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/warwickshire,791.0,670.0,121.0,192.0,577.0
http://landregistry.data.gov.uk/data/ukhpi/region/warwickshire/month/2020-10,257146,424810,248443.0,152883,341145.0,243740,197839,86.3,87.2,85.5,87.9,89.0,85.8,85.1,3.1,3.7,3.3,-0.9,2.5,3.8,3.3,0.6,0.7,0.8,-0.1,-0.2,0.6,0.7,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/warwickshire,920.0,801.0,119.0,220.0,672.0
http://landregistry.data.gov.uk/data/ukhpi/region/warwickshire/month/2020-11,258596,426454,250447.0,154210,339591.0,244831,199489,86.8,87.6,86.2,88.7,88.6,86.2,85.8,4.1,4.6,4.4,0.7,3.5,4.3,4.6,0.6,0.4,0.8,0.9,-0.5,0.4,0.8,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/warwickshire,877.0,774.0,103.0,246.0,598.0
http://landregistry.data.gov.uk/data/ukhpi/region/warwickshire/month/2020-12,260408,428995,252654.0,155477,339372.0,246293,201353,87.4,88.1,87.0,89.4,88.5,86.7,86.6,5.1,5.6,5.3,2.3,5.0,4.9,5.8,0.7,0.6,0.9,0.8,-0.1,0.6,0.9,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/warwickshire,1090.0,945.0,145.0,295.0,757.0
