_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/west-berkshire/month/2020-01,336839,592070,338108.0,191722,264528.0,339980,275224,84.8,84.0,84.3,88.8,88.7,84.1,84.1,0.0,0.0,0.1,-1.4,-0.7,0.6,0.6,0.0,-0.1,-0.1,-0.2,0.7,0.0,0.1,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-berkshire,140.0,134.0,6.0,28.0,110.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-berkshire/month/2020-02,332643,584616,333783.0,189415,262857.0,335451,272025,83.7,83.0,83.2,87.7,88.2,82.9,83.1,-1.0,-1.0,-0.8,-2.7,-3.0,-0.4,-0.2,-1.2,-1.3,-1.3,-1.2,-0.6,-1.3,-1.2,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-berkshire,194.0,174.0,20.0,43.0,146.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-berkshire/month/2020-03,330199,580878,331004.0,188139,264474.0,332849,269705,83.1,82.5,82.5,87.2,88.7,82.3,82.4,-0.7,-0.7,-0.6,-2.1,-1.8,-0.2,-0.2,-0.7,-0.6,-0.8,-0.7,0.6,-0.8,-0.9,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-berkshire,142.0,128.0,14.0,34.0,105.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-berkshire/month/2020-04,332107,586066,332844.0,188103,266686.0,334569,271469,83.6,83.2,83.0,87.1,89.5,82.7,82.9,-1.1,-0.5,-1.0,-3.0,-2.2,-0.8,-0.9,0.6,0.9,0.6,0.0,0.8,0.5,0.7,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-berkshire,65.0,62.0,3.0,13.0,50.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-berkshire/month/2020-05,327345,576197,327648.0,186019,266704.0,330215,267447,82.4,81.8,81.7,86.2,89.5,81.6,81.7,-2.3,-1.8,-2.4,-3.6,-0.8,-2.0,-2.3,-1.4,-1.7,-1.6,-1.1,0.0,-1.3,-1.5,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-berkshire,67.0,59.0,8.0,18.0,49.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-berkshire/month/2020-06,327818,576006,328414.0,185730,264475.0,331255,268505,82.5,81.8,81.9,86.0,88.7,81.9,82.0,-4.1,-3.7,-4.1,-5.6,-2.8,-3.6,-3.9,0.1,0.0,0.2,-0.2,-0.8,0.3,0.4,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-berkshire,142.0,125.0,17.0,39.0,101.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-berkshire/month/2020-07,320572,562252,321435.0,182308,256043.0,324050,262389,80.7,79.8,80.2,84.5,85.9,80.1,80.2,-4.9,-4.7,-4.8,-6.1,-5.0,-4.4,-4.7,-2.2,-2.4,-2.1,-1.8,-3.2,-2.2,-2.3,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-berkshire,148.0,139.0,9.0,32.0,114.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-berkshire/month/2020-08,329171,580046,330332.0,185534,260406.0,332494,269683,82.8,82.3,82.4,85.9,87.4,82.2,82.4,-3.2,-2.9,-3.1,-4.9,-4.0,-2.7,-3.0,2.7,3.2,2.8,1.8,1.7,2.6,2.8,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-berkshire,146.0,141.0,5.0,28.0,114.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-berkshire/month/2020-09,334329,592222,335419.0,187475,265259.0,337218,273445,84.1,84.1,83.6,86.8,89.0,83.4,83.5,0.2,1.1,0.4,-2.0,-1.1,0.8,0.1,1.6,2.1,1.5,1.0,1.9,1.4,1.4,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-berkshire,166.0,157.0,9.0,36.0,130.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-berkshire/month/2020-10,345730,614430,347181.0,192726,271427.0,348563,282849,87.0,87.2,86.6,89.3,91.1,86.2,86.4,2.9,4.0,3.1,0.3,1.2,3.2,2.9,3.4,3.7,3.5,2.8,2.3,3.4,3.4,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-berkshire,199.0,197.0,2.0,44.0,155.0
