_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/west-dunbartonshire/month/2020-01,94790,222316,94307.0,73217,109077.0,135307,103156,80.7,78.9,80.6,81.8,82.1,79.8,80.1,0.1,1.2,0.1,-1.7,1.7,1.1,0.9,-0.2,0.2,-0.2,-0.4,0.7,-0.2,0.0,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-dunbartonshire,104.0,101.0,3.0,29.0,75.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-dunbartonshire/month/2020-02,96583,227127,96001.0,74520,111951.0,138039,104994,82.2,80.6,82.1,83.3,84.3,81.4,81.5,5.3,6.7,5.3,3.3,5.2,6.3,6.0,1.9,2.2,1.8,1.8,2.6,2.0,1.8,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-dunbartonshire,87.0,81.0,6.0,34.0,53.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-dunbartonshire/month/2020-03,95702,224372,94997.0,74032,112286.0,136666,103784,81.5,79.6,81.2,82.7,84.5,80.6,80.6,5.9,6.4,5.9,4.9,5.8,6.5,6.3,-0.9,-1.2,-1.0,-0.7,0.3,-1.0,-1.2,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-dunbartonshire,96.0,89.0,7.0,29.0,67.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-dunbartonshire/month/2020-04,95297,223959,94549.0,73403,112490.0,136328,103773,81.1,79.4,80.8,82.0,84.7,80.4,80.6,7.6,8.9,7.6,6.3,7.6,8.3,8.0,-0.4,-0.2,-0.5,-0.8,0.2,-0.2,0.0,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-dunbartonshire,44.0,44.0,,8.0,36.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-dunbartonshire/month/2020-05,99389,232606,98512.0,76517,118710.0,142426,108395,84.6,82.5,84.2,85.5,89.4,84.0,84.1,8.4,9.9,8.2,7.2,11.1,9.4,8.6,4.3,3.9,4.2,4.2,5.5,4.5,4.5,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-dunbartonshire,45.0,45.0,,11.0,34.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-dunbartonshire/month/2020-06,100493,236640,99652.0,76958,119382.0,144556,109829,85.6,83.9,85.2,86.0,89.9,85.2,85.3,8.0,11.0,7.7,5.9,11.0,9.6,8.3,1.1,1.7,1.2,0.6,0.6,1.5,1.3,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-dunbartonshire,59.0,54.0,5.0,19.0,40.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-dunbartonshire/month/2020-07,101044,238486,100258.0,77662,119156.0,144926,109927,86.0,84.6,85.7,86.8,89.7,85.4,85.3,6.2,9.1,6.0,4.3,7.8,7.7,6.1,0.5,0.8,0.6,0.9,-0.2,0.3,0.1,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-dunbartonshire,71.0,68.0,3.0,22.0,49.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-dunbartonshire/month/2020-08,96581,227793,95896.0,74152,112944.0,138542,105278,82.2,80.8,82.0,82.9,85.0,81.7,81.7,-1.1,1.3,-1.2,-2.9,-0.2,0.5,-1.0,-4.4,-4.5,-4.4,-4.5,-5.2,-4.4,-4.2,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-dunbartonshire,99.0,87.0,12.0,28.0,71.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-dunbartonshire/month/2020-09,96967,226656,96293.0,74537,113185.0,139022,106027,82.6,80.4,82.3,83.3,85.2,82.0,82.3,-0.4,0.9,-0.4,-2.1,-0.4,1.2,-0.1,0.4,-0.5,0.4,0.5,0.2,0.3,0.7,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-dunbartonshire,169.0,160.0,9.0,51.0,118.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-dunbartonshire/month/2020-10,99664,231541,99086.0,76487,114701.0,143195,109402,84.9,82.1,84.7,85.5,86.3,84.4,84.9,3.2,3.9,3.2,1.5,2.3,4.5,4.1,2.8,2.2,2.9,2.6,1.3,3.0,3.2,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-dunbartonshire,203.0,187.0,16.0,60.0,143.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-dunbartonshire/month/2020-11,102133,239094,101618.0,78336,116454.0,146359,112008,87.0,84.8,86.9,87.5,87.7,86.3,86.9,10.2,11.4,10.3,8.6,9.0,11.0,11.3,2.5,3.3,2.6,2.4,1.5,2.2,2.4,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-dunbartonshire,180.0,171.0,9.0,58.0,122.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-dunbartonshire/month/2020-12,103284,244261,102767.0,79038,117724.0,147859,113177,87.9,86.6,87.8,88.3,88.6,87.2,87.9,8.8,10.1,8.7,7.5,8.7,9.0,9.7,1.1,2.2,1.1,0.9,1.1,1.0,1.0,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-dunbartonshire,144.0,138.0,6.0,47.0,97.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-dunbartonshire/month/2021-01,103342,243699,102908.0,79559,116630.0,147154,112829,88.0,86.4,88.0,88.9,87.8,86.7,87.6,9.0,9.6,9.1,8.7,6.9,8.8,9.4,0.1,-0.2,0.1,0.7,-0.9,-0.5,-0.3,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-dunbartonshire,103.0,100.0,3.0,24.0,79.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-dunbartonshire/month/2021-02,102277,240320,101855.0,79006,115381.0,145245,111583,87.1,85.2,87.1,88.3,86.9,85.6,86.6,5.9,5.8,6.1,6.0,3.1,5.2,6.3,-1.0,-1.4,-1.0,-0.7,-1.1,-1.3,-1.1,2021-02,1,2021-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-dunbartonshire,98.0,91.0,7.0,32.0,66.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-dunbartonshire/month/2021-03,101687,237073,101294.0,78821,114429.0,144253,111019,86.6,84.1,86.6,88.1,86.1,85.0,86.2,6.3,5.7,6.6,6.5,1.9,5.6,7.0,-0.6,-1.4,-0.6,-0.2,-0.8,-0.7,-0.5,2021-03,1,2021-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-dunbartonshire,129.0,121.0,8.0,45.0,84.0
