_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/west-lothian/month/2020-01,165344,297472,150791.0,98005,229506.0,164559,130309,78.9,78.8,78.5,80.5,80.9,79.0,78.1,-0.1,1.0,-0.3,-2.6,1.0,0.2,0.0,1.2,1.6,1.0,0.9,2.2,1.0,1.1,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-lothian,232.0,191.0,41.0,39.0,193.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-lothian/month/2020-02,163400,294765,148788.0,96539,229063.0,162687,128705,77.9,78.1,77.4,79.3,80.7,78.1,77.2,0.0,1.1,0.0,-2.6,0.2,0.4,0.3,-1.2,-0.9,-1.3,-1.5,-0.2,-1.1,-1.2,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-lothian,202.0,166.0,36.0,33.0,169.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-lothian/month/2020-03,164911,297172,149884.0,97959,233800.0,164128,129667,78.7,78.7,78.0,80.4,82.4,78.8,77.8,0.7,1.1,0.7,-0.5,0.9,0.9,1.0,0.9,0.8,0.7,1.5,2.1,0.9,0.7,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-lothian,193.0,137.0,56.0,44.0,149.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-lothian/month/2020-04,163082,294171,148128.0,96328,231972.0,162372,128530,77.8,78.0,77.1,79.1,81.7,77.9,77.1,0.9,1.8,0.9,-0.8,1.1,1.0,1.0,-1.1,-1.0,-1.2,-1.7,-0.8,-1.1,-0.9,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-lothian,109.0,89.0,20.0,10.0,99.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-lothian/month/2020-05,165601,297997,150155.0,97839,237649.0,165221,130685,79.0,79.0,78.1,80.3,83.7,79.3,78.4,1.7,2.9,1.3,-0.1,3.8,2.0,1.5,1.5,1.3,1.4,1.6,2.4,1.8,1.7,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-lothian,128.0,118.0,10.0,21.0,107.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-lothian/month/2020-06,168771,304200,153253.0,99029,240425.0,168640,133401,80.5,80.6,79.7,81.3,84.7,81.0,80.0,4.9,7.0,4.4,1.7,7.5,5.3,4.6,1.9,2.1,2.1,1.2,1.2,2.1,2.1,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-lothian,128.0,113.0,15.0,22.0,106.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-lothian/month/2020-07,168256,303605,152961.0,99288,238250.0,167684,132557,80.3,80.5,79.6,81.5,83.9,80.5,79.5,3.4,5.3,3.1,0.8,5.0,3.8,3.0,-0.3,-0.2,-0.2,0.3,-0.9,-0.6,-0.6,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-lothian,174.0,124.0,50.0,46.0,128.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-lothian/month/2020-08,169070,304241,153991.0,99932,237089.0,168480,133479,80.7,80.6,80.1,82.1,83.5,80.9,80.0,3.0,4.6,2.9,0.6,3.9,3.5,2.9,0.5,0.2,0.7,0.6,-0.5,0.5,0.7,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-lothian,251.0,208.0,43.0,57.0,194.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-lothian/month/2020-09,167084,299253,152190.0,98956,234248.0,166709,132341,79.7,79.3,79.2,81.3,82.5,80.0,79.4,1.5,2.2,1.5,-0.5,1.5,2.3,1.6,-1.2,-1.6,-1.2,-1.0,-1.2,-1.1,-0.9,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-lothian,368.0,332.0,36.0,61.0,307.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-lothian/month/2020-10,170581,303400,155756.0,101129,236144.0,170739,135800,81.4,80.4,81.0,83.0,83.2,82.0,81.4,4.0,4.0,4.2,2.5,3.2,4.7,4.6,2.1,1.4,2.3,2.2,0.8,2.4,2.6,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-lothian,396.0,331.0,65.0,81.0,315.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-lothian/month/2020-11,171745,306794,157006.0,101732,236302.0,171189,136490,81.9,81.3,81.7,83.5,83.2,82.2,81.9,4.6,4.8,4.8,3.4,3.9,4.7,5.2,0.7,1.1,0.8,0.6,0.1,0.3,0.5,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-lothian,442.0,398.0,44.0,87.0,355.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-lothian/month/2020-12,174814,314219,159834.0,103137,240353.0,173656,138615,83.4,83.3,83.2,84.7,84.7,83.4,83.1,7.0,7.3,7.1,6.2,7.0,6.6,7.5,1.8,2.4,1.8,1.4,1.7,1.4,1.6,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-lothian,337.0,287.0,50.0,66.0,271.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-lothian/month/2021-01,174229,312321,159574.0,103719,237451.0,172416,138101,83.1,82.8,83.0,85.2,83.7,82.8,82.8,5.4,5.0,5.8,5.8,3.5,4.8,6.0,-0.3,-0.6,-0.2,0.6,-1.2,-0.7,-0.4,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-lothian,272.0,231.0,41.0,69.0,203.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-lothian/month/2021-02,174475,311821,159808.0,104266,237441.0,172366,138485,83.2,82.6,83.1,85.6,83.6,82.7,83.0,6.8,5.8,7.4,8.0,3.7,5.9,7.6,0.1,-0.2,0.1,0.5,0.0,0.0,0.3,2021-02,1,2021-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-lothian,239.0,186.0,53.0,43.0,196.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-lothian/month/2021-03,174436,309268,159846.0,104961,236492.0,172199,139071,83.2,82.0,83.2,86.2,83.3,82.7,83.4,5.8,4.1,6.6,7.1,1.2,4.9,7.3,0.0,-0.8,0.0,0.7,-0.4,-0.1,0.4,2021-03,1,2021-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-lothian,381.0,298.0,83.0,90.0,291.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-lothian/month/2021-04,177035,314459,161859.0,106188,242296.0,174602,141165,84.5,83.3,84.2,87.2,85.4,83.8,84.7,8.6,6.9,9.3,10.2,4.5,7.5,9.8,1.5,1.7,1.3,1.2,2.5,1.4,1.5,2021-04,1,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-lothian,218.0,174.0,44.0,44.0,174.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-lothian/month/2021-05,179874,319115,164470.0,107803,246081.0,177568,143616,85.8,84.6,85.6,88.5,86.7,85.2,86.1,8.6,7.1,9.5,10.2,3.5,7.5,9.9,1.6,1.5,1.6,1.5,1.6,1.7,1.7,2021-05,1,2021-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-lothian,223.0,170.0,53.0,40.0,183.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-lothian/month/2021-06,181746,321971,166650.0,109436,245805.0,178823,145325,86.7,85.3,86.7,89.9,86.6,85.8,87.1,7.7,5.8,8.7,10.5,2.2,6.0,8.9,1.0,0.9,1.3,1.5,-0.1,0.7,1.2,2021-06,1,2021-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-lothian,365.0,317.0,48.0,72.0,293.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-lothian/month/2021-07,185421,330102,169724.0,110474,252650.0,183157,147865,88.5,87.5,88.3,90.7,89.0,87.9,88.7,10.2,8.7,11.0,11.3,6.0,9.2,11.5,2.0,2.5,1.8,0.9,2.8,2.4,1.7,2021-07,1,2021-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-lothian,300.0,269.0,31.0,58.0,242.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-lothian/month/2021-08,188967,336167,173300.0,112560,255475.0,187067,150625,90.1,89.1,90.2,92.4,90.0,89.8,90.3,11.8,10.5,12.5,12.6,7.8,11.0,12.8,1.9,1.8,2.1,1.9,1.1,2.1,1.9,2021-08,1,2021-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-lothian,294.0,219.0,75.0,73.0,221.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-lothian/month/2021-09,191774,342158,175743.0,113532,260042.0,190397,152516,91.5,90.7,91.4,93.2,91.6,91.4,91.5,14.8,14.3,15.5,14.7,11.0,14.2,15.2,1.5,1.8,1.4,0.9,1.8,1.8,1.3,2021-09,1,2021-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-lothian,272.0,205.0,67.0,54.0,218.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-lothian/month/2021-10,193165,344136,177776.0,115149,257207.0,191329,153540,92.1,91.2,92.5,94.6,90.6,91.8,92.1,13.2,13.4,14.1,13.9,8.9,12.1,13.1,0.7,0.6,1.2,1.4,-1.1,0.5,0.7,2021-10,1,2021-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-lothian,313.0,277.0,36.0,61.0,252.0
