_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/west-midlands/month/2020-01,179060,319817,177872.0,117359,191391.0,192614,157186,79.2,79.3,78.7,82.8,83.1,78.5,78.2,1.6,1.5,1.7,-0.9,0.7,2.4,2.0,0.3,0.3,0.2,0.2,1.2,0.3,0.5,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-midlands,2505.0,2343.0,162.0,637.0,1818.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-midlands/month/2020-02,178387,318530,177119.0,116728,192241.0,191826,156807,78.9,79.0,78.3,82.4,83.5,78.2,78.0,0.9,0.7,1.1,-2.0,-1.2,1.6,1.6,-0.4,-0.4,-0.4,-0.5,0.4,-0.4,-0.2,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-midlands,2430.0,2230.0,200.0,535.0,1832.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-midlands/month/2020-03,177824,318415,176366.0,116268,194245.0,191194,156195,78.6,79.0,78.0,82.1,84.4,77.9,77.7,1.4,1.3,1.6,-1.1,0.1,2.0,2.1,-0.3,0.0,-0.4,-0.4,1.0,-0.3,-0.4,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-midlands,2275.0,2071.0,204.0,523.0,1674.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-midlands/month/2020-04,175618,315089,174157.0,114310,192068.0,188734,154552,77.6,78.1,77.0,80.7,83.4,76.9,76.9,0.0,0.4,0.2,-2.8,-1.6,0.6,0.7,-1.2,-1.0,-1.3,-1.7,-1.1,-1.3,-1.1,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-midlands,963.0,876.0,87.0,212.0,727.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-midlands/month/2020-05,177295,317201,175543.0,115885,196781.0,190526,155907,78.4,78.7,77.6,81.8,85.5,77.7,77.5,1.0,1.4,0.9,-1.0,2.2,1.5,1.4,1.0,0.7,0.8,1.4,2.5,0.9,0.9,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-midlands,1386.0,1218.0,168.0,311.0,1008.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-midlands/month/2020-06,178914,320053,177412.0,116146,195877.0,192663,157532,79.1,79.4,78.5,82.0,85.1,78.5,78.3,1.5,2.1,1.5,-1.3,2.2,2.3,1.9,0.9,0.9,1.1,0.2,-0.5,1.1,1.0,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-midlands,1874.0,1717.0,157.0,429.0,1404.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-midlands/month/2020-07,182208,325216,180873.0,118675,197433.0,196292,160252,80.5,80.7,80.0,83.8,85.8,80.0,79.7,3.1,3.4,3.2,0.7,2.6,3.8,3.3,1.8,1.6,2.0,2.2,0.8,1.9,1.7,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-midlands,2232.0,2067.0,165.0,548.0,1646.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-midlands/month/2020-08,182927,327838,181819.0,118114,195794.0,197285,161094,80.9,81.3,80.4,83.4,85.1,80.4,80.1,2.8,3.4,3.0,-0.3,1.2,3.7,3.1,0.4,0.8,0.5,-0.5,-0.8,0.5,0.5,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-midlands,2155.0,2013.0,142.0,513.0,1608.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-midlands/month/2020-09,183383,329310,182171.0,118413,197292.0,197545,161555,81.1,81.7,80.6,83.6,85.7,80.5,80.3,2.2,3.1,2.4,-0.8,0.5,3.1,2.4,0.2,0.4,0.2,0.3,0.8,0.1,0.3,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-midlands,2208.0,2021.0,187.0,529.0,1632.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-midlands/month/2020-10,184362,333048,183361.0,118073,196138.0,198700,162559,81.5,82.6,81.1,83.4,85.2,81.0,80.8,2.6,4.0,2.9,-0.9,0.4,3.3,2.9,0.5,1.1,0.7,-0.3,-0.6,0.6,0.6,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-midlands,2984.0,2844.0,140.0,677.0,2244.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-midlands/month/2020-11,185557,335585,184789.0,118771,195013.0,199666,163869,82.0,83.2,81.7,83.8,84.7,81.4,81.5,3.5,4.7,3.8,0.4,1.3,3.7,4.3,0.6,0.8,0.8,0.6,-0.6,0.5,0.8,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-midlands,2784.0,2657.0,127.0,653.0,2072.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-midlands/month/2020-12,188245,340192,187635.0,120257,196155.0,202514,166504,83.2,84.4,83.0,84.9,85.2,82.6,82.8,5.5,6.7,5.8,2.6,3.7,5.4,6.4,1.4,1.4,1.5,1.3,0.6,1.4,1.6,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-midlands,3004.0,2870.0,134.0,668.0,2287.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-midlands/month/2021-01,190535,341672,190022.0,122738,197514.0,204797,168584,84.2,84.7,84.0,86.6,85.8,83.5,83.8,6.4,6.8,6.8,4.6,3.2,6.3,7.3,1.2,0.4,1.3,2.1,0.7,1.1,1.2,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-midlands,2594.0,2393.0,201.0,640.0,1951.0
