_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/west-northamptonshire/month/2020-01,239547,392430,233670.0,126713,331096.0,229933,187677,82.7,83.0,82.0,86.1,85.4,82.4,81.3,-0.4,-0.9,-0.3,-1.9,-0.8,0.0,0.3,0.0,0.3,-0.2,-0.7,1.0,-0.1,-0.2,2020-01,1,2020-01-01,http://landregistry.data.gov.uk/id/region/west-northamptonshire,443.0,413.0,30.0,78.0,359.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-northamptonshire/month/2020-02,237321,388871,231226.0,125103,330852.0,227744,186151,81.9,82.2,81.1,85.0,85.3,81.6,80.6,-1.6,-2.2,-1.4,-3.6,-2.9,-1.3,-0.6,-0.9,-0.9,-1.0,-1.3,-0.1,-1.0,-0.8,2020-02,1,2020-02-01,http://landregistry.data.gov.uk/id/region/west-northamptonshire,439.0,392.0,47.0,81.0,345.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-northamptonshire/month/2020-03,238230,391505,231556.0,125007,337215.0,228642,186482,82.2,82.8,81.3,84.9,87.0,81.9,80.8,-0.8,-1.2,-0.8,-2.7,-1.2,-0.5,-0.1,0.4,0.7,0.1,-0.1,1.9,0.4,0.2,2020-03,1,2020-03-01,http://landregistry.data.gov.uk/id/region/west-northamptonshire,453.0,385.0,68.0,82.0,358.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-northamptonshire/month/2020-04,241327,397667,234368.0,125585,343219.0,231480,188882,83.3,84.1,82.2,85.3,88.5,83.0,81.8,0.7,0.9,0.8,-1.9,0.4,0.9,1.1,1.3,1.6,1.2,0.5,1.8,1.2,1.3,2020-04,1,2020-04-01,http://landregistry.data.gov.uk/id/region/west-northamptonshire,200.0,184.0,16.0,32.0,160.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-northamptonshire/month/2020-05,241700,398453,234236.0,125834,347670.0,232157,188768,83.4,84.2,82.2,85.5,89.7,83.2,81.8,1.3,2.2,1.0,-1.2,3.5,1.6,0.9,0.2,0.2,-0.1,0.2,1.3,0.3,-0.1,2020-05,1,2020-05-01,http://landregistry.data.gov.uk/id/region/west-northamptonshire,278.0,247.0,31.0,62.0,208.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-northamptonshire/month/2020-06,241741,397347,234820.0,125673,343500.0,232511,189318,83.4,84.0,82.4,85.4,88.6,83.3,82.0,1.5,2.1,1.3,-1.4,3.3,2.0,1.3,0.0,-0.3,0.2,-0.1,-1.2,0.2,0.3,2020-06,1,2020-06-01,http://landregistry.data.gov.uk/id/region/west-northamptonshire,415.0,368.0,47.0,85.0,320.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-northamptonshire/month/2020-07,239620,392419,233241.0,125465,336600.0,230456,188103,82.7,83.0,81.9,85.3,86.8,82.6,81.5,0.4,0.8,0.3,-2.1,1.2,0.9,0.2,-0.9,-1.2,-0.7,-0.2,-2.0,-0.9,-0.6,2020-07,1,2020-07-01,http://landregistry.data.gov.uk/id/region/west-northamptonshire,503.0,450.0,53.0,91.0,410.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-northamptonshire/month/2020-08,241535,395821,235437.0,125557,336639.0,232124,190031,83.3,83.7,82.6,85.3,86.8,83.2,82.3,1.3,1.6,1.4,-1.6,1.3,1.9,1.4,0.8,0.9,0.9,0.1,0.0,0.7,1.0,2020-08,1,2020-08-01,http://landregistry.data.gov.uk/id/region/west-northamptonshire,476.0,424.0,52.0,86.0,383.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-northamptonshire/month/2020-09,243428,401410,236834.0,125493,342741.0,233571,190850,84.0,84.9,83.1,85.3,88.4,83.7,82.7,1.9,2.9,1.9,-1.9,2.3,2.4,1.4,0.8,1.4,0.6,-0.1,1.8,0.6,0.4,2020-09,1,2020-09-01,http://landregistry.data.gov.uk/id/region/west-northamptonshire,512.0,458.0,54.0,101.0,396.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-northamptonshire/month/2020-10,245336,405475,239040.0,125702,342700.0,235289,192264,84.6,85.7,83.9,85.4,88.4,84.3,83.3,3.0,4.2,3.1,-1.0,2.8,3.2,2.6,0.8,1.0,0.9,0.2,0.0,0.7,0.7,2020-10,1,2020-10-01,http://landregistry.data.gov.uk/id/region/west-northamptonshire,621.0,539.0,82.0,128.0,474.0
