_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/west-sussex/month/2020-01,324247,571511,317845.0,186583,398766.0,354805,279510,84.5,83.9,83.5,87.4,88.1,84.1,83.0,0.0,-0.3,-0.1,-1.1,0.0,0.6,0.8,-0.4,-0.2,-0.5,-0.7,0.5,-0.4,-0.3,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-sussex,1019.0,910.0,109.0,345.0,659.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-sussex/month/2020-02,322190,568804,315676.0,184813,400309.0,352292,278254,83.9,83.5,83.0,86.5,88.4,83.5,82.6,0.1,0.1,0.3,-1.5,-0.8,0.7,1.2,-0.6,-0.5,-0.7,-0.9,0.4,-0.7,-0.4,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-sussex,1020.0,924.0,96.0,319.0,669.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-sussex/month/2020-03,321277,567828,314562.0,183775,403512.0,351772,277456,83.7,83.4,82.7,86.1,89.1,83.4,82.4,0.2,0.3,0.3,-1.6,-0.2,0.7,1.1,-0.3,-0.2,-0.4,-0.6,0.8,-0.1,-0.3,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-sussex,1067.0,925.0,142.0,356.0,683.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-sussex/month/2020-04,326516,580256,319657.0,185274,410332.0,357874,281984,85.1,85.2,84.0,86.8,90.6,84.8,83.7,2.1,3.1,2.3,-0.4,1.5,2.8,2.7,1.6,2.2,1.6,0.8,1.7,1.7,1.6,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-sussex,464.0,415.0,49.0,144.0,301.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-sussex/month/2020-05,327090,579748,319534.0,186177,415861.0,358834,282271,85.2,85.1,84.0,87.2,91.8,85.0,83.8,1.8,2.8,1.7,-0.2,3.6,2.4,2.0,0.2,-0.1,0.0,0.5,1.3,0.3,0.1,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-sussex,496.0,460.0,36.0,135.0,348.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-sussex/month/2020-06,326272,578985,319096.0,185004,412351.0,358187,281994,85.0,85.0,83.9,86.6,91.1,84.9,83.7,1.3,2.4,1.1,-1.1,3.2,1.9,1.5,-0.3,-0.1,-0.1,-0.6,-0.8,-0.2,-0.1,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-sussex,819.0,741.0,78.0,281.0,524.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-sussex/month/2020-07,321096,567449,314470.0,182994,402726.0,352355,277686,83.7,83.3,82.6,85.7,88.9,83.5,82.5,-0.7,0.0,-0.7,-2.6,0.1,-0.1,-0.4,-1.6,-2.0,-1.4,-1.1,-2.3,-1.6,-1.5,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-sussex,941.0,838.0,103.0,331.0,597.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-sussex/month/2020-08,323542,574240,317305.0,182610,402685.0,355542,280547,84.3,84.3,83.4,85.5,88.9,84.3,83.3,0.3,1.2,0.4,-2.2,0.5,1.0,0.8,0.8,1.2,0.9,-0.2,0.0,0.9,1.0,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-sussex,1031.0,910.0,121.0,315.0,696.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-sussex/month/2020-09,328669,584793,322219.0,184863,409846.0,361071,285167,85.6,85.9,84.7,86.6,90.5,85.6,84.7,1.5,2.6,1.8,-1.3,1.2,2.4,2.1,1.6,1.8,1.5,1.2,1.8,1.6,1.6,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-sussex,1092.0,994.0,98.0,369.0,699.0
http://landregistry.data.gov.uk/data/ukhpi/region/west-sussex/month/2020-10,332250,592363,326326.0,186152,410228.0,364758,288867,86.6,87.0,85.8,87.2,90.6,86.4,85.8,2.6,3.8,2.9,-0.5,1.7,3.2,3.4,1.1,1.3,1.3,0.7,0.1,1.0,1.3,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/west-sussex,1466.0,1327.0,139.0,489.0,953.0
