_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/westmorland-and-furness/month/2020-01,185344,316079,181933.0,120233,252052.0,199034,146609,84.9,84.9,84.7,89.1,86.4,85.0,83.8,4.0,3.6,4.0,4.2,3.1,4.3,3.9,0.9,0.9,0.9,1.5,1.2,0.8,0.8,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/westmorland-and-furness,306.0,293.0,13.0,128.0,174.0
http://landregistry.data.gov.uk/data/ukhpi/region/westmorland-and-furness/month/2020-02,182404,310741,178926.0,118349,250737.0,195574,144513,83.6,83.5,83.3,87.7,86.0,83.5,82.6,0.2,0.1,0.2,0.7,-1.0,0.4,-0.1,-1.6,-1.7,-1.7,-1.6,-0.5,-1.7,-1.4,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/westmorland-and-furness,250.0,229.0,21.0,96.0,145.0
http://landregistry.data.gov.uk/data/ukhpi/region/westmorland-and-furness/month/2020-03,183800,314647,180106.0,120558,256406.0,196987,144708,84.2,84.5,83.8,89.4,87.9,84.1,82.7,1.2,1.5,1.2,2.5,1.2,1.4,0.4,0.8,1.3,0.7,1.9,2.3,0.7,0.1,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/westmorland-and-furness,288.0,252.0,36.0,105.0,174.0
http://landregistry.data.gov.uk/data/ukhpi/region/westmorland-and-furness/month/2020-04,178908,306506,175213.0,116149,251148.0,191665,141196,82.0,82.4,81.5,86.1,86.1,81.9,80.7,-3.3,-3.3,-3.3,-2.9,-3.8,-3.3,-3.5,-2.7,-2.6,-2.7,-3.7,-2.1,-2.7,-2.4,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/westmorland-and-furness,111.0,101.0,10.0,49.0,57.0
http://landregistry.data.gov.uk/data/ukhpi/region/westmorland-and-furness/month/2020-05,179645,307973,175649.0,116370,256727.0,192864,141566,82.3,82.7,81.8,86.3,88.0,82.4,80.9,-2.4,-2.3,-2.6,-2.7,-0.3,-2.3,-2.6,0.4,0.5,0.2,0.2,2.2,0.6,0.3,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/westmorland-and-furness,180.0,172.0,8.0,64.0,113.0
http://landregistry.data.gov.uk/data/ukhpi/region/westmorland-and-furness/month/2020-06,181989,310825,178001.0,116367,259131.0,195796,144077,83.4,83.5,82.8,86.3,88.8,83.6,82.3,-2.6,-2.8,-2.8,-3.8,-0.3,-2.3,-2.4,1.3,0.9,1.3,0.0,0.9,1.5,1.8,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/westmorland-and-furness,250.0,238.0,12.0,101.0,147.0
http://landregistry.data.gov.uk/data/ukhpi/region/westmorland-and-furness/month/2020-07,186079,318121,182050.0,119190,264190.0,200334,147063,85.3,85.5,84.7,88.4,90.6,85.6,84.1,-1.0,-1.0,-1.2,-2.0,0.7,-0.6,-1.1,2.2,2.3,2.3,2.4,2.0,2.3,2.1,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/westmorland-and-furness,236.0,215.0,21.0,80.0,150.0
http://landregistry.data.gov.uk/data/ukhpi/region/westmorland-and-furness/month/2020-08,191078,326081,187152.0,121416,267896.0,205793,151488,87.6,87.6,87.1,90.0,91.8,87.9,86.6,2.0,1.5,2.0,1.0,2.4,2.6,2.3,2.7,2.5,2.8,1.9,1.4,2.7,3.0,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/westmorland-and-furness,270.0,246.0,24.0,112.0,153.0
http://landregistry.data.gov.uk/data/ukhpi/region/westmorland-and-furness/month/2020-09,192076,329914,188059.0,122448,270397.0,206611,151542,88.0,88.6,87.5,90.8,92.7,88.2,86.6,2.4,2.5,2.3,1.3,2.9,3.0,2.0,0.5,1.2,0.5,0.8,0.9,0.4,0.0,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/westmorland-and-furness,292.0,280.0,12.0,113.0,172.0
http://landregistry.data.gov.uk/data/ukhpi/region/westmorland-and-furness/month/2020-10,197042,339591,193061.0,125066,275210.0,211770,155327,90.3,91.2,89.9,92.7,94.4,90.5,88.8,5.7,6.8,5.6,4.1,7.1,6.2,4.9,2.6,2.9,2.7,2.1,1.8,2.5,2.5,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/westmorland-and-furness,403.0,392.0,11.0,161.0,236.0
