_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/wigan/month/2020-01,130308,217610,125969.0,79157,187201.0,134912,103183,72.4,73.5,71.7,75.4,74.7,72.4,71.2,3.2,2.7,3.3,1.1,3.0,3.6,3.4,0.0,0.3,-0.1,-0.3,0.8,-0.1,-0.1,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/wigan,350.0,300.0,50.0,73.0,273.0
http://landregistry.data.gov.uk/data/ukhpi/region/wigan/month/2020-02,130217,217570,125855.0,78953,188780.0,134764,103187,72.4,73.5,71.6,75.2,75.3,72.3,71.2,4.3,3.6,4.5,1.9,3.1,4.6,4.6,-0.1,0.0,-0.1,-0.3,0.8,-0.1,0.0,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/wigan,405.0,356.0,49.0,85.0,313.0
http://landregistry.data.gov.uk/data/ukhpi/region/wigan/month/2020-03,131202,219770,126647.0,79561,192833.0,135784,103813,72.9,74.2,72.0,75.8,76.9,72.9,71.6,4.5,3.9,4.7,2.7,4.1,4.8,4.8,0.8,1.0,0.6,0.8,2.1,0.8,0.6,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/wigan,368.0,301.0,67.0,75.0,288.0
http://landregistry.data.gov.uk/data/ukhpi/region/wigan/month/2020-04,131624,220703,127004.0,79295,193836.0,136102,104274,73.2,74.6,72.2,75.5,77.3,73.0,71.9,3.8,3.6,4.0,1.7,3.4,3.9,4.0,0.3,0.4,0.3,-0.3,0.5,0.2,0.4,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/wigan,169.0,137.0,32.0,51.0,108.0
http://landregistry.data.gov.uk/data/ukhpi/region/wigan/month/2020-05,131253,220792,126316.0,79178,195789.0,135714,103701,73.0,74.6,71.9,75.4,78.1,72.8,71.5,1.7,2.2,1.5,0.0,3.7,1.8,1.4,-0.3,0.0,-0.5,-0.1,1.0,-0.3,-0.5,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/wigan,263.0,234.0,29.0,55.0,201.0
http://landregistry.data.gov.uk/data/ukhpi/region/wigan/month/2020-06,132326,222114,127614.0,79400,195422.0,136991,104648,73.6,75.0,72.6,75.6,78.0,73.5,72.2,1.8,2.4,1.7,-0.4,3.9,2.0,1.5,0.8,0.6,1.0,0.3,-0.2,0.9,0.9,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/wigan,391.0,303.0,88.0,80.0,281.0
http://landregistry.data.gov.uk/data/ukhpi/region/wigan/month/2020-07,133913,224059,129377.0,80770,195987.0,138767,105962,74.4,75.7,73.6,76.9,78.2,74.5,73.1,3.1,3.3,3.2,1.1,4.0,3.5,2.7,1.2,0.9,1.4,1.7,0.3,1.3,1.3,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/wigan,355.0,310.0,45.0,84.0,263.0
http://landregistry.data.gov.uk/data/ukhpi/region/wigan/month/2020-08,134602,224909,130256.0,80605,195362.0,139611,106603,74.8,76.0,74.1,76.8,78.0,74.9,73.5,3.8,4.0,4.1,1.4,4.2,4.4,3.4,0.5,0.4,0.7,-0.2,-0.3,0.6,0.6,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/wigan,325.0,289.0,36.0,86.0,230.0
http://landregistry.data.gov.uk/data/ukhpi/region/wigan/month/2020-09,136030,228019,131497.0,81209,198469.0,140913,107684,75.6,77.0,74.8,77.4,79.2,75.6,74.3,6.0,6.4,6.2,3.1,6.1,6.7,5.3,1.1,1.4,1.0,0.7,1.6,0.9,1.0,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/wigan,446.0,359.0,87.0,84.0,342.0
http://landregistry.data.gov.uk/data/ukhpi/region/wigan/month/2020-10,137624,231058,133239.0,81530,199305.0,142489,109002,76.5,78.1,75.8,77.7,79.5,76.5,75.2,6.8,7.6,7.1,3.3,6.5,7.1,6.3,1.2,1.3,1.3,0.4,0.4,1.1,1.2,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/wigan,488.0,432.0,56.0,104.0,369.0
http://landregistry.data.gov.uk/data/ukhpi/region/wigan/month/2020-11,140518,235692,136352.0,83240,201210.0,145277,111582,78.1,79.6,77.6,79.3,80.3,78.0,76.9,8.1,8.8,8.6,4.8,7.5,8.1,8.2,2.1,2.0,2.3,2.1,1.0,2.0,2.4,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/wigan,474.0,436.0,38.0,95.0,364.0
http://landregistry.data.gov.uk/data/ukhpi/region/wigan/month/2020-12,141662,237236,137677.0,83753,201265.0,146344,112773,78.7,80.1,78.3,79.8,80.3,78.5,77.8,8.7,9.3,9.2,5.5,8.4,8.4,9.1,0.8,0.7,1.0,0.6,0.0,0.7,1.1,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/wigan,487.0,442.0,45.0,109.0,366.0
http://landregistry.data.gov.uk/data/ukhpi/region/wigan/month/2021-01,142359,236685,138632.0,84931,200259.0,147155,113743,79.1,80.0,78.9,80.9,79.9,79.0,78.4,9.2,8.8,10.1,7.3,7.0,9.1,10.2,0.5,-0.2,0.7,1.4,-0.5,0.6,0.9,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/wigan,390.0,337.0,53.0,86.0,304.0
http://landregistry.data.gov.uk/data/ukhpi/region/wigan/month/2021-02,144511,238661,140810.0,87044,202797.0,149324,115957,80.3,80.6,80.1,82.9,80.9,80.1,80.0,11.0,9.7,11.9,10.2,7.4,10.8,12.4,1.5,0.8,1.6,2.5,1.3,1.5,1.9,2021-02,1,2021-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/wigan,515.0,435.0,80.0,126.0,385.0
http://landregistry.data.gov.uk/data/ukhpi/region/wigan/month/2021-03,145892,239435,142187.0,88963,204695.0,150700,117468,81.1,80.9,80.9,84.7,81.7,80.9,81.0,11.2,8.9,12.3,11.8,6.2,11.0,13.2,1.0,0.3,1.0,2.2,0.9,0.9,1.3,2021-03,1,2021-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/wigan,617.0,530.0,87.0,140.0,473.0
http://landregistry.data.gov.uk/data/ukhpi/region/wigan/month/2021-04,148163,243576,144154.0,90408,210012.0,152738,119435,82.4,82.3,82.0,86.1,83.8,82.0,82.4,12.6,10.4,13.5,14.0,8.3,12.2,14.5,1.6,1.7,1.4,1.6,2.6,1.4,1.7,2021-04,1,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/wigan,498.0,439.0,59.0,101.0,397.0
http://landregistry.data.gov.uk/data/ukhpi/region/wigan/month/2021-05,148717,244775,144663.0,90612,211065.0,153262,119852,82.7,82.7,82.3,86.3,84.2,82.2,82.7,13.3,10.9,14.5,14.4,7.8,12.9,15.6,0.4,0.5,0.4,0.2,0.5,0.3,0.3,2021-05,1,2021-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/wigan,426.0,367.0,59.0,86.0,338.0
http://landregistry.data.gov.uk/data/ukhpi/region/wigan/month/2021-06,151621,248247,147851.0,92368,212112.0,156080,122835,84.3,83.9,84.1,88.0,84.6,83.8,84.7,14.6,11.8,15.9,16.3,8.5,13.9,17.4,2.0,1.4,2.2,1.9,0.5,1.8,2.5,2021-06,1,2021-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/wigan,666.0,595.0,71.0,145.0,517.0
http://landregistry.data.gov.uk/data/ukhpi/region/wigan/month/2021-07,152076,249021,148221.0,92378,213399.0,156774,123026,84.5,84.1,84.3,88.0,85.1,84.1,84.8,13.6,11.1,14.6,14.4,8.9,13.0,16.1,0.3,0.3,0.2,0.0,0.6,0.4,0.2,2021-07,1,2021-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/wigan,415.0,371.0,44.0,91.0,323.0
http://landregistry.data.gov.uk/data/ukhpi/region/wigan/month/2021-08,154323,252560,150609.0,93215,214864.0,159286,124807,85.8,85.3,85.7,88.8,85.7,85.5,86.1,14.7,12.3,15.6,15.6,10.0,14.1,17.1,1.5,1.4,1.6,0.9,0.7,1.6,1.4,2021-08,1,2021-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/wigan,498.0,436.0,62.0,100.0,390.0
http://landregistry.data.gov.uk/data/ukhpi/region/wigan/month/2021-09,156243,256142,152421.0,93968,218041.0,161456,126094,86.8,86.5,86.7,89.5,87.0,86.6,87.0,14.9,12.3,15.9,15.7,9.9,14.6,17.1,1.2,1.4,1.2,0.8,1.5,1.4,1.0,2021-09,1,2021-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/wigan,721.0,642.0,79.0,162.0,558.0
http://landregistry.data.gov.uk/data/ukhpi/region/wigan/month/2021-10,157776,259689,154295.0,94488,216905.0,163018,127075,87.7,87.7,87.8,90.0,86.5,87.5,87.6,14.6,12.4,15.8,15.9,8.8,14.4,16.6,1.0,1.4,1.2,0.6,-0.5,1.0,0.8,2021-10,1,2021-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/wigan,348.0,298.0,50.0,72.0,273.0
http://landregistry.data.gov.uk/data/ukhpi/region/wigan/month/2021-11,158664,261905,155040.0,94820,219174.0,163959,127543,88.2,88.5,88.2,90.3,87.5,88.0,88.0,12.9,11.1,13.7,13.9,8.9,12.9,14.3,0.6,0.9,0.5,0.4,1.0,0.6,0.4,2021-11,1,2021-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/wigan,473.0,410.0,63.0,125.0,344.0
http://landregistry.data.gov.uk/data/ukhpi/region/wigan/month/2021-12,158048,261860,154533.0,93930,217529.0,163338,126786,87.9,88.5,87.9,89.5,86.8,87.7,87.4,11.6,10.4,12.2,12.2,8.1,11.6,12.4,-0.4,0.0,-0.3,-0.9,-0.8,-0.4,-0.6,2021-12,1,2021-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/wigan,497.0,403.0,94.0,90.0,400.0
http://landregistry.data.gov.uk/data/ukhpi/region/wigan/month/2022-01,159486,262957,156000.0,94576,218995.0,164990,128267,88.7,88.8,88.7,90.1,87.4,88.5,88.5,12.0,11.1,12.5,11.4,9.4,12.1,12.8,0.9,0.4,0.9,0.7,0.7,1.0,1.2,2022-01,1,2022-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/wigan,336.0,297.0,39.0,74.0,259.0
http://landregistry.data.gov.uk/data/ukhpi/region/wigan/month/2022-02,161210,265273,157717.0,95959,222398.0,166754,129784,89.6,89.6,89.7,91.4,88.7,89.5,89.5,11.6,11.2,12.0,10.2,9.7,11.7,11.9,1.1,0.9,1.1,1.5,1.6,1.1,1.2,2022-02,1,2022-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/wigan,451.0,411.0,40.0,90.0,361.0
