_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/wiltshire/month/2020-01,268257,424797,261475.0,142676,339915.0,262385,211363,81.5,81.5,80.8,85.2,84.0,81.4,80.4,-2.7,-3.0,-2.8,-4.0,-2.5,-2.2,-2.3,-0.7,-0.6,-0.8,-1.1,0.1,-0.7,-0.7,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/wiltshire,556.0,503.0,53.0,175.0,365.0
http://landregistry.data.gov.uk/data/ukhpi/region/wiltshire/month/2020-02,267739,424118,260840.0,142094,342098.0,261666,211219,81.4,81.3,80.6,84.8,84.6,81.1,80.3,-2.2,-2.5,-2.0,-3.8,-3.1,-1.8,-1.4,-0.2,-0.2,-0.2,-0.4,0.6,-0.3,-0.1,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/wiltshire,574.0,505.0,69.0,180.0,380.0
http://landregistry.data.gov.uk/data/ukhpi/region/wiltshire/month/2020-03,267763,424948,260466.0,141731,346885.0,261706,210936,81.4,81.5,80.5,84.6,85.7,81.1,80.2,-1.0,-1.2,-0.8,-2.4,-1.2,-0.7,-0.3,0.0,0.2,-0.1,-0.3,1.4,0.0,-0.1,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/wiltshire,548.0,458.0,90.0,176.0,352.0
http://landregistry.data.gov.uk/data/ukhpi/region/wiltshire/month/2020-04,270371,429900,262823.0,142351,351619.0,264045,213050,82.2,82.4,81.2,85.0,86.9,81.9,81.0,0.9,1.0,1.0,-1.0,0.6,1.0,1.3,1.0,1.2,0.9,0.4,1.4,0.9,1.0,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/wiltshire,217.0,175.0,42.0,55.0,157.0
http://landregistry.data.gov.uk/data/ukhpi/region/wiltshire/month/2020-05,271402,431313,263228.0,143102,357340.0,265501,213511,82.5,82.7,81.4,85.4,88.3,82.3,81.2,1.5,1.8,1.2,-0.1,3.6,1.7,1.5,0.4,0.3,0.2,0.5,1.6,0.6,0.2,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/wiltshire,273.0,249.0,24.0,80.0,185.0
http://landregistry.data.gov.uk/data/ukhpi/region/wiltshire/month/2020-06,273066,433174,265329.0,143743,356020.0,267338,215380,83.0,83.1,82.0,85.8,88.0,82.9,81.9,2.4,2.7,2.2,0.5,4.5,2.8,2.5,0.6,0.4,0.8,0.4,-0.4,0.7,0.9,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/wiltshire,467.0,396.0,71.0,131.0,329.0
http://landregistry.data.gov.uk/data/ukhpi/region/wiltshire/month/2020-07,273203,432669,265959.0,144377,352511.0,267503,215645,83.0,83.0,82.2,86.2,87.1,82.9,82.0,1.5,1.6,1.5,-0.1,2.2,1.9,1.7,0.1,-0.1,0.2,0.4,-1.0,0.1,0.1,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/wiltshire,515.0,449.0,66.0,162.0,343.0
http://landregistry.data.gov.uk/data/ukhpi/region/wiltshire/month/2020-08,274372,435198,267498.0,143700,351051.0,268542,216979,83.4,83.5,82.7,85.8,86.8,83.3,82.5,1.0,1.1,1.1,-1.1,1.0,1.4,1.3,0.4,0.6,0.6,-0.5,-0.4,0.4,0.6,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/wiltshire,533.0,464.0,69.0,141.0,379.0
http://landregistry.data.gov.uk/data/ukhpi/region/wiltshire/month/2020-09,277893,442320,270671.0,144493,357412.0,271798,219445,84.5,84.8,83.7,86.3,88.3,84.3,83.5,1.4,1.8,1.5,-1.4,1.2,1.9,1.5,1.3,1.6,1.2,0.6,1.8,1.2,1.1,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/wiltshire,642.0,576.0,66.0,186.0,444.0
http://landregistry.data.gov.uk/data/ukhpi/region/wiltshire/month/2020-10,279693,446298,272819.0,144450,356886.0,273208,220966,85.0,85.6,84.3,86.2,88.2,84.7,84.0,2.0,2.7,2.2,-1.3,1.6,2.2,2.2,0.6,0.9,0.8,0.0,-0.1,0.5,0.7,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/wiltshire,736.0,659.0,77.0,235.0,485.0
