_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/windsor-and-maidenhead/month/2020-01,478649,917057,481317.0,278848,360612.0,483299,389351,82.9,81.1,82.3,87.7,89.7,81.9,82.2,-3.8,-3.8,-3.6,-5.1,-5.1,-3.0,-2.9,-1.5,-1.5,-1.5,-1.5,-0.9,-1.5,-1.3,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/windsor-and-maidenhead,143.0,135.0,8.0,31.0,109.0
http://landregistry.data.gov.uk/data/ukhpi/region/windsor-and-maidenhead/month/2020-02,484141,929607,486644.0,281349,365487.0,488512,393973,83.8,82.2,83.2,88.4,90.9,82.8,83.1,-1.3,-0.8,-1.0,-3.4,-4.2,-0.5,-0.1,1.1,1.4,1.1,0.9,1.4,1.1,1.2,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/windsor-and-maidenhead,125.0,116.0,9.0,19.0,104.0
http://landregistry.data.gov.uk/data/ukhpi/region/windsor-and-maidenhead/month/2020-03,494078,949936,496144.0,287082,375837.0,498657,401189,85.6,84.0,84.9,90.2,93.4,84.5,84.7,1.6,2.2,1.9,-0.2,-0.5,2.4,2.5,2.1,2.2,2.0,2.0,2.8,2.1,1.8,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/windsor-and-maidenhead,145.0,136.0,9.0,31.0,114.0
http://landregistry.data.gov.uk/data/ukhpi/region/windsor-and-maidenhead/month/2020-04,494815,958095,496984.0,285426,375692.0,499089,402107,85.7,84.7,85.0,89.7,93.4,84.5,84.9,3.6,5.2,3.9,1.0,0.8,4.2,4.2,0.1,0.9,0.2,-0.6,0.0,0.1,0.2,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/windsor-and-maidenhead,66.0,64.0,2.0,19.0,47.0
http://landregistry.data.gov.uk/data/ukhpi/region/windsor-and-maidenhead/month/2020-05,493523,953827,494764.0,285846,381044.0,497513,400180,85.5,84.4,84.6,89.9,94.7,84.3,84.5,3.1,4.7,3.1,1.3,3.3,3.5,3.1,-0.3,-0.4,-0.4,0.1,1.4,-0.3,-0.5,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/windsor-and-maidenhead,50.0,49.0,1.0,15.0,35.0
http://landregistry.data.gov.uk/data/ukhpi/region/windsor-and-maidenhead/month/2020-06,482249,930095,483937.0,278318,369130.0,487364,392806,83.5,82.3,82.8,87.5,91.8,82.6,82.9,0.6,2.0,0.6,-1.4,0.7,1.1,0.8,-2.3,-2.5,-2.2,-2.6,-3.1,-2.0,-1.8,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/windsor-and-maidenhead,106.0,101.0,5.0,26.0,80.0
http://landregistry.data.gov.uk/data/ukhpi/region/windsor-and-maidenhead/month/2020-07,485133,931119,487301.0,280945,368061.0,490865,395367,84.0,82.4,83.4,88.3,91.5,83.2,83.4,-0.1,0.9,0.0,-1.9,-1.4,0.5,0.2,0.6,0.1,0.7,0.9,-0.3,0.7,0.7,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/windsor-and-maidenhead,140.0,129.0,11.0,32.0,103.0
http://landregistry.data.gov.uk/data/ukhpi/region/windsor-and-maidenhead/month/2020-08,480937,926222,483792.0,276494,359996.0,487304,393242,83.3,81.9,82.8,86.9,89.5,82.6,83.0,-1.2,-0.1,-1.0,-3.4,-3.3,-0.5,-0.6,-0.9,-0.5,-0.7,-1.6,-2.2,-0.7,-0.5,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/windsor-and-maidenhead,150.0,144.0,6.0,26.0,119.0
http://landregistry.data.gov.uk/data/ukhpi/region/windsor-and-maidenhead/month/2020-09,491272,951468,494196.0,281526,367685.0,497242,400887,85.1,84.2,84.5,88.5,91.4,84.2,84.6,0.4,1.9,0.7,-2.2,-2.5,1.3,0.8,2.1,2.7,2.2,1.8,2.1,2.0,1.9,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/windsor-and-maidenhead,165.0,141.0,24.0,33.0,130.0
http://landregistry.data.gov.uk/data/ukhpi/region/windsor-and-maidenhead/month/2020-10,497170,966584,500894.0,282879,366972.0,504029,406612,86.1,85.5,85.7,88.9,91.2,85.4,85.8,0.5,2.2,0.9,-2.5,-3.1,1.3,1.1,1.2,1.6,1.4,0.5,-0.2,1.4,1.4,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/windsor-and-maidenhead,194.0,170.0,24.0,46.0,145.0
http://landregistry.data.gov.uk/data/ukhpi/region/windsor-and-maidenhead/month/2020-11,501058,974485,505445.0,284593,365637.0,507944,410546,86.8,86.2,86.5,89.5,90.9,86.0,86.6,2.2,3.8,2.6,-0.8,-1.7,2.8,3.2,0.8,0.8,0.9,0.6,-0.4,0.8,1.0,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/windsor-and-maidenhead,189.0,183.0,6.0,34.0,152.0
http://landregistry.data.gov.uk/data/ukhpi/region/windsor-and-maidenhead/month/2020-12,502089,976514,506856.0,284642,363941.0,509100,412268,86.9,86.4,86.7,89.5,90.5,86.2,87.0,3.4,4.9,3.7,0.6,0.0,3.8,4.5,0.2,0.2,0.3,0.0,-0.5,0.2,0.4,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/windsor-and-maidenhead,233.0,227.0,6.0,50.0,181.0
http://landregistry.data.gov.uk/data/ukhpi/region/windsor-and-maidenhead/month/2021-01,500594,969007,505388.0,285550,362589.0,506938,410962,86.7,85.7,86.4,89.8,90.2,85.9,86.7,4.6,5.7,5.0,2.4,0.5,4.9,5.6,-0.3,-0.8,-0.3,0.3,-0.4,-0.4,-0.3,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/windsor-and-maidenhead,195.0,180.0,15.0,47.0,148.0
http://landregistry.data.gov.uk/data/ukhpi/region/windsor-and-maidenhead/month/2021-02,510948,981917,515589.0,293788,372420.0,517100,419750,88.5,86.9,88.2,92.4,92.6,87.6,88.6,5.5,5.6,5.9,4.4,1.9,5.9,6.5,2.1,1.3,2.0,2.9,2.7,2.0,2.1,2021-02,1,2021-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/windsor-and-maidenhead,245.0,234.0,11.0,47.0,198.0
http://landregistry.data.gov.uk/data/ukhpi/region/windsor-and-maidenhead/month/2021-03,515583,982979,519910.0,299569,379481.0,520955,423844,89.3,86.9,88.9,94.2,94.4,88.3,89.4,4.4,3.5,4.8,4.3,1.0,4.5,5.6,0.9,0.1,0.8,2.0,1.9,0.7,1.0,2021-03,1,2021-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/windsor-and-maidenhead,383.0,367.0,16.0,93.0,290.0
http://landregistry.data.gov.uk/data/ukhpi/region/windsor-and-maidenhead/month/2021-04,516811,984937,520738.0,300987,384853.0,521738,424561,89.5,87.1,89.1,94.6,95.7,88.4,89.6,4.4,2.8,4.8,5.5,2.4,4.5,5.6,0.2,0.2,0.2,0.5,1.4,0.2,0.2,2021-04,1,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/windsor-and-maidenhead,201.0,193.0,8.0,47.0,154.0
http://landregistry.data.gov.uk/data/ukhpi/region/windsor-and-maidenhead/month/2021-05,511226,976150,515112.0,297392,380679.0,515832,419549,88.5,86.3,88.1,93.5,94.6,87.4,88.5,3.6,2.3,4.1,4.0,-0.1,3.7,4.8,-1.1,-0.9,-1.1,-1.2,-1.1,-1.1,-1.2,2021-05,1,2021-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/windsor-and-maidenhead,169.0,163.0,6.0,45.0,124.0
http://landregistry.data.gov.uk/data/ukhpi/region/windsor-and-maidenhead/month/2021-06,514510,982852,518937.0,298215,377591.0,518930,423734,89.1,86.9,88.8,93.7,93.9,87.9,89.4,6.7,5.7,7.2,7.1,2.3,6.5,7.9,0.6,0.7,0.7,0.3,-0.8,0.6,1.0,2021-06,1,2021-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/windsor-and-maidenhead,584.0,567.0,17.0,130.0,454.0
http://landregistry.data.gov.uk/data/ukhpi/region/windsor-and-maidenhead/month/2021-07,513200,985909,517525.0,296113,377638.0,517481,421203,88.9,87.2,88.5,93.1,93.9,87.7,88.9,5.8,5.9,6.2,5.4,2.6,5.4,6.5,-0.3,0.3,-0.3,-0.7,0.0,-0.3,-0.6,2021-07,1,2021-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/windsor-and-maidenhead,79.0,72.0,7.0,25.0,54.0
