_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/wirral/month/2020-01,158384,285481,157025.0,100910,276502.0,177396,121355,78.7,78.5,78.2,83.7,87.4,78.3,77.0,2.1,1.6,2.1,0.3,2.0,2.5,2.5,0.4,0.5,0.3,0.1,1.4,0.4,0.4,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/wirral,319.0,308.0,11.0,109.0,207.0
http://landregistry.data.gov.uk/data/ukhpi/region/wirral/month/2020-02,152246,274838,150880.0,96678,268108.0,170354,116852,75.7,75.6,75.2,80.2,84.8,75.2,74.1,-2.0,-2.3,-1.9,-4.0,-3.2,-1.6,-1.5,-3.9,-3.7,-3.9,-4.2,-3.0,-4.0,-3.7,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/wirral,407.0,340.0,67.0,174.0,226.0
http://landregistry.data.gov.uk/data/ukhpi/region/wirral/month/2020-03,147744,267085,146341.0,93537,263059.0,165478,113275,73.4,73.5,72.9,77.6,83.2,73.1,71.9,-3.4,-3.7,-3.3,-5.2,-4.2,-3.0,-2.8,-3.0,-2.8,-3.0,-3.2,-1.9,-2.9,-3.1,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/wirral,347.0,313.0,34.0,112.0,227.0
http://landregistry.data.gov.uk/data/ukhpi/region/wirral/month/2020-04,145291,263553,143897.0,91281,259167.0,162578,111632,72.2,72.5,71.7,75.7,81.9,71.8,70.8,-4.3,-4.1,-4.2,-6.5,-5.4,-4.0,-3.9,-1.7,-1.3,-1.7,-2.4,-1.5,-1.8,-1.5,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/wirral,115.0,109.0,6.0,37.0,74.0
http://landregistry.data.gov.uk/data/ukhpi/region/wirral/month/2020-05,147740,268280,146207.0,92927,267282.0,165443,113258,73.4,73.8,72.8,77.1,84.5,73.1,71.9,-2.3,-1.6,-2.3,-4.2,-0.8,-2.1,-2.2,1.7,1.8,1.6,1.8,3.1,1.8,1.5,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/wirral,181.0,178.0,3.0,55.0,122.0
http://landregistry.data.gov.uk/data/ukhpi/region/wirral/month/2020-06,148858,270008,147390.0,93416,266850.0,166817,114188,74.0,74.3,73.4,77.5,84.4,73.7,72.4,-1.5,-0.7,-1.6,-3.8,0.2,-1.2,-1.5,0.8,0.6,0.8,0.5,-0.2,0.8,0.8,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/wirral,312.0,290.0,22.0,95.0,211.0
http://landregistry.data.gov.uk/data/ukhpi/region/wirral/month/2020-07,153156,276578,151747.0,96620,271227.0,171809,117412,76.1,76.1,75.6,80.2,85.8,75.9,74.5,-0.5,0.0,-0.5,-2.5,-0.1,-0.1,-0.7,2.9,2.4,3.0,3.4,1.6,3.0,2.8,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/wirral,360.0,354.0,6.0,114.0,238.0
http://landregistry.data.gov.uk/data/ukhpi/region/wirral/month/2020-08,159660,288423,158277.0,100153,279938.0,179318,122444,79.3,79.4,78.9,83.1,88.5,79.2,77.7,2.3,2.9,2.4,0.0,2.0,2.9,2.1,4.2,4.3,4.3,3.7,3.2,4.4,4.3,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/wirral,341.0,336.0,5.0,110.0,230.0
http://landregistry.data.gov.uk/data/ukhpi/region/wirral/month/2020-09,165087,298984,163649.0,103077,289701.0,185471,126572,82.0,82.3,81.5,85.5,91.6,81.9,80.3,3.7,4.4,3.7,0.8,2.7,4.5,3.2,3.4,3.7,3.4,2.9,3.5,3.4,3.4,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/wirral,389.0,384.0,5.0,114.0,271.0
http://landregistry.data.gov.uk/data/ukhpi/region/wirral/month/2020-10,165884,301424,164531.0,102929,288145.0,186448,127138,82.4,82.9,82.0,85.4,91.1,82.3,80.7,4.8,5.8,4.9,1.3,3.2,5.4,4.5,0.5,0.8,0.5,-0.1,-0.5,0.5,0.4,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/wirral,492.0,487.0,5.0,141.0,338.0
http://landregistry.data.gov.uk/data/ukhpi/region/wirral/month/2020-11,168258,305877,167015.0,104504,288239.0,188846,129131,83.6,84.2,83.2,86.7,91.1,83.4,81.9,6.8,7.9,6.9,3.4,4.8,7.1,6.9,1.4,1.5,1.5,1.5,0.0,1.3,1.6,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/wirral,455.0,449.0,6.0,140.0,308.0
