_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/wokingham/month/2020-01,415685,640953,401353.0,230504,496030.0,406011,304256,84.8,84.2,83.6,89.6,86.5,84.1,83.5,3.3,3.4,3.5,1.5,2.8,3.8,3.8,-0.5,-0.5,-0.7,-0.6,0.1,-0.6,-0.5,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/wokingham,169.0,141.0,28.0,37.0,128.0
http://landregistry.data.gov.uk/data/ukhpi/region/wokingham/month/2020-02,408706,629632,393753.0,226422,491169.0,398994,299886,83.4,82.8,82.0,88.0,85.6,82.7,82.3,0.6,0.7,1.1,-1.4,-0.7,1.0,1.5,-1.7,-1.8,-1.9,-1.8,-1.0,-1.7,-1.4,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/wokingham,187.0,136.0,51.0,36.0,142.0
http://landregistry.data.gov.uk/data/ukhpi/region/wokingham/month/2020-03,412004,634342,395312.0,228375,500889.0,402537,302068,84.1,83.4,82.3,88.8,87.3,83.4,82.9,2.2,2.2,2.4,0.6,1.8,2.7,2.9,0.8,0.7,0.4,0.9,2.0,0.9,0.7,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/wokingham,191.0,136.0,55.0,23.0,157.0
http://landregistry.data.gov.uk/data/ukhpi/region/wokingham/month/2020-04,420993,650689,403384.0,231941,513574.0,410650,308456,85.9,85.5,84.0,90.2,89.6,85.1,84.6,3.1,3.7,3.3,0.8,2.7,3.3,3.3,2.2,2.6,2.0,1.6,2.5,2.0,2.1,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/wokingham,64.0,46.0,18.0,5.0,57.0
http://landregistry.data.gov.uk/data/ukhpi/region/wokingham/month/2020-05,421970,651758,402488.0,233405,520434.0,411973,308124,86.1,85.7,83.8,90.7,90.8,85.4,84.5,4.6,5.3,4.0,3.0,6.3,4.8,4.1,0.2,0.2,-0.2,0.6,1.3,0.3,-0.1,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/wokingham,76.0,55.0,21.0,20.0,53.0
http://landregistry.data.gov.uk/data/ukhpi/region/wokingham/month/2020-06,420248,648543,402164.0,231580,514298.0,410772,307848,85.7,85.2,83.7,90.0,89.7,85.1,84.5,3.9,4.5,3.4,2.1,5.6,4.3,3.7,-0.4,-0.5,-0.1,-0.8,-1.2,-0.3,-0.1,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/wokingham,158.0,120.0,38.0,21.0,133.0
http://landregistry.data.gov.uk/data/ukhpi/region/wokingham/month/2020-07,415219,638774,398809.0,229645,503566.0,406292,304787,84.7,84.0,83.0,89.3,87.8,84.2,83.6,1.6,1.8,1.5,0.1,2.0,2.1,1.7,-1.2,-1.5,-0.8,-0.8,-2.1,-1.1,-1.0,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/wokingham,197.0,138.0,59.0,29.0,158.0
http://landregistry.data.gov.uk/data/ukhpi/region/wokingham/month/2020-08,419708,646824,404358.0,230206,505152.0,410816,308906,85.6,85.0,84.2,89.5,88.1,85.1,84.8,2.8,3.1,3.0,0.7,2.5,3.3,3.1,1.1,1.3,1.4,0.2,0.3,1.1,1.4,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/wokingham,199.0,143.0,56.0,21.0,176.0
http://landregistry.data.gov.uk/data/ukhpi/region/wokingham/month/2020-09,422760,653333,406772.0,230836,510406.0,413574,310720,86.3,85.9,84.7,89.7,89.0,85.7,85.3,3.0,3.6,3.3,0.4,2.3,3.5,3.0,0.7,1.0,0.6,0.3,1.0,0.7,0.6,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/wokingham,232.0,176.0,56.0,36.0,185.0
http://landregistry.data.gov.uk/data/ukhpi/region/wokingham/month/2020-10,425476,659214,410659.0,230566,509820.0,416016,313224,86.8,86.6,85.5,89.6,88.9,86.2,85.9,3.8,4.8,4.3,0.7,2.9,4.1,4.1,0.6,0.9,1.0,-0.1,-0.1,0.6,0.8,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/wokingham,266.0,215.0,51.0,43.0,218.0
