_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/wolverhampton/month/2020-01,153933,247790,152311.0,89031,217894.0,161965,129110,77.1,77.3,76.8,80.0,79.6,76.9,76.2,5.5,5.0,5.5,3.7,5.2,5.9,5.9,0.3,0.4,0.2,-0.2,1.2,0.3,0.3,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/wolverhampton,212.0,205.0,7.0,63.0,144.0
http://landregistry.data.gov.uk/data/ukhpi/region/wolverhampton/month/2020-02,154095,248212,152365.0,88964,220084.0,162053,129378,77.1,77.5,76.8,79.9,80.4,76.9,76.4,4.8,4.3,4.9,2.8,3.6,5.2,5.4,0.1,0.2,0.0,-0.1,1.0,0.1,0.2,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/wolverhampton,214.0,202.0,12.0,43.0,165.0
http://landregistry.data.gov.uk/data/ukhpi/region/wolverhampton/month/2020-03,151890,244914,150022.0,87405,219828.0,159781,127505,76.0,76.4,75.6,78.5,80.3,75.9,75.3,3.9,3.3,3.9,2.2,3.4,4.2,4.5,-1.4,-1.3,-1.5,-1.8,-0.1,-1.4,-1.4,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/wolverhampton,196.0,182.0,14.0,51.0,139.0
http://landregistry.data.gov.uk/data/ukhpi/region/wolverhampton/month/2020-04,149398,241132,147542.0,85530,216537.0,157136,125608,74.8,75.2,74.4,76.8,79.1,74.6,74.1,2.0,1.8,2.0,0.0,1.2,2.2,2.5,-1.6,-1.5,-1.7,-2.1,-1.5,-1.7,-1.5,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/wolverhampton,87.0,82.0,5.0,21.0,64.0
http://landregistry.data.gov.uk/data/ukhpi/region/wolverhampton/month/2020-05,148686,240236,146655.0,84870,218617.0,156564,124820,74.4,75.0,73.9,76.2,79.9,74.3,73.7,2.2,2.4,2.1,0.2,4.0,2.5,2.3,-0.5,-0.4,-0.6,-0.8,1.0,-0.4,-0.6,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/wolverhampton,119.0,105.0,14.0,26.0,87.0
http://landregistry.data.gov.uk/data/ukhpi/region/wolverhampton/month/2020-06,151223,244181,149301.0,86178,219981.0,159291,127013,75.7,76.2,75.3,77.4,80.4,75.6,75.0,3.4,3.8,3.3,1.0,5.4,3.8,3.5,1.7,1.6,1.8,1.5,0.6,1.7,1.8,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/wolverhampton,169.0,156.0,13.0,27.0,139.0
http://landregistry.data.gov.uk/data/ukhpi/region/wolverhampton/month/2020-07,152817,246147,151001.0,87498,220134.0,160954,128366,76.5,76.8,76.1,78.6,80.4,76.4,75.8,3.9,4.1,3.8,1.7,4.7,4.3,3.9,1.1,0.8,1.1,1.5,0.1,1.0,1.1,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/wolverhampton,191.0,187.0,4.0,53.0,136.0
http://landregistry.data.gov.uk/data/ukhpi/region/wolverhampton/month/2020-08,154763,249172,153030.0,88069,221117.0,163070,130265,77.5,77.8,77.1,79.1,80.8,77.4,76.9,3.1,3.2,3.1,0.6,3.3,3.6,3.2,1.3,1.2,1.3,0.7,0.4,1.3,1.5,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/wolverhampton,190.0,182.0,8.0,47.0,141.0
http://landregistry.data.gov.uk/data/ukhpi/region/wolverhampton/month/2020-09,154962,250052,153157.0,87606,222563.0,163281,130554,77.6,78.0,77.2,78.7,81.3,77.5,77.0,2.4,2.8,2.5,-0.7,2.4,3.1,2.4,0.1,0.4,0.1,-0.5,0.7,0.1,0.2,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/wolverhampton,187.0,180.0,7.0,36.0,147.0
http://landregistry.data.gov.uk/data/ukhpi/region/wolverhampton/month/2020-10,158119,256065,156405.0,88928,224963.0,166532,133236,79.2,79.9,78.8,79.9,82.2,79.1,78.6,3.7,4.4,3.7,0.1,3.1,4.1,3.7,2.0,2.4,2.1,1.5,1.1,2.0,2.1,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/wolverhampton,275.0,265.0,10.0,67.0,202.0
http://landregistry.data.gov.uk/data/ukhpi/region/wolverhampton/month/2020-11,159592,258781,158062.0,90065,223790.0,167746,134635,79.9,80.8,79.7,80.9,81.7,79.6,79.5,4.7,5.6,4.8,1.5,3.5,4.8,5.2,0.9,1.1,1.1,1.3,-0.5,0.7,1.1,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/wolverhampton,249.0,242.0,7.0,65.0,180.0
