_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/worcestershire/month/2020-01,231343,376825,227844.0,125316,303068.0,222922,177288,81.9,82.1,81.4,85.2,84.5,81.5,80.9,1.5,1.2,1.6,0.0,0.9,2.0,2.1,0.4,0.6,0.3,-0.1,1.0,0.4,0.3,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/worcestershire,614.0,575.0,39.0,208.0,389.0
http://landregistry.data.gov.uk/data/ukhpi/region/worcestershire/month/2020-02,230888,375866,227313.0,125307,304044.0,222375,177070,81.8,81.9,81.2,85.2,84.8,81.3,80.8,1.7,1.3,2.0,0.2,-0.5,2.2,2.6,-0.2,-0.3,-0.2,0.0,0.3,-0.2,-0.1,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/worcestershire,628.0,548.0,80.0,175.0,427.0
http://landregistry.data.gov.uk/data/ukhpi/region/worcestershire/month/2020-03,231739,378117,227713.0,125519,309965.0,223208,177269,82.1,82.4,81.3,85.4,86.5,81.6,80.9,2.7,2.5,2.9,1.3,1.6,3.2,3.2,0.4,0.6,0.2,0.2,1.9,0.4,0.1,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/worcestershire,699.0,590.0,109.0,178.0,489.0
http://landregistry.data.gov.uk/data/ukhpi/region/worcestershire/month/2020-04,230142,376081,226003.0,123726,309184.0,221589,176283,81.5,81.9,80.7,84.1,86.2,81.0,80.5,1.2,1.5,1.3,-1.0,0.4,1.5,1.4,-0.7,-0.5,-0.8,-1.4,-0.3,-0.7,-0.6,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/worcestershire,232.0,204.0,28.0,61.0,158.0
http://landregistry.data.gov.uk/data/ukhpi/region/worcestershire/month/2020-05,229427,375431,224715.0,122977,313675.0,221112,175332,81.2,81.8,80.2,83.6,87.5,80.8,80.0,1.3,2.0,1.0,-1.1,3.7,1.6,1.1,-0.3,-0.2,-0.6,-0.6,1.5,-0.2,-0.5,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/worcestershire,343.0,312.0,31.0,98.0,235.0
http://landregistry.data.gov.uk/data/ukhpi/region/worcestershire/month/2020-06,228218,372707,223866.0,122001,308921.0,220256,174839,80.8,81.2,79.9,83.0,86.2,80.5,79.8,-0.2,0.3,-0.5,-2.9,2.3,0.2,-0.2,-0.5,-0.7,-0.4,-0.8,-1.5,-0.4,-0.3,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/worcestershire,550.0,492.0,58.0,164.0,377.0
http://landregistry.data.gov.uk/data/ukhpi/region/worcestershire/month/2020-07,228718,371998,224820.0,123279,305221.0,220865,175619,81.0,81.0,80.3,83.8,85.1,80.7,80.2,0.0,0.0,-0.1,-2.1,0.8,0.5,0.2,0.2,-0.2,0.4,1.0,-1.2,0.3,0.4,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/worcestershire,620.0,573.0,47.0,156.0,449.0
http://landregistry.data.gov.uk/data/ukhpi/region/worcestershire/month/2020-08,232249,377746,228722.0,124406,305879.0,224281,178805,82.2,82.3,81.7,84.6,85.3,81.9,81.6,1.1,0.9,1.2,-1.1,0.4,1.7,1.6,1.5,1.5,1.7,0.9,0.2,1.5,1.8,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/worcestershire,652.0,598.0,54.0,171.0,463.0
http://landregistry.data.gov.uk/data/ukhpi/region/worcestershire/month/2020-09,235153,383264,231499.0,125476,310464.0,226857,180987,83.3,83.5,82.7,85.3,86.6,82.9,82.6,2.7,2.8,3.0,0.1,1.4,3.5,3.0,1.3,1.5,1.2,0.9,1.5,1.1,1.2,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/worcestershire,678.0,615.0,63.0,183.0,483.0
http://landregistry.data.gov.uk/data/ukhpi/region/worcestershire/month/2020-10,238289,389713,234781.0,126451,312818.0,229566,183157,84.4,84.9,83.8,86.0,87.3,83.9,83.6,4.0,4.5,4.3,1.2,2.5,4.4,4.2,1.3,1.7,1.4,0.8,0.8,1.2,1.2,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/worcestershire,884.0,828.0,56.0,269.0,598.0
