_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/wrexham/month/2020-01,148600,223962,146935.0,83661,218044.0,136265,109317,76.2,76.3,75.8,81.0,81.7,75.9,75.4,-0.9,-1.3,-0.9,-2.2,-1.5,-0.5,-0.6,-2.0,-2.0,-2.1,-2.4,-1.2,-2.1,-2.0,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/wrexham,119.0,112.0,7.0,31.0,88.0
http://landregistry.data.gov.uk/data/ukhpi/region/wrexham/month/2020-02,149850,225822,148181.0,84161,221522.0,137410,110321,76.9,77.0,76.5,81.5,83.0,76.6,76.1,-0.1,-0.5,0.0,-1.9,-1.9,0.3,0.3,0.8,0.8,0.8,0.6,1.6,0.8,0.9,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/wrexham,102.0,96.0,6.0,25.0,70.0
http://landregistry.data.gov.uk/data/ukhpi/region/wrexham/month/2020-03,153068,230839,151328.0,85566,228924.0,140406,112611,78.5,78.7,78.1,82.9,85.8,78.2,77.6,3.3,2.9,3.4,1.5,2.3,3.7,3.8,2.1,2.2,2.1,1.7,3.3,2.2,2.1,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/wrexham,133.0,123.0,10.0,43.0,81.0
http://landregistry.data.gov.uk/data/ukhpi/region/wrexham/month/2020-04,151704,228979,149956.0,84188,227546.0,139093,111736,77.8,78.0,77.4,81.5,85.3,77.5,77.0,0.0,-0.1,0.1,-2.2,-1.1,0.3,0.3,-0.9,-0.8,-0.9,-1.6,-0.6,-0.9,-0.8,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/wrexham,51.0,46.0,5.0,9.0,35.0
http://landregistry.data.gov.uk/data/ukhpi/region/wrexham/month/2020-05,150401,227058,148539.0,83502,229051.0,137915,110708,77.2,77.4,76.7,80.9,85.8,76.8,76.3,0.1,0.3,0.1,-1.9,1.7,0.3,0.1,-0.9,-0.8,-0.9,-0.8,0.7,-0.8,-0.9,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/wrexham,55.0,52.0,3.0,17.0,36.0
http://landregistry.data.gov.uk/data/ukhpi/region/wrexham/month/2020-06,148968,224774,147206.0,82436,224700.0,136758,109629,76.4,76.6,76.0,79.8,84.2,76.2,75.6,-1.7,-1.6,-1.8,-4.1,-0.1,-1.4,-1.9,-1.0,-1.0,-0.9,-1.3,-1.9,-0.8,-1.0,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/wrexham,79.0,72.0,7.0,19.0,58.0
http://landregistry.data.gov.uk/data/ukhpi/region/wrexham/month/2020-07,152538,229871,150835.0,84862,227317.0,140124,112218,78.2,78.3,77.8,82.2,85.2,78.1,77.4,-0.3,-0.2,-0.2,-2.5,-0.1,0.1,-0.6,2.4,2.3,2.5,2.9,1.2,2.5,2.4,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/wrexham,87.0,83.0,4.0,25.0,56.0
http://landregistry.data.gov.uk/data/ukhpi/region/wrexham/month/2020-08,153044,230641,151415.0,84620,225913.0,140642,112685,78.5,78.6,78.1,82.0,84.7,78.4,77.7,-1.4,-1.4,-1.3,-3.8,-1.8,-0.8,-1.7,0.3,0.3,0.4,-0.3,-0.6,0.4,0.4,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/wrexham,109.0,101.0,8.0,28.0,79.0
http://landregistry.data.gov.uk/data/ukhpi/region/wrexham/month/2020-09,154438,233231,152751.0,84904,229115.0,141737,113733,79.2,79.5,78.8,82.2,85.9,79.0,78.4,-0.8,-0.6,-0.7,-3.8,-1.5,-0.2,-1.2,0.9,1.1,0.9,0.3,1.4,0.8,0.9,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/wrexham,117.0,116.0,1.0,26.0,85.0
http://landregistry.data.gov.uk/data/ukhpi/region/wrexham/month/2020-10,156280,236695,154651.0,85151,229808.0,143267,115026,80.2,80.7,79.8,82.5,86.1,79.8,79.3,0.2,0.7,0.3,-3.6,-0.8,0.5,-0.1,1.2,1.5,1.2,0.3,0.3,1.1,1.1,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/wrexham,161.0,158.0,3.0,44.0,114.0
