_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/york/month/2020-01,249815,412971,248849.0,157931,270939.0,263092,225534,81.3,81.2,81.1,84.5,84.8,80.8,80.1,1.4,1.2,1.3,-0.2,0.9,1.8,1.9,1.4,1.5,1.4,1.2,2.3,1.3,1.6,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/york,186.0,177.0,9.0,61.0,121.0
http://landregistry.data.gov.uk/data/ukhpi/region/york/month/2020-02,250084,413305,249055.0,157802,272773.0,263303,226136,81.4,81.2,81.1,84.5,85.4,80.9,80.3,1.0,0.9,1.1,-1.2,-1.0,1.5,1.8,0.1,0.1,0.1,-0.1,0.7,0.1,0.3,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/york,233.0,226.0,7.0,69.0,158.0
http://landregistry.data.gov.uk/data/ukhpi/region/york/month/2020-03,251357,415185,250126.0,158618,278595.0,264559,227425,81.8,81.6,81.5,84.9,87.2,81.3,80.8,1.1,0.9,1.2,-0.7,0.7,1.5,1.9,0.5,0.5,0.4,0.5,2.1,0.5,0.6,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/york,211.0,199.0,12.0,71.0,135.0
http://landregistry.data.gov.uk/data/ukhpi/region/york/month/2020-04,251260,416077,249998.0,157355,279165.0,264608,227878,81.7,81.8,81.4,84.2,87.4,81.3,80.9,1.0,1.4,1.0,-1.4,0.7,1.4,1.7,0.0,0.2,-0.1,-0.8,0.2,0.0,0.2,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/york,78.0,71.0,7.0,23.0,53.0
http://landregistry.data.gov.uk/data/ukhpi/region/york/month/2020-05,253489,419723,252038.0,158901,285488.0,267310,229469,82.5,82.5,82.1,85.0,89.4,82.1,81.5,2.7,3.3,2.6,0.7,5.2,3.1,3.0,0.9,0.9,0.8,1.0,2.3,1.0,0.7,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/york,105.0,103.0,2.0,32.0,72.0
http://landregistry.data.gov.uk/data/ukhpi/region/york/month/2020-06,252689,418024,251391.0,157878,281433.0,266755,229072,82.2,82.2,81.9,84.5,88.1,81.9,81.4,2.3,2.9,2.2,-0.1,4.6,2.8,2.8,-0.3,-0.4,-0.3,-0.6,-1.4,-0.2,-0.2,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/york,182.0,177.0,5.0,57.0,124.0
http://landregistry.data.gov.uk/data/ukhpi/region/york/month/2020-07,250691,413274,249538.0,157541,276315.0,264483,227129,81.6,81.2,81.3,84.3,86.5,81.2,80.7,1.4,1.7,1.4,-0.4,2.2,1.9,1.7,-0.8,-1.1,-0.7,-0.2,-1.8,-0.9,-0.8,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/york,201.0,188.0,13.0,63.0,131.0
http://landregistry.data.gov.uk/data/ukhpi/region/york/month/2020-08,249520,411392,248481.0,156021,272650.0,263183,226793,81.2,80.9,80.9,83.5,85.4,80.8,80.6,-0.5,-0.2,-0.4,-2.6,-0.6,0.1,0.1,-0.5,-0.5,-0.4,-1.0,-1.3,-0.5,-0.1,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/york,192.0,181.0,11.0,52.0,131.0
http://landregistry.data.gov.uk/data/ukhpi/region/york/month/2020-09,250404,413973,249288.0,156285,275164.0,264011,227540,81.5,81.4,81.2,83.6,86.2,81.1,80.8,-0.9,-0.3,-0.9,-3.2,-1.3,-0.2,-0.6,0.4,0.6,0.3,0.2,0.9,0.3,0.3,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/york,262.0,246.0,16.0,72.0,182.0
http://landregistry.data.gov.uk/data/ukhpi/region/york/month/2020-10,254470,422558,253465.0,157980,276913.0,268464,231153,82.8,83.0,82.6,84.5,86.7,82.5,82.1,1.6,2.5,1.6,-1.1,0.5,2.1,1.9,1.6,2.1,1.7,1.1,0.6,1.7,1.6,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/york,298.0,286.0,12.0,80.0,211.0
