_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_sa,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_sa,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/yorkshire-and-the-humber/month/2020-01,154883,264039,151246.0,105720,228051.0,156171,157428,122166,80.8,81.0,80.1,85.0,84.5,81.5,80.4,80.1,2.6,1.7,2.4,1.3,5.3,3.1,3.2,-0.7,-0.5,-1.2,-0.7,5.6,-0.6,-0.9,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,5838.0,5409.0,429.0,1644.0,4078.0
http://landregistry.data.gov.uk/data/ukhpi/region/yorkshire-and-the-humber/month/2020-02,154695,263880,151823.0,104444,218872.0,156675,157133,122436,80.7,81.0,80.4,84.0,81.1,81.8,80.3,80.3,3.2,2.4,3.8,0.1,-1.4,3.7,4.2,-0.1,-0.1,0.4,-1.2,-4.0,-0.2,0.2,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,5569.0,5099.0,470.0,1622.0,3826.0
http://landregistry.data.gov.uk/data/ukhpi/region/yorkshire-and-the-humber/month/2020-03,155643,266033,152353.0,105972,224844.0,157496,157978,122806,81.2,81.6,80.7,85.2,83.3,82.2,80.7,80.5,2.9,2.8,2.9,1.8,2.7,2.9,3.1,0.6,0.8,0.3,1.5,2.7,0.5,0.3,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,5554.0,4954.0,600.0,1554.0,3830.0
http://landregistry.data.gov.uk/data/ukhpi/region/yorkshire-and-the-humber/month/2020-04,150730,259427,147025.0,99475,223920.0,151224,153058,119289,78.7,79.6,77.9,80.0,82.9,78.9,78.2,78.2,-1.0,-0.3,-1.3,-4.8,1.3,-0.8,-0.8,-3.2,-2.5,-3.5,-6.1,-0.4,-3.1,-2.9,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,2341.0,2121.0,220.0,630.0,1649.0
http://landregistry.data.gov.uk/data/ukhpi/region/yorkshire-and-the-humber/month/2020-05,155276,266933,151504.0,104414,230136.0,155170,158217,121852,81.0,81.9,80.3,84.0,85.2,81.0,80.8,79.9,1.7,2.6,1.3,-0.2,5.4,2.2,1.0,3.0,2.9,3.0,5.0,2.8,3.4,2.1,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,3337.0,3166.0,171.0,980.0,2299.0
http://landregistry.data.gov.uk/data/ukhpi/region/yorkshire-and-the-humber/month/2020-06,158072,268585,155329.0,106345,221473.0,157119,160959,125256,82.5,82.4,82.3,85.5,82.0,82.0,82.2,82.1,2.6,2.3,2.8,0.5,2.1,3.0,3.0,1.8,0.6,2.5,1.8,-3.8,1.7,2.8,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,5015.0,4539.0,476.0,1428.0,3503.0
http://landregistry.data.gov.uk/data/ukhpi/region/yorkshire-and-the-humber/month/2020-07,158824,270159,155536.0,107313,228624.0,158316,161532,125764,82.9,82.9,82.4,86.3,84.7,82.6,82.5,82.5,2.3,2.5,2.5,0.0,1.0,2.9,2.1,0.5,0.6,0.1,0.9,3.2,0.4,0.4,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,5531.0,5027.0,504.0,1630.0,3800.0
http://landregistry.data.gov.uk/data/ukhpi/region/yorkshire-and-the-humber/month/2020-08,160951,275084,157668.0,107142,231123.0,159947,163946,127293,84.0,84.4,83.5,86.1,85.6,83.5,83.7,83.5,3.3,3.4,3.3,0.7,4.5,4.3,2.9,1.3,1.8,1.4,-0.2,1.1,1.5,1.2,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,5861.0,5274.0,587.0,1647.0,4087.0
http://landregistry.data.gov.uk/data/ukhpi/region/yorkshire-and-the-humber/month/2020-09,161730,276629,158622.0,108282,230030.0,161077,164169,128143,84.4,84.9,84.0,87.1,85.2,84.1,83.8,84.0,3.9,4.3,4.1,0.6,2.7,4.5,3.8,0.5,0.6,0.6,1.1,-0.5,0.1,0.7,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,6532.0,5958.0,574.0,1857.0,4571.0
http://landregistry.data.gov.uk/data/ukhpi/region/yorkshire-and-the-humber/month/2020-10,164114,282020,161223.0,108553,230411.0,164093,166601,129999,85.6,86.5,85.4,87.3,85.3,85.6,85.1,85.3,4.9,6.1,5.4,1.4,1.7,4.6,5.4,1.5,1.9,1.6,0.3,0.2,1.5,1.4,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,8211.0,7548.0,663.0,2439.0,5579.0
http://landregistry.data.gov.uk/data/ukhpi/region/yorkshire-and-the-humber/month/2020-11,167676,287250,164998.0,111743,232315.0,167142,170050,133011,87.5,88.1,87.4,89.8,86.0,87.2,86.8,87.2,8.0,8.6,8.2,6.0,8.2,7.8,8.5,2.2,1.9,2.3,2.9,0.8,2.1,2.3,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,7884.0,7366.0,518.0,2305.0,5420.0
http://landregistry.data.gov.uk/data/ukhpi/region/yorkshire-and-the-humber/month/2020-12,168778,289113,165996.0,111945,234808.0,168147,170975,134253,88.1,88.7,87.9,90.0,87.0,87.7,87.3,88.0,8.2,9.0,8.4,5.2,8.7,8.0,8.9,0.7,0.6,0.6,0.2,1.1,0.5,0.9,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,8328.0,7669.0,659.0,2535.0,5569.0
http://landregistry.data.gov.uk/data/ukhpi/region/yorkshire-and-the-humber/month/2021-01,170388,286723,167941.0,116615,233031.0,170048,173151,135686,88.9,88.0,89.0,93.8,86.3,88.7,88.4,89.0,10.0,8.6,11.0,10.3,2.2,10.0,11.1,1.0,-0.8,1.2,4.2,-0.8,1.3,1.1,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,6660.0,6089.0,571.0,2025.0,4629.0
http://landregistry.data.gov.uk/data/ukhpi/region/yorkshire-and-the-humber/month/2021-02,171334,287934,168702.0,117084,236648.0,171335,173680,137027,89.4,88.3,89.4,94.1,87.6,89.4,88.7,89.9,10.8,9.1,11.1,12.1,8.1,10.5,11.9,0.6,0.4,0.5,0.4,1.6,0.3,1.0,2021-02,1,2021-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,8404.0,7758.0,646.0,2509.0,5887.0
http://landregistry.data.gov.uk/data/ukhpi/region/yorkshire-and-the-humber/month/2021-03,172745,289738,169940.0,118959,240661.0,172658,174665,138492,90.1,88.9,90.0,95.6,89.1,90.1,89.2,90.8,11.0,8.9,11.5,12.3,7.0,10.6,12.8,0.8,0.6,0.7,1.6,1.7,0.6,1.1,2021-03,1,2021-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,11158.0,10080.0,1078.0,3501.0,7643.0
http://landregistry.data.gov.uk/data/ukhpi/region/yorkshire-and-the-humber/month/2021-04,169361,284729,166371.0,115602,239260.0,171157,171606,135516,88.4,87.4,88.1,92.9,88.6,89.3,87.6,88.9,12.4,9.8,13.2,16.2,6.9,12.1,13.6,-2.0,-1.7,-2.1,-2.8,-0.6,-1.8,-2.1,2021-04,1,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,8005.0,7253.0,752.0,2352.0,5645.0
http://landregistry.data.gov.uk/data/ukhpi/region/yorkshire-and-the-humber/month/2021-05,171213,288597,168508.0,116220,237499.0,171522,173278,137106,89.3,88.5,89.3,93.4,87.9,89.5,88.5,89.9,10.3,8.1,11.2,11.3,3.2,9.5,12.5,1.1,1.4,1.3,0.5,-0.7,1.0,1.2,2021-05,1,2021-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,7225.0,6499.0,726.0,2075.0,5141.0
http://landregistry.data.gov.uk/data/ukhpi/region/yorkshire-and-the-humber/month/2021-06,184117,305968,181961.0,126382,245336.0,184083,185496,149409,96.1,93.9,96.4,101.6,90.9,96.1,94.7,98.0,16.5,13.9,17.1,18.8,10.8,15.2,19.3,7.5,6.0,8.0,8.7,3.3,7.1,9.0,2021-06,1,2021-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,12697.0,11505.0,1192.0,3897.0,8788.0
http://landregistry.data.gov.uk/data/ukhpi/region/yorkshire-and-the-humber/month/2021-07,169009,285562,165762.0,113375,242459.0,168306,172078,134576,88.2,87.6,87.8,91.2,89.8,87.8,87.9,88.3,6.4,5.7,6.6,5.6,6.1,6.5,7.0,-8.2,-6.7,-8.9,-10.3,-1.2,-7.2,-9.9,2021-07,1,2021-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,6580.0,6142.0,438.0,1848.0,4720.0
