transx,addr,paon,saon,street,town,county,postcode,amount,date,category,record_status,property_type,estate_type,transaction_id
http://landregistry.data.gov.uk/data/ppi/transaction/FE956BC9-E31C-40E0-A0FC-E923B7B74DE8/current,http://landregistry.data.gov.uk/data/ppi/address/1c2baf9a2f19d21c284f40d378592f78a0a72f2c,"ST. JAMES HOUSE, 20",FLAT 8,BEDFORD ROAD,GUILDFORD,SURREY,GU1 4SJ,135000,2004-04-15,Standard price paid transaction,http://landregistry.data.gov.uk/def/ppi/add,flat-maisonette,Leasehold,FE956BC9-E31C-40E0-A0FC-E923B7B74DE8
http://landregistry.data.gov.uk/data/ppi/transaction/0331AD50-3A13-4354-8726-D56C49DD0826/current,http://landregistry.data.gov.uk/data/ppi/address/2f4bf3b6b51d412ce642411cfba7abd105a29104,"ST. JAMES HOUSE, 20",FLAT 5,BEDFORD ROAD,GUILDFORD,SURREY,GU1 4SJ,135000,2004-04-15,Standard price paid transaction,http://landregistry.data.gov.uk/def/ppi/add,flat-maisonette,Leasehold,0331AD50-3A13-4354-8726-D56C49DD0826
http://landregistry.data.gov.uk/data/ppi/transaction/2B94EF3C-7354-42E4-B729-E96D74568C65/current,http://landregistry.data.gov.uk/data/ppi/address/3ad9c7924e7b3da5bd838235cf6c0b60c5d8e0d0,"ST. JAMES HOUSE, 20",FLAT 1,BEDFORD ROAD,GUILDFORD,SURREY,GU1 4SJ,135000,2004-04-15,Standard price paid transaction,http://landregistry.data.gov.uk/def/ppi/add,flat-maisonette,Leasehold,2B94EF3C-7354-42E4-B729-E96D74568C65
http://landregistry.data.gov.uk/data/ppi/transaction/FDD4A649-E8DF-4847-BD5D-7E769ACF3A8B/current,http://landregistry.data.gov.uk/data/ppi/address/4410f473c9d605fa94acc0bb0e4d7b132e906263,"ST. JAMES HOUSE, 20",FLAT 10,BEDFORD ROAD,GUILDFORD,SURREY,GU1 4SJ,135000,2004-04-15,Standard price paid transaction,http://landregistry.data.gov.uk/def/ppi/add,flat-maisonette,Leasehold,FDD4A649-E8DF-4847-BD5D-7E769ACF3A8B
http://landregistry.data.gov.uk/data/ppi/transaction/75C0804A-765D-4D5A-8FDD-7530C960DF40/current,http://landregistry.data.gov.uk/data/ppi/address/598e69b7ec15641cfe8f5db262adfedaecfdca44,"ST. JAMES HOUSE, 20",FLAT 2,BEDFORD ROAD,GUILDFORD,SURREY,GU1 4SJ,135000,2004-04-15,Standard price paid transaction,http://landregistry.data.gov.uk/def/ppi/add,flat-maisonette,Leasehold,75C0804A-765D-4D5A-8FDD-7530C960DF40
http://landregistry.data.gov.uk/data/ppi/transaction/E1C5712E-341F-4D13-9E2C-C264D0ADE81F/current,http://landregistry.data.gov.uk/data/ppi/address/62fed93ab2345e64e87997f5e25d9dcaebc17540,"ST. JAMES HOUSE, 20",FLAT 7,BEDFORD ROAD,GUILDFORD,SURREY,GU1 4SJ,135000,2004-04-15,Standard price paid transaction,http://landregistry.data.gov.uk/def/ppi/add,flat-maisonette,Leasehold,E1C5712E-341F-4D13-9E2C-C264D0ADE81F
http://landregistry.data.gov.uk/data/ppi/transaction/CFA9E3FE-5F79-496D-BFB0-9DA5BBDA2B23/current,http://landregistry.data.gov.uk/data/ppi/address/6d8e9ff2e53c2c9f01b406bb2a7884d9781e0c0f,"ST. JAMES HOUSE, 20",FLAT 9,BEDFORD ROAD,GUILDFORD,SURREY,GU1 4SJ,135000,2004-04-15,Standard price paid transaction,http://landregistry.data.gov.uk/def/ppi/add,flat-maisonette,Leasehold,CFA9E3FE-5F79-496D-BFB0-9DA5BBDA2B23
http://landregistry.data.gov.uk/data/ppi/transaction/90D3F7B5-B1AC-4650-AAD8-C447A2B18293/current,http://landregistry.data.gov.uk/data/ppi/address/79424c5a3197e000b8ad376277c347ec4c2e95bf,"ST. JAMES HOUSE, 20",FLAT 4,BEDFORD ROAD,GUILDFORD,SURREY,GU1 4SJ,135000,2004-04-15,Standard price paid transaction,http://landregistry.data.gov.uk/def/ppi/add,flat-maisonette,Leasehold,90D3F7B5-B1AC-4650-AAD8-C447A2B18293
http://landregistry.data.gov.uk/data/ppi/transaction/51B47761-44F6-49CD-A64E-CB6E1EF695C4/current,http://landregistry.data.gov.uk/data/ppi/address/8c5d23c2fcf38505bd950cbbb6cddd72ccfcd582,"ST. JAMES HOUSE, 20",FLAT 3,BEDFORD ROAD,GUILDFORD,SURREY,GU1 4SJ,135000,2004-04-15,Standard price paid transaction,http://landregistry.data.gov.uk/def/ppi/add,flat-maisonette,Leasehold,51B47761-44F6-49CD-A64E-CB6E1EF695C4
http://landregistry.data.gov.uk/data/ppi/transaction/87DE570A-7A1C-4257-8793-6DB39610FDA5/current,http://landregistry.data.gov.uk/data/ppi/address/8da3260e6efd68c92c18d6599398951ebeb58d79,"ST. JAMES HOUSE, 20",FLAT 11,BEDFORD ROAD,GUILDFORD,SURREY,GU1 4SJ,135000,2004-04-15,Standard price paid transaction,http://landregistry.data.gov.uk/def/ppi/add,flat-maisonette,Leasehold,87DE570A-7A1C-4257-8793-6DB39610FDA5
