transx,addr,paon,street,town,county,postcode,amount,date,category,record_status,property_type,estate_type,transaction_id
http://landregistry.data.gov.uk/data/ppi/transaction/DFD24766-D42C-4B51-8E90-804651B8D663/current,http://landregistry.data.gov.uk/data/ppi/address/1d643b3dc3441033cba77fe83caa63a26cafab81,24,APPLEGARTH AVENUE,GUILDFORD,SURREY,GU2 8LY,50000,1995-06-20,Standard price paid transaction,http://landregistry.data.gov.uk/def/ppi/add,semi-detached,Freehold,DFD24766-D42C-4B51-8E90-804651B8D663
http://landregistry.data.gov.uk/data/ppi/transaction/F4D644C1-6A66-49B1-9E3A-51B5E7BF23A1/current,http://landregistry.data.gov.uk/data/ppi/address/97e4a08c6567be32971eeada1e82d52be2a9657b,44,APPLEGARTH AVENUE,GUILDFORD,SURREY,GU2 8LY,83000,1995-09-01,Standard price paid transaction,http://landregistry.data.gov.uk/def/ppi/add,semi-detached,Freehold,F4D644C1-6A66-49B1-9E3A-51B5E7BF23A1
http://landregistry.data.gov.uk/data/ppi/transaction/3CCA342E-A591-4129-9AC2-68BA23E3E838/current,http://landregistry.data.gov.uk/data/ppi/address/57ebee6283a72b15bd1ffc1fb29956197e7f4fb2,18,APPLEGARTH AVENUE,GUILDFORD,SURREY,GU2 8LY,89000,1999-12-31,Standard price paid transaction,http://landregistry.data.gov.uk/def/ppi/add,terraced,Freehold,3CCA342E-A591-4129-9AC2-68BA23E3E838
http://landregistry.data.gov.uk/data/ppi/transaction/70681632-A5D7-4A66-B46B-385CBA24F75B/current,http://landregistry.data.gov.uk/data/ppi/address/17ca75ac7e5199a9f5472beaaede3208c3a96282,40,APPLEGARTH AVENUE,GUILDFORD,SURREY,GU2 8LY,95000,1997-10-22,Standard price paid transaction,http://landregistry.data.gov.uk/def/ppi/add,semi-detached,Freehold,70681632-A5D7-4A66-B46B-385CBA24F75B
http://landregistry.data.gov.uk/data/ppi/transaction/885214A1-06FC-41D3-B433-BB9B05575148/current,http://landregistry.data.gov.uk/data/ppi/address/d3ab0f1f9d0d2c4591170abb0eb2e3a5f2bb3527,30A,APPLEGARTH AVENUE,GUILDFORD,SURREY,GU2 8LY,115000,1997-09-15,Standard price paid transaction,http://landregistry.data.gov.uk/def/ppi/add,semi-detached,Freehold,885214A1-06FC-41D3-B433-BB9B05575148
http://landregistry.data.gov.uk/data/ppi/transaction/D5C456F2-0468-4121-BDCB-579308740CF0/current,http://landregistry.data.gov.uk/data/ppi/address/57ebee6283a72b15bd1ffc1fb29956197e7f4fb2,18,APPLEGARTH AVENUE,GUILDFORD,SURREY,GU2 8LY,133000,2000-11-10,Standard price paid transaction,http://landregistry.data.gov.uk/def/ppi/add,terraced,Freehold,D5C456F2-0468-4121-BDCB-579308740CF0
http://landregistry.data.gov.uk/data/ppi/transaction/607A6F47-F2E2-4D29-B931-7D96B2C2AD52/current,http://landregistry.data.gov.uk/data/ppi/address/1d643b3dc3441033cba77fe83caa63a26cafab81,24,APPLEGARTH AVENUE,GUILDFORD,SURREY,GU2 8LY,135000,2001-10-29,Standard price paid transaction,http://landregistry.data.gov.uk/def/ppi/add,semi-detached,Freehold,607A6F47-F2E2-4D29-B931-7D96B2C2AD52
http://landregistry.data.gov.uk/data/ppi/transaction/0DE5E26F-F322-4E77-B455-4B98BC64849E/current,http://landregistry.data.gov.uk/data/ppi/address/d576917b0e43067bd3e11ae856e5fb9a7b426dd7,26,APPLEGARTH AVENUE,GUILDFORD,SURREY,GU2 8LY,135000,1999-09-17,Standard price paid transaction,http://landregistry.data.gov.uk/def/ppi/add,semi-detached,Freehold,0DE5E26F-F322-4E77-B455-4B98BC64849E
http://landregistry.data.gov.uk/data/ppi/transaction/AEEEE293-0F08-46C1-BB53-D18BBD0801F6/current,http://landregistry.data.gov.uk/data/ppi/address/90a70fad7528941b7f792be1384fc8c28cfbf63e,20,APPLEGARTH AVENUE,GUILDFORD,SURREY,GU2 8LY,195000,2003-09-04,Standard price paid transaction,http://landregistry.data.gov.uk/def/ppi/add,semi-detached,Freehold,AEEEE293-0F08-46C1-BB53-D18BBD0801F6
http://landregistry.data.gov.uk/data/ppi/transaction/29CA59BF-9F0F-45B9-A1C9-011C0F4D87A6/current,http://landregistry.data.gov.uk/data/ppi/address/e8ca216f034b6571fed24fb6a7c2007a8d242599,50,APPLEGARTH AVENUE,GUILDFORD,SURREY,GU2 8LY,195000,2004-10-22,Standard price paid transaction,http://landregistry.data.gov.uk/def/ppi/add,semi-detached,Freehold,29CA59BF-9F0F-45B9-A1C9-011C0F4D87A6
