transx,addr,paon,street,town,county,postcode,amount,date,category,record_status,property_type,estate_type,transaction_id
http://landregistry.data.gov.uk/data/ppi/transaction/B38DCB38-A98D-4988-83A5-FBC1D8710008/current,http://landregistry.data.gov.uk/data/ppi/address/21372ac3a82c52699fb4e3205046f19d2af79008,44,AUCTIONEERS WAY,NORTHAMPTON,NORTHAMPTONSHIRE,NN1 1HF,82950,2000-11-03,Standard price paid transaction,http://landregistry.data.gov.uk/def/ppi/add,flat-maisonette,Leasehold,B38DCB38-A98D-4988-83A5-FBC1D8710008
http://landregistry.data.gov.uk/data/ppi/transaction/061B7554-81DE-4D50-ACEA-C1E8A5242ECC/current,http://landregistry.data.gov.uk/data/ppi/address/b1b358b4548f1588b74d88d978be528bcfabe79a,43,AUCTIONEERS WAY,NORTHAMPTON,NORTHAMPTONSHIRE,NN1 1HF,82950,2000-10-12,Standard price paid transaction,http://landregistry.data.gov.uk/def/ppi/add,flat-maisonette,Leasehold,061B7554-81DE-4D50-ACEA-C1E8A5242ECC
http://landregistry.data.gov.uk/data/ppi/transaction/36C0C74D-747A-4323-8BCA-788707479B02/current,http://landregistry.data.gov.uk/data/ppi/address/eb55653cf117b535dd12474bcfecd13ac4f0af47,45,AUCTIONEERS WAY,NORTHAMPTON,NORTHAMPTONSHIRE,NN1 1HF,82995,2000-09-01,Standard price paid transaction,http://landregistry.data.gov.uk/def/ppi/add,flat-maisonette,Leasehold,36C0C74D-747A-4323-8BCA-788707479B02
http://landregistry.data.gov.uk/data/ppi/transaction/7535F938-40CC-4109-AA6E-D5048F990B6F/current,http://landregistry.data.gov.uk/data/ppi/address/38972a997dd103582f5c66fe3ee7b8f760221f2c,46,AUCTIONEERS WAY,NORTHAMPTON,NORTHAMPTONSHIRE,NN1 1HF,93950,2000-09-01,Standard price paid transaction,http://landregistry.data.gov.uk/def/ppi/add,flat-maisonette,Leasehold,7535F938-40CC-4109-AA6E-D5048F990B6F
http://landregistry.data.gov.uk/data/ppi/transaction/442E0FBD-0D5B-4849-A6CC-A60B533BEBA5/current,http://landregistry.data.gov.uk/data/ppi/address/b1b358b4548f1588b74d88d978be528bcfabe79a,43,AUCTIONEERS WAY,NORTHAMPTON,NORTHAMPTONSHIRE,NN1 1HF,108000,2003-07-02,Standard price paid transaction,http://landregistry.data.gov.uk/def/ppi/add,flat-maisonette,Leasehold,442E0FBD-0D5B-4849-A6CC-A60B533BEBA5
http://landregistry.data.gov.uk/data/ppi/transaction/BA13ECE9-6080-435E-B057-67B206BE8D9D/current,http://landregistry.data.gov.uk/data/ppi/address/fafda0f037c9199ab5258eb0a4e29869ef0ffa6d,45,AUCTIONEERS WAY,NORTHAMPTON,NORTHAMPTONSHIRE,NN1 1HF,119000,2004-03-11,Standard price paid transaction,http://landregistry.data.gov.uk/def/ppi/add,flat-maisonette,Leasehold,BA13ECE9-6080-435E-B057-67B206BE8D9D
http://landregistry.data.gov.uk/data/ppi/transaction/F9B36C6A-0F66-4640-9B41-E3F92EAA5FB7/current,http://landregistry.data.gov.uk/data/ppi/address/ec673ef972e86eb9c2e55a0f924815d0a7e002c0,35,AUCTIONEERS WAY,NORTHAMPTON,NORTHAMPTONSHIRE,NN1 1HF,134000,2001-05-15,Standard price paid transaction,http://landregistry.data.gov.uk/def/ppi/add,terraced,Freehold,F9B36C6A-0F66-4640-9B41-E3F92EAA5FB7
http://landregistry.data.gov.uk/data/ppi/transaction/9156320D-8CAF-4A11-A762-B29A720D4E3A/current,http://landregistry.data.gov.uk/data/ppi/address/4108208f8ada040578d02df8c18756a384305091,27,AUCTIONEERS WAY,NORTHAMPTON,NORTHAMPTONSHIRE,NN1 1HF,137000,2000-11-26,Standard price paid transaction,http://landregistry.data.gov.uk/def/ppi/add,terraced,Freehold,9156320D-8CAF-4A11-A762-B29A720D4E3A
http://landregistry.data.gov.uk/data/ppi/transaction/A08F2821-6504-4457-A8B1-22867E94905E/current,http://landregistry.data.gov.uk/data/ppi/address/2dd4601c193e59b32973efef4acb6a48710fbbd4,32,AUCTIONEERS WAY,NORTHAMPTON,NORTHAMPTONSHIRE,NN1 1HF,139000,2001-01-19,Standard price paid transaction,http://landregistry.data.gov.uk/def/ppi/add,terraced,Freehold,A08F2821-6504-4457-A8B1-22867E94905E
http://landregistry.data.gov.uk/data/ppi/transaction/96AEC2E5-32DD-4408-AC80-6ED585DB7653/current,http://landregistry.data.gov.uk/data/ppi/address/8191783d41a653e75fbe7a7d54de5a50a4a1c693,34,AUCTIONEERS WAY,NORTHAMPTON,NORTHAMPTONSHIRE,NN1 1HF,139000,2001-01-19,Standard price paid transaction,http://landregistry.data.gov.uk/def/ppi/add,terraced,Freehold,96AEC2E5-32DD-4408-AC80-6ED585DB7653
