transx,addr,paon,street,town,county,postcode,amount,date,category,record_status,property_type,estate_type,transaction_id
http://landregistry.data.gov.uk/data/ppi/transaction/68A46D0C-707A-4D18-8319-7097D76B52E5/current,http://landregistry.data.gov.uk/data/ppi/address/a325c4f03979511e38538a0dc6f472cb7989401f,50,FLORENCE ROAD,NORTHAMPTON,NORTHAMPTONSHIRE,NN1 4NA,23000,1995-08-04,Standard price paid transaction,http://landregistry.data.gov.uk/def/ppi/add,terraced,Freehold,68A46D0C-707A-4D18-8319-7097D76B52E5
http://landregistry.data.gov.uk/data/ppi/transaction/E7CD5FC5-A795-4A80-A998-67A3D3F7F06A/current,http://landregistry.data.gov.uk/data/ppi/address/ab8d44bcff168ba9758e237b60b2f8c81bd7dae3,8,FLORENCE ROAD,NORTHAMPTON,NORTHAMPTONSHIRE,NN1 4NA,32500,1997-01-31,Standard price paid transaction,http://landregistry.data.gov.uk/def/ppi/add,terraced,Freehold,E7CD5FC5-A795-4A80-A998-67A3D3F7F06A
http://landregistry.data.gov.uk/data/ppi/transaction/E2E8A6C8-23B5-409C-AFD3-54162A7F57F6/current,http://landregistry.data.gov.uk/data/ppi/address/ed1c3a0dd2b4c1a718c3b81bdc945122f5a3ad8b,3,FLORENCE ROAD,NORTHAMPTON,NORTHAMPTONSHIRE,NN1 4NA,35500,1997-04-11,Standard price paid transaction,http://landregistry.data.gov.uk/def/ppi/add,terraced,Freehold,E2E8A6C8-23B5-409C-AFD3-54162A7F57F6
http://landregistry.data.gov.uk/data/ppi/transaction/8D202149-13DC-45D2-8BC3-3BFB72ED0801/current,http://landregistry.data.gov.uk/data/ppi/address/2293abc2a981d6d145aa8e9e30098f9263bc6a08,13,FLORENCE ROAD,NORTHAMPTON,NORTHAMPTONSHIRE,NN1 4NA,38000,1996-05-31,Standard price paid transaction,http://landregistry.data.gov.uk/def/ppi/add,terraced,Freehold,8D202149-13DC-45D2-8BC3-3BFB72ED0801
http://landregistry.data.gov.uk/data/ppi/transaction/47FD6CA3-D98D-4DAD-B403-40730ABED0A3/current,http://landregistry.data.gov.uk/data/ppi/address/53839e0788a9e1774a84d53d644ef860bc758871,23,FLORENCE ROAD,NORTHAMPTON,NORTHAMPTONSHIRE,NN1 4NA,39500,1996-04-12,Standard price paid transaction,http://landregistry.data.gov.uk/def/ppi/add,semi-detached,Freehold,47FD6CA3-D98D-4DAD-B403-40730ABED0A3
http://landregistry.data.gov.uk/data/ppi/transaction/A47E49ED-C1CD-4AC8-B6DB-465B526A18D5/current,http://landregistry.data.gov.uk/data/ppi/address/e0253ae6e6289c868d056d7c0dfbfff7c31fdb11,56,FLORENCE ROAD,NORTHAMPTON,NORTHAMPTONSHIRE,NN1 4NA,39500,1995-05-19,Standard price paid transaction,http://landregistry.data.gov.uk/def/ppi/add,terraced,Freehold,A47E49ED-C1CD-4AC8-B6DB-465B526A18D5
http://landregistry.data.gov.uk/data/ppi/transaction/751FF555-ADB5-4759-8949-B4E939739416/current,http://landregistry.data.gov.uk/data/ppi/address/e4caa5cee5b40226e1ac2cdd8339dd49e01026f1,38,FLORENCE ROAD,NORTHAMPTON,NORTHAMPTONSHIRE,NN1 4NA,40000,1998-09-30,Standard price paid transaction,http://landregistry.data.gov.uk/def/ppi/add,terraced,Freehold,751FF555-ADB5-4759-8949-B4E939739416
http://landregistry.data.gov.uk/data/ppi/transaction/31272090-0ED1-4783-AEA9-33549F79629A/current,http://landregistry.data.gov.uk/data/ppi/address/74036a99610d44c3f9ffb638abfa7e3b22c0a1a7,24,FLORENCE ROAD,NORTHAMPTON,NORTHAMPTONSHIRE,NN1 4NA,41000,1995-06-09,Standard price paid transaction,http://landregistry.data.gov.uk/def/ppi/add,terraced,Freehold,31272090-0ED1-4783-AEA9-33549F79629A
http://landregistry.data.gov.uk/data/ppi/transaction/AB59EC4D-D608-4E64-B5A6-D9D280A312DA/current,http://landregistry.data.gov.uk/data/ppi/address/842671d98d473343ff4a7f581153afec5022b126,21,FLORENCE ROAD,NORTHAMPTON,NORTHAMPTONSHIRE,NN1 4NA,41500,1997-11-28,Standard price paid transaction,http://landregistry.data.gov.uk/def/ppi/add,terraced,Freehold,AB59EC4D-D608-4E64-B5A6-D9D280A312DA
http://landregistry.data.gov.uk/data/ppi/transaction/187AE833-FBB8-4FB3-869F-DFCFF2CA38C9/current,http://landregistry.data.gov.uk/data/ppi/address/a325c4f03979511e38538a0dc6f472cb7989401f,50,FLORENCE ROAD,NORTHAMPTON,NORTHAMPTONSHIRE,NN1 4NA,41500,1996-08-30,Standard price paid transaction,http://landregistry.data.gov.uk/def/ppi/add,terraced,Freehold,187AE833-FBB8-4FB3-869F-DFCFF2CA38C9
